license_type,application_classification,approved_license_type,approved_license_stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,application_created_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,lic_expiration_date,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,zip,town,county,county_lat,county_long,region,cccupdatedate,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,issue_date,expiration_date,business_image_url,business_website,business_phone
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR282320,"ToroVerde (Massachusetts) II, Inc.",Greenfield,MA,01301,42.589483,-72.601603,C/O EvansCutler Attorneys 90 Conz Street,,Northampton,MA,01060,POINT (-72.573941 42.587072),POINT (-72.601602 42.5894830),C/O EvansCutler Attorneys 90 Conz Street,,Northampton,MA,01060,83-2519015,MRN282320,Tue Jan 21 2020 11:12:10 GMT-0500 (Eastern Standard Time),Wed Nov 13 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Jun 29 2020 16:22:03 GMT-0400 (Eastern Daylight Time),False,,,,,,,,,Not a DBE,,,,Tue Jan 22 2019 10:52:19 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri May 08 2020 15:05:14 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jun 29 2024 04:00:00 GMT-0400 (Eastern Daylight Time),51 Davis St,N/A,Franklin County,300,10000,01301,Greenfield,Franklin,42.587072,-72.573941,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,3/30/2022,COMPLETE,MR282313,"Union Twist, Inc.",Framingham,MA,01702,42.297845,-71.422601,630 Worcester Road,,Framingham,MA,01702,POINT (-71.275566 42.459085),POINT (-71.422601 42.2978450),"One International Place, Suite 3700",C/O Prince Lobel Tye LLP,Boston,MA,02110,83-3883936,MRN282313,Wed May 27 2020 15:47:20 GMT-0400 (Eastern Daylight Time),Mon Mar 09 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 20 2019 18:45:17 GMT-0500 (Eastern Standard Time),Mon Jun 29 2020 07:28:02 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:58:41 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 18 2023 04:00:00 GMT-0400 (Eastern Daylight Time),630 Worcester Rd,N/A,Middlesex County,300,10000,01702,Framingham,Middlesex,42.459085,-71.275566,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,11/14/2022,COMPLETE,MR282757,Four Score Holdings LLC,Charlton,MA,01507,42.139084,-72.01981,144 Sturbridge Road,,Charlton,MA,01507,POINT (-71.840209 42.329642),POINT (-72.019810 42.1390839),144 Sturbridge,,Charlton,MA,01507,83-3664748,MRN282757,Tue Mar 10 2020 17:46:37 GMT-0400 (Eastern Daylight Time),Tue Feb 04 2020 00:00:00 GMT-0500 (Eastern Standard Time),Mon Oct 05 2020 12:17:38 GMT-0400 (Eastern Daylight Time),False,,,,,,,,,Not a DBE,,,Thu Jul 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 05 2019 12:27:59 GMT-0400 (Eastern Daylight Time),Fri Mar 27 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 14:51:38 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Oct 15 2023 04:00:00 GMT-0400 (Eastern Daylight Time),144 Sturbridge Rd,N/A,Worcester County,300,10000,01507,Charlton,Worcester,42.329642,-71.840209,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - DBE Status,COMMENCE OPS,COMMENCE OPS,11/13/2020,COMPLETE,MR281744,"CNA Stores, Inc.",Haverhill,MA,01830,42.764503,-71.102636,100 Main St.,,Amesbury,MA,01913,POINT (-70.970827 42.635475),POINT (-71.102636 42.7645029),100 Main St,,Amesbury,MA,01913,83-1233238,MRN281744,Wed Dec 18 2019 09:27:59 GMT-0500 (Eastern Standard Time),Mon Oct 28 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Apr 09 2020 15:21:11 GMT-0400 (Eastern Daylight Time),False,,,,,,,,,Veteran-Owned Business | Disability-Owned Business,,,Thu Oct 08 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 25 2018 16:03:35 GMT-0400 (Eastern Daylight Time),Thu Jan 16 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:06:45 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),558 River St,N/A,Essex County,300,10000,01830,Haverhill,Essex,42.635475,-70.970827,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,11/4/2020,COMPLETE,MR282186,"The Botanist, Inc.",Shrewsbury,MA,01545,42.249232,-71.720735,200 Portland Street,5th Floor,Boston,MA,02114,POINT (-71.840209 42.329642),POINT (-71.720735 42.2492319),200 Portland Street,5th Floor,Boston,MA,02114,47-3905518,MRN282186,Mon Feb 25 2019 14:55:49 GMT-0500 (Eastern Standard Time),Wed Jan 23 2019 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,APPROVED,RP201860,RP201860,Not a DBE,,,Thu Oct 08 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Dec 14 2018 15:29:59 GMT-0500 (Eastern Standard Time),Wed May 15 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 15:54:17 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 22 2024 04:00:00 GMT-0400 (Eastern Daylight Time),235 Hartford Turnpike,N/A,Worcester County,300,10000,01545,Shrewsbury,Worcester,42.329642,-71.840209,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,10/29/2020,COMPLETE,MR282319,Trichome Health Corp.,Worcester,MA,01606,42.290832,-71.805736,12 Pennsylvania Ave,,Newton,MA,02464,POINT (-71.840209 42.329642),POINT (-71.805735 42.2908320),12 Pennsylvania Ave,,Newton,MA,02464,81-3554788,MRN282319,Fri Mar 08 2019 16:59:14 GMT-0500 (Eastern Standard Time),Tue Mar 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Wed May 29 2019 12:02:49 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201939,RP201939,Not a DBE,,,Thu Oct 08 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jan 22 2019 10:20:03 GMT-0500 (Eastern Standard Time),Tue Mar 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu May 16 2019 13:41:36 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jun 03 2024 04:00:00 GMT-0400 (Eastern Daylight Time),68 W Boylston St,N/A,Worcester County,300,5000,01606,Worcester,Worcester,42.329642,-71.840209,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,6/12/2020,COMPLETE,MR281967,"Berkshire Welco, LLC",Sheffield,MA,01257,42.143573,-73.363137,264 Main St.,3rd Floor,Great Barrington,MA,01230,POINT (-73.209889 42.396128),POINT (-73.363136 42.1435730),264 Main St.,3rd Floor,Great Barrington,MA,01230,82-4943268,MRN281967,Tue Dec 03 2019 13:20:53 GMT-0500 (Eastern Standard Time),Wed May 01 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Jan 15 2020 20:43:16 GMT-0500 (Eastern Standard Time),False,,,,,,,,,Not a DBE,,,Thu Mar 05 2020 03:00:00 GMT-0500 (Eastern Standard Time),Sun Oct 14 2018 22:50:52 GMT-0400 (Eastern Daylight Time),Fri Nov 01 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 11:24:20 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Feb 04 2024 03:00:00 GMT-0500 (Eastern Standard Time),1375 Main St,N/A,Berkshire County,300,10000,01257,Sheffield,Berkshire,42.396128,-73.209889,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,5/5/2021,COMPLETE,MR282808,"Emerald Grove, Inc.",Eastham,MA,02642,41.852793,-69.987089,31 Sadies Way,,Harwich,MA,02645,POINT (-70.301811 41.698999),POINT (-69.987088 41.8527929),31 Sadies Way,,Harwich,MA,02645,82-2714914,MRN282808,Tue Mar 24 2020 14:48:49 GMT-0400 (Eastern Daylight Time),Tue Feb 19 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Jun 18 2020 14:11:16 GMT-0400 (Eastern Daylight Time),False,,,,,,,,,Not a DBE,,,Thu Mar 11 2021 08:00:00 GMT-0500 (Eastern Standard Time),Tue Jun 25 2019 10:34:35 GMT-0400 (Eastern Daylight Time),Fri Mar 27 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:12:00 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jun 18 2024 04:00:00 GMT-0400 (Eastern Daylight Time),3 Main St,N/A,Barnstable County,300,10000,02642,Eastham,Barnstable,41.698999,-70.301811,Southeast and Cape,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,7/5/2023,COMPLETE,MR284668,Himalayan High,Becket,MA,01223,42.263815,-73.134801,2727 Jacobs Ladder Road,,Becket,MA,01223,POINT (-73.209889 42.396128),POINT (-73.134800 42.2638150),215A Chaplin Rd.,,Eastford,CT,06242,88-2973141,MRN284668,Fri Jan 06 2023 11:17:12 GMT-0500 (Eastern Standard Time),Thu Jun 23 2022 08:34:32 GMT-0400 (Eastern Daylight Time),,False,no,,,,,,,,Not a DBE,,,Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri May 27 2022 10:18:05 GMT-0400 (Eastern Daylight Time),Fri Jan 06 2023 12:20:58 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 12:41:44 GMT-0500 (Eastern Standard Time),Mon Mar 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Mar 13 2024 04:00:00 GMT-0400 (Eastern Daylight Time),2727 Jacobs Ladder Rd,N/A,Berkshire County,1500,10000,01223,Becket,Berkshire,42.396128,-73.209889,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,6/16/2023,COMPLETE,MR282481,"The Haven Center, Inc.",Brewster,MA,02631,41.775658,-70.011502,245 Route 6A,,Orleans,MA,02653,POINT (-70.301811 41.698999),POINT (-70.011501 41.775658),PO Box 2036,,Orleans,MA,02653,47-4353074,MRN282481,Tue May 07 2019 11:52:06 GMT-0400 (Eastern Daylight Time),Tue Mar 26 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 24 2019 12:25:15 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201922,RP201922,Not a DBE,,,Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Mar 11 2019 11:20:31 GMT-0400 (Eastern Daylight Time),Tue Mar 26 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 27 2019 16:28:18 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Sep 24 2023 04:00:00 GMT-0400 (Eastern Daylight Time),4018 Main St,N/A,Barnstable County,300,5000,02631,Brewster,Barnstable,41.698999,-70.301811,Southeast and Cape,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,3/3/2021,COMPLETE,MR282032,"Evergreen Strategies, LLC",North Adams,MA,01247,42.698232,-73.142037,52 Whispering Way,,Stow,MA,01775,POINT (-73.209889 42.396128),POINT (-73.142037 42.6982319),52 Whispering Way,,Stow,MA,01775,82-5252215,MRN282032,Mon Dec 09 2019 14:03:26 GMT-0500 (Eastern Standard Time),Fri Jul 26 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Apr 06 2020 10:06:59 GMT-0400 (Eastern Daylight Time),False,,,,,,,,,Not a DBE,,,Thu Feb 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Wed Nov 07 2018 18:33:53 GMT-0500 (Eastern Standard Time),Mon Oct 07 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 11:22:12 GMT-0500 (Eastern Standard Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 15 2024 04:00:00 GMT-0400 (Eastern Daylight Time),221 State Rd,N/A,Berkshire County,300,10000,01247,North Adams,Berkshire,42.396128,-73.209889,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
