business_email,business_legal_name,business_phone,county,data_refreshed_date,license_number
,Polanco Brothers Corp.*,,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000099
Info@niceyield.nyc,"Steven Steals & Co. LLC/Nice
Yield*",(917) 374-3884,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000129
lyftedessentials@gmail.com,"Lyfted Essentials, LLC*",,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000133
,Nube NYC LLC*,,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000157
Lukecloudinc@gmail.com,"Luke Cloud, Inc.*",(718) 530-4622,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000195
,Top Shelf Aficionados Inc.*,,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000216
,Thinc Provisions Inc.*,,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000220
Gabbysgreenllc@gmail.com,Gabbys Green LLC*,(631) 896-6748,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000234
essentialflowers@yahoo.com,Essential Flowers*,(518) 521-9142,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000253
,Air City Cannabis LLC*,,Mohawk Valley,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000260
starkz10@aol.com,Brian Stark Enterprises LLC*,(516) 606-8933,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000274
,Pure Blossoms LLC*,,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000279
Achomes1821@icloud.com,Grass Express*,(631) 965-4013,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000281
,Strain Stars LLC*,,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000326
,T&C Distribution LLC*,,,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000356
halfislandflavors@gmail.com,Half Island Flavors LLC*,NA,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000358
h.bonilla1@icloud.com,Diamond Dispensary LLC*,(718) 662-3633,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000374
,Brent L Rogers*,,North Country,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000387
hsingh@justaccountingny.com,Roots 13 LLC*,(347) 440-8434,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000390
culturehouse001@gmail.com,Culture House*,(347) 362-4184,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000402
ecosesh@gmail.com,Eco Sesh*,,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000409
,"Ten Cees, LLC*",,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000414
,Indoor Treez Corp.*,,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000417
,Growth Industries Inc.*,,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000460
info@highestpeakny.com,The Highest Peak*,NA,North Country,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000509
,Cal M Anderson III*,,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000521
,Royal Leaf NY LLC*,,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000548
,Keep It A 100 LLC*,,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000558
,"Advanced Institutional Support
Services LLC*",,Central NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000563
"WORLDWRESTLINGCOLLEC
TIBLES@GMAIL.COM",CGG ENTERPRISES INC*,(347) 676-7461,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000565
,Cured NY LLC*,,Mohawk Valley,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000579
NCRPlattsburgh@gmail.com,North County Roots Inc.*,(518) 565-0770,North Country,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000580
,Kush & Kemet LLC*,,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000581
info@urbanweedsny.com,Urban Weeds LLC*,,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000589
Sohan23@gmail.com,"So Vapes & Accessories/Tricronic
Dispensary*",(718) 704-7753,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000608
,CWS Holdings I LLC*,,Southern Tier,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000609
Amychen_747@hotmail.com,Eastern Holdings 88*,(646) 639-8000,Richmond,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000610
Nicholaskoury01@gmail.com,Planet 51 LLC*,(332) 208-3185,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000624
Info@stageonedispensary.com,"Stage One Cannabis LLC DBA
Stage One Dispensary*",(518) 488-4997,Capital District,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000634
,Michael D Gant*,,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000682
,Suzanne M Furboter*,,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000686
"dcondliffe@communityalternati
ves.org","Center For Community Alternatives,
Inc.*",(917) 301-3939,Central NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000693
,Anthony Crapanzano*,,Richmond,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000714
Samjny22@gmail.com,Samjny*,(718) 717-6884,Richmond,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000724
kushmartny@gmail.com,Kushmart NY LLC*,(646) 894-4412,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000744
Joshc@unionchillcannabis.com,Union Chill Cannabis Company*,(607) 382-7385,Southern Tier,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000771
Nycc2.llc@gmail.com,NYCC 1 LLC*,NA,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000785
,CI Wonder Enterprises LLC*,,,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000787
shivawn@justicecannabisco.co,Natural Wonder Cannabis*,(707) 479-1471,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000809
,Hydro Phonics LLC*,,,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000834
,Jupitar Café*,,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000865
info@the420bliss.com,Humble County LLC*,(917) 346-7021,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000876
,BazzJAT Retail Inc.*,,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000879
amber.bennett.xo@gmail.com,Budding Industry Group*,(631) 943-0276,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000888
,,,,2023-08-13T18:32:54.182098,Provisionally Licensed As of 4/04/23
INFO@CONBUD.COM,"CONBUD, LLC*",(917) 327-2958,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000013
jennifer@jennifertzar.com,"Robin Hood Cannabis, LLC*",,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000023
Korey.rowe@gmail.com,"Dosha Farms, LLC*",1 (607) 437-4333,Mohawk Valley,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000040
"NEWAGEMNGMNT@AOL.CO
M","Happy Days Dispensary, Inc.*",1 (718) 749-2154,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000050
ashieka.moore@aol.com,Where’s My Lighter? LLC*,1 (631) 741-2385,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000059
Hippiegeo@gmail.com,"East Coast Psychedelics, Inc.*",1 (631) 493-9200,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000084
mpagan07@outlook.com,Michael Pagan*,1 (929) 403-7969,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000093
AlexanderKelch@aol.com,"Alexander Kelch, LLC*",1 (516) 308-4228,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000094
"seventhavecleaning@gmail.co
m","The Herbal Care THC, LLC*",1 (212) 470-2678,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000095
john@truegreenglobal.com,"Aprii, LLC*",1 (917) 355-3763,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000114
mreda1717@gmail.com,Heritage Gold & Silver*,1 (631) 875-8620,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000120
"Management@alittlebookingag
ency.com","Just a Little Higher, LLC*",1 (561) 617-4856,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000131
NONAMECANNABISCOMPAN,"No Name Graphics, LLC*",1 (518) 527-1199,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000134
berkaydev@gmail.com,"NC Accident Reports, LLC*",1 (516) 598-7753,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000144
gourmetbudz@gmail.com,"Gourmet Budz, LLC*",1 (347) 401-1905,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000146
joespizza32@gmail.com,"Joe’s Pizza and Redemption Center
Inc.*",1 (518) 307-7067,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000172
kushculturenyc@gmail.com,"Kush Culture Industry, LLC*",1 (718) 810-1937,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000173
dnassiri75@hotmail.com,"Legendary Bliss, LLC*",1 (949) 375-4734,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000182
jacknmc@aol.com,"Weeds R Us, Inc.*",1 (917) 682-7576,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000187
espinbenj@gmail.com,"Buds “R” Us, LLC*",1 (718) 902-2168,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000188
dwhite002@twcny.rr.com,"DLM Retail, LLC*",1 (315) 705-4231,North Country,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000196
joemicciulli@gmail.com,"Brain Bloom, LLC*",1 (516) 662-8319,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000202
"kris@adirondackadvantage.co
m","Adirondack Advantage, LLC*",1 (518) 812-1907,North Country,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000210
michael.montas@yahoo.com,"Summit Canna, LLC*",1 (646) 842-7544,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000221
jorge@vsllplaw.com,"The Island’s Cannabis Dispensary,
LLC*",1 (212) 752-8408,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000225
astokes175@yahoo.com,"Cannabis Culture 1, LLC*",1 (917) 459-1791,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000229
flowerpowernyc1@gmail.com,Flower Power NYC Corp.*,1 (347) 706-9426,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000241
"eruditoherbals@protonmail.co
m","ERUDITOHERBALS, LLC*",1 (212) 923-0088,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000248
"aaron_van_camp@outlook.co
m",Aaron Van Camp*,1 (716) 430-0447,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000251
chaplinzm@yahoo.com,Zaquia Chaplin*,1 (516) 949-9460,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000255
eastleafbuffalo@gmail.com,AMSM LLC*,1 (716) 560-6686,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000257
docdmt@aol.com,"AQR Development Funding, LLC*",1 (631) 513-9836,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000258
adrake913@gmail.com,Adam S. Drake*,1 (516) 637-8431,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000261
SoodaksInc@gmail.com,"Soodaks, Inc.*",1 (212) 203-5381,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000266
beeduangtavilay@yahoo.com,"Flower City Shop, LLC*",1 (585) 766-8384,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000269
elijahgrey@gmail.com,Holly R. King*,1 (518) 222-5099,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000273
licensing@jamesfrm.com,"Smoking Scholars, LLC*",1 (516) 858-5887,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000277
elvin@castlehillbsi.com,ZIL ZAL Inc.*,1 (718) 829-3655,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000295
antmarce@aol.com,"Amsterdam Cannabis, Inc.*",1 (518) 774-8764,Mohawk Valley,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000300
ben@cw.legal,"High Path Wellness, LLC*",1 (914) 967-2753,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000323
beau@thehiveclubnyc.com,"Mighty Lucky, LLC*",1 (646) 232-5206,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000329
nelsonskickz@gmail.com,"Nelsonkickz, LLC*",1 (518) 807-5350,North Country,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000331
MishaMB@Gmail.com,Evija Artworks Inc.*,1 (718) 514-3516,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000332
akapoor@kapoorfirm.com,Sherwood R. Adams*,1 (516) 307-8380,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000349
johnsrufino@gmail.com,Level Up NYC Corp.*,1 (518) 331-5948,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000363
organicreliefleaf@gmail.com,"Organic Relief Leaf, LLC*",1 (718) 290-3020,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000377
jaybuddyllc@gmail.com,"Jay Buddy, LLC*",1 (347) 360-5333,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000384
christopher.t.concannon@gmai,"Terrapin Greens 4-7, Inc.*",1 (917) 374-0020,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000393
"bigflavorentertainment@gmail.
com",Bigflavor Entertainment Corp.*,1 (917) 530-4504,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000398
mottznyc@gmail.com,"Mottz Only Authentic New York
Style, LLC*",1 (516) 591-4112,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000400
jielin1417@yahoo.com,CANNADREAMS Inc.*,1 (917) 721-1821,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000407
Zootiesworld@gmail.com,Jonathan Gibbs (dba ZOOTIES)*,1 (631) 281-3582,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000411
donresourcesllc@gmail.com,"Don Resources Unlimited, LLC*",1 (646) 345-1388,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000431
Bestsala@icloud.com,Best Sala*,1 (718) 799-2203,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000433
Carrelfignole25@gmail.com,"Fignolecar, LLC*",1 (917) 569-0847,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000443
mrgiancarlopinto@gmail.com,"BudBiz, LLC*",1 (646) 210-1027,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000445
dan@redemptive.nyc,Actualize*,1 (631) 300-7456,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000453
jameskelley146@gmail.com,"Euphoria Dispensary of New York,
LLC*",1 (347) 882-8699,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000454
jjohnson@pryorcashman.com,"Gotham Buds, LLC*",1 (212) 421-4100,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000455
Mogert1234@gmail.com,"NugHub NY, LLC*",1 (917) 751-4154,Richmond,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000464
Blaze420LLC@gmail.com,"Blaze 420, LLC*",1 (845) 461-5905,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000479
,"Bodega Dreams, LLC*",,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000483
delau46@yahoo.com,"Royal Blend Dispensary, LLC*",1 (914) 330-0154,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000491
asick@mrcannabislaw.com,"Green Jungle, Inc.*",1 (908) 399-5947,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000504
simojb66@gmail.com,Joseph B. Simons*,1 (617) 292-6260,Central NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000514
enoboa8121@hotmail.com,"Buddega NYC, LLC*",1 (914) 619-1155,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000516
retailunitedalliance@gmail.com,"Retail United Alliance, LLC*",1 (518) 901-9201,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000517
rodney.carter@live.com,"Boxing Express, LLC*",1 (646) 221-8815,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000541
lakishaisaac@gmail.com,"The Gold Source, Inc.*",1 (516) 369-7415,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000544
licensing@jamesfrm.com,APF Syndicate Corporation*,1 (516) 858-5887,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000546
Anand.a811@gmail.com,Neo Wellness LLC*,1 (516) 665-5105,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000550
joew@straightlineat.com,Premier Earth Corp.*,1 (716) 908-4922,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000551
townsend11212@gmail.com,"North Country Cannabis, LLC*",1 (518) 572-6800,North Country,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000557
ben@allsafeli.com,"All Safe Electric & Security, LLC*",1 (631) 872-7308,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000559
hectorecheverri75@gmail.com,Clemencia E Meza*,1 (347) 607-4873,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000561
dralbi26@gmail.com,"AFLI, LLC*",1 (516) 804-0674,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000597
johntaeha@gmail.com,"Green Empire Wellness, LLC*",1 (917) 514-9116,Richmond,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000612
kintechvac@gmail.com,"Kintech Heating and Cooling, Inc.*",1 (631) 496-6646,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000639
inquiries@freshlybaked.nyc,Freshly Baked NYC,1 (415) 691-7696,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000652
nynewmetro@gmail.com,Sean Kang*,1 (917) 880-4150,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000657
miguelbernardphp@gmail.com,"BlazinUp, LLC*",1 (917) 523-0246,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000666
SmellyNellyLLC@gmail.com,"Smelly Nelly, LLC*",1 (917) 691-3349,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000667
holybudsny@gmail.com,Holy Buds Inc.*,1 (631) 358-4722,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000671
net@cbdpros.com,"Big Dipper NY, LLC*",1 (415) 240-9024,Richmond,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000674
gahrey.o@gmail.com,"WAO Industries, LLC*",1 (631) 241-7696,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000688
asick@mrcannabislaw.com,"Green Sun, Inc.*",1 (908) 399-5947,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000694
tankmorfaw@gmail.com,"Common Courtesy Dispensary,
LLC*",1 (646) 696-8875,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000699
Randyalbert420@gmail.com,"420 NY, LLC*",1 (718) 902-3767,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000703
info@boomfactoryny.com,"Boom Factory, LLC*",1 (516) 272-1512,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000733
cjfueloil@yahoo.com,CJ FUEL OIL INC.*,1 (631) 766-1875,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000749
christine@highpeakseventpro.c,High Peaks Canna Inc.*,1 (518) 222-3202,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000760
rch@hertmanlaw.com,"Green Health, LLC*",1 (845) 551-5329,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000813
markshifrin22@gmail.com,"Dank Heaven, LLC*",1 (718) 419-2976,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000819
mannna911@gmail.com,Emmanuel E. De Jesus*,1 (347) 759-8602,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000824
licensing@jamesfrm.com,"Proper Prints, LLC*",1 (516) 858-5887,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000838
david87h@gmail.com,David Hooper Jr.*,1 (347) 258-7624,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000842
heraldbaines@gmail.com,"New York Tetrahydrocannabinol
Company LLC*",1 (646) 599-7254,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000852
Cannabisemporium22@gmail.c,Cannabis Emporium Corp.*,1 (917) 528-1173,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000897
,,,,2023-08-13T18:32:54.182098,Provisionally Licensed As of 05/11/2023
johnguercia59@gmail.com,"1106 Rebecca St. Limited Liability
Company*",1 (412) 390-4790,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000029
tjscannabisco@gmail.com,TJ's Cannabis Co.*,1 (315) 920-8191,Central NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000030
sophiamortell@gmail.com,"SMMB, Inc*",1 (914) 406-3051,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000034
eduardo3284@yahoo.com,AFI & Associates Group LLC*,1 (845) 701-6203,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000039
bnieka@yahoo.com,Ayleet Productions LLC*,1 (718) 755-4713,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000062
RSFNYS@gmail.com,"NEW YORK'S FINEST LUXURY
CAR AND LIMOUSINE SERVICE
LLC*",1 (347) 514-3767,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000073
jim@hannabisnyc.com,"Hannabis, Inc. *",1 (631) 806-9867,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000077
Omarnisimov@gmail.com,Fix my phone*,1 (646) 417-4623,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000092
"lmonforte@olearylawoffices.co
m",Loudpack Exotics LLC*,1 (315) 882-4523,Central NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000106
licensing@jamesfrm.com,Poughkeepsie Shops LLC*,1 (516) 858-5887,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000143
syracusehalalgyro@gmail.com,Syracuse Halal Guys Inc*,1 (718) 795-3899,Central NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000169
ekleydman@gmail.com,RMAN Holdings LLC*,1 (347) 224-9900,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000176
CoronadoCorp@yahoo.com,Coronado LLC*,1 (716) 392-0589,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000192
Hassan.holder@yahoo.com,Hassan Holder*,1 (347) 741-5661,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000226
rlara982@gmail.com,Gaia Earth LLC*,1 (347) 280-1370,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000231
rsklawjz@frontiernet.net,BHOLECBD INC*,1 (845) 343-5111,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000235
joelalvarez718@gmail.com,Joel M Alvarez I*,1 (646) 371-2167,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000244
kettlecorn114@gmail.com,"Westchester Harvesting Company
LLC*",1 (914) 661-1790,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000247
"ChristinaDeGiovanni@gmail.co
m",TEDG LLC*,1 (512) 797-9660,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000307
jjeanneret1@gmail.com,Raven Dispensaries LLC*,1 (617) 401-6998,Central NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000338
Zymia24@gmail.com,BIG GAS DISPENSARY LLC*,1 (347) 723-1304,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000348
"thenextchapternyllc@gmail.co
m",The Next Chapter NY LLC*,1 (914) 329-0531,Mid-Hudson,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000355
jim@mcgirrs.com,Devil's Lettuce LLC*,1 (585) 576-4467,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000364
versatilegold@live.com,"ERIETREEHOUSE
CORPORATION*",1 (315) 652-9560,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000380
sara.gullickson@gmail.com,SLG-DB LLC*,1 (612) 965-4980,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000388
robertdegen@icloud.com,GM Smoke Shop Inc. *,1 (917) 324-2979,Brooklyn,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000399
ben@cw.legal,Leafy Wonders LLC*,1 (914) 967-2753,Central NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000428
