Medical ,activity,adult_use,business_dba_name,business_image_url,business_legal_name,business_owner_name,business_phone,business_structure,county,data_refreshed_date,expiration_date,id,issue_date,license_designation,license_number,license_status,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_zip_code
ü,,,"Solamere, Inc.",,"Solamere, Inc.",Brad  Wideman,314-225-7496,,Perry County,2024-01-15T15:41:23.568376,,CUL000024,,adult-use,CUL000024,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63775,Perry County,37.7242202,-89.8612196,MO,63775
,,ü,1913 Waynesville LLC,,1913 Waynesville LLC,Ryan Rich,314-323-3773,,Pulaski County,2024-01-15T15:41:23.568376,,CUL000025,,adult-use,CUL000025,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 65583,Pulaski County,37.8286516,-92.2007227,MO,65583
,,ü,"Local Leaf, LLC",,"Local Leaf, LLC",Gregory Henson,816-289-8608,,Bates County,2024-01-15T15:41:23.568376,,CUL000026,,adult-use,CUL000026,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64730,Bates County,38.2586347,-94.33050589999999,MO,64730
,,ü,1913 Carrollton LLC,,1913 Carrollton LLC,Nathaniel Kurash,216-577-9178,,Carroll County,2024-01-15T15:41:23.568376,,CUL000027,,adult-use,CUL000027,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64633,Carroll County,39.3583539,-93.4957675,MO,64633
,,ü,"GF Saint Mary, LLC",,"GF Saint Mary, LLC",Wesley Greene,314-814-5493,,St. Louis city,2024-01-15T15:41:23.568376,,CUL000028,,adult-use,CUL000028,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
,,ü,"Bloom Medicinals of MO – Cultivation 1, LLC",,"Bloom Medicinals of MO – Cultivation 1, LLC",Nicole Stark,561-305-3656,,St. Charles County,2024-01-15T15:41:23.568376,,CUL000029,,adult-use,CUL000029,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,St Charles,St. Charles County,38.7551224,-90.69792290000001,MO,63366
,,ü,"New Growth Horizon, LLC",,"New Growth Horizon, LLC",John Pennington,314-749-2677,,St. Louis County,2024-01-15T15:41:23.568376,,CUL000030,,adult-use,CUL000030,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,600 Mason Ridge Center Dr floor 2,St. Louis County,38.6405548,-90.4747879,MO,63144
,,ü,"C4, LLC",,"C4, LLC",Ty Klein,816-872-6116,,Carroll County,2024-01-15T15:41:23.568376,,CUL000031,,adult-use,CUL000031,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64633,Carroll County,39.3583539,-93.4957675,MO,64633
,,ü,TC AppliCo LLC,,TC AppliCo LLC,Brad  Rhodes,314-276-3802,,Crawford County,2024-01-15T15:41:23.568376,,CUL000032,,adult-use,CUL000032,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO,Crawford County,38.0628225,-91.40348329999999,MO,65453
,,ü,Holistic Missouri LLC,,Holistic Missouri LLC,,866-217-4063,,Jackson County,2024-01-15T15:41:23.568376,,CUL000033,,adult-use,CUL000033,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64147,,38.8524485,-94.5469705,MO,64147
,,ü,"Missouri Made Marijuana, LLC",,"Missouri Made Marijuana, LLC",Randy Black,702-496-3051,,Jackson County,2024-01-15T15:41:23.568376,,CUL000034,,adult-use,CUL000034,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO,Jackson County,39.0150069,-94.19855799999999,MO,64029
,,ü,"Bloom Medicinals of MO – Cultivation 2, LLC",,"Bloom Medicinals of MO – Cultivation 2, LLC",Nicole Stark,561-305-3656,,Clinton County,2024-01-15T15:41:23.568376,,CUL000036,,adult-use,CUL000036,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64429,Clinton County,39.7402801,-94.241057,MO,64429
,,ü,"Standard Wellness Missouri, LLC",,"Standard Wellness Missouri, LLC",Katie Hart,321-831-2996,,Audrain County,2024-01-15T15:41:23.568376,,CUL000037,,adult-use,CUL000037,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,Vandalia,Audrain County,39.3061447,-91.4744262,MO,63382
ü,,,Kindbio LLC,,Kindbio LLC,Kurt Heidrich,314-799-5146,,St. Louis city,2024-01-15T15:41:23.568376,,CUL000038,,adult-use,CUL000038,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
,,ü,"Hippos, LLC",,"Hippos, LLC",Nicholas Rinella,312-925-1217,,Maries County,2024-01-15T15:41:23.568376,,CUL000039,,adult-use,CUL000039,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 65582,Maries County,38.1867085,-91.94711199999999,MO,65582
,,ü,GF Biomass LLC,,GF Biomass LLC,Joseph Delia,314-282-4679,,Crawford County,2024-01-15T15:41:23.568376,,CUL000041,,adult-use,CUL000041,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO,Crawford County,38.0628225,-91.40348329999999,MO,65453
,,ü,Agri-Genesis LLC,,Agri-Genesis LLC,Neal Minor,660-851-1660,,Macon County,2024-01-15T15:41:23.568376,,CUL000043,,adult-use,CUL000043,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,Macon,Macon County,39.7662896,-92.455834,MO,63552
,,ü,"Solgrone Cultivation, LLC",,"Solgrone Cultivation, LLC",Andrew Lammert,314-223-6680,,St. Louis County,2024-01-15T15:41:23.568376,,CUL000044,,adult-use,CUL000044,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63125,,38.5161654,-90.2901815,MO,63125
,,ü,"CPC of Missouri - Smithville, LLC",,"CPC of Missouri - Smithville, LLC",Lee Hoffman,785-766-0288,,Clay County,2024-01-15T15:41:23.568376,,CUL000045,,adult-use,CUL000045,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,Smithville,Clay County,39.3638732,-94.5891504,MO,64089
,,ü,"GF Saint Mary, LLC",,"GF Saint Mary, LLC",Wesley Greene,314-814-5493,,St. Louis city,2024-01-15T15:41:23.568376,,CUL000046,,adult-use,CUL000046,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
,,ü,"GFFG, LLC",,"GFFG, LLC",Ty Klein,816-872-6116,,Carroll County,2024-01-15T15:41:23.568376,,CUL000048,,adult-use,CUL000048,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64633,Carroll County,39.3583539,-93.4957675,MO,64633
,,ü,"Elevation Cannabis Cultivation, LLC",,"Elevation Cannabis Cultivation, LLC",Chris Issinghoff,620-921-5967,,Jackson County,2024-01-15T15:41:23.568376,,CUL000051,,adult-use,CUL000051,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64127,Jackson County,39.091953,-94.5469705,MO,64127
,,ü,"GFFG, LLC",,"GFFG, LLC",Ty Klein,816-872-6116,,Carroll County,2024-01-15T15:41:23.568376,,CUL000052,,adult-use,CUL000052,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64633,Carroll County,39.3583539,-93.4957675,MO,64633
,,ü,BeLeaf Medical LLC,,BeLeaf Medical LLC,Kevin Riggs,636-448-6021,,St. Louis city,2024-01-15T15:41:23.568376,,CUL000053,,adult-use,CUL000053,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63118,,38.5950619,-90.2291565,MO,63118
,,ü,"Bluebird Botanical, Ltd.",,"Bluebird Botanical, Ltd.",Shelton Smitherman,512-657-5392,,Warren County,2024-01-15T15:41:23.568376,,CUL000054,,adult-use,CUL000054,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63380,Warren County,38.8106802,-91.1316056,MO,63380
,,ü,BTMD Holdings LLC,,BTMD Holdings LLC,Lucas Dinklage,402-490-0591,,Morgan County,2024-01-15T15:41:23.568376,,CUL000055,,adult-use,CUL000055,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO,Morgan County,38.3083614,-92.8254697,MO,65037
,,ü,"Green South Missouri, LLC",,"Green South Missouri, LLC",Aaron Crawley,479-502-0487,,Jasper County,2024-01-15T15:41:23.568376,,CUL000056,,adult-use,CUL000056,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,Joplin,Newton County,37.0529983,-94.4105747,MO,64804
,,ü,Heya St. Ann Cultivation II LLC,,Heya St. Ann Cultivation II LLC,Carl Bearden,314-560-4597,,St. Louis County,2024-01-15T15:41:23.568376,,CUL000057,,adult-use,CUL000057,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,St Ann,St. Louis County,38.7303723,-90.38081269999999,MO,63074
,,ü,Certified Alternative Medicine Providers,,Certified Alternative Medicine Providers,Susan Griffith,573-424-4951,,St. Louis city,2024-01-15T15:41:23.568376,,CUL000058,,adult-use,CUL000058,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
,,ü,"Green South Missouri, LLC",,"Green South Missouri, LLC",Aaron Crawley,479-502-0487,,Jasper County,2024-01-15T15:41:23.568376,,CUL000059,,adult-use,CUL000059,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,Joplin,Newton County,37.0529983,-94.4105747,MO,64804
ü,,,"Chappell, Inc.",,"Chappell, Inc.",Brad  Wideman,314-225-7496,,Perry County,2024-01-15T15:41:23.568376,,CUL000060,,adult-use,CUL000060,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63775,Perry County,37.7242202,-89.8612196,MO,63775
ü,,,Red Tractor Cultivation LLC,,Red Tractor Cultivation LLC,Kelly Waggoner,402-650-0306,,Jackson County,2024-01-15T15:41:23.568376,,CUL000061,,adult-use,CUL000061,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64132,Jackson County,38.992935,-94.55212739999999,MO,64132
,,ü,"Solgrone Cultivation II, LLC",,"Solgrone Cultivation II, LLC",Andrew Lammert,314-223-6680,,St. Louis County,2024-01-15T15:41:23.568376,,CUL000062,,adult-use,CUL000062,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63125,,38.5161654,-90.2901815,MO,63125
,,ü,GRC MOBERLY LLC,,GRC MOBERLY LLC,,833-469-9333,,Randolph County,2024-01-15T15:41:23.568376,,CUL000063,,adult-use,CUL000063,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO,Randolph County,39.4183689,-92.43823669999999,MO,65270
,,ü,GF Cultivation LLC,,GF Cultivation LLC,Joseph Delia,314-282-4679,,Crawford County,2024-01-15T15:41:23.568376,,CUL000064,,adult-use,CUL000064,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO,Crawford County,38.0628225,-91.40348329999999,MO,65453
,,ü,"New Growth Horizon, LLC",,"New Growth Horizon, LLC",John Pennington,314-749-2677,,St. Louis County,2024-01-15T15:41:23.568376,,CUL000065,,adult-use,CUL000065,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,600 Mason Ridge Center Dr floor 2,St. Louis County,38.6405548,-90.4747879,MO,63144
,,ü,"SLCC, LLC",,"SLCC, LLC",Katie Davies,907-952-2328,,St. Louis County,2024-01-15T15:41:23.568376,,CUL000067,,adult-use,CUL000067,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,St. Louis,,38.6290512,-90.2787956,MO,63133
,,ü,"EFOS I, LLC",,"EFOS I, LLC",Brooke Foster,660-651-3252,,Shelby County,2024-01-15T15:41:23.568376,,CUL000068,,adult-use,CUL000068,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63437,Shelby County,39.7419808,-92.25851519999999,MO,63437
,,ü,"NGWMO, LLC",,"NGWMO, LLC",Timothy O'Hern,314-813-3058,,Linn County,2024-01-15T15:41:23.568376,,CUL000069,,adult-use,CUL000069,Active,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64658,Linn County,39.7119703,-92.94825259999999,MO,64658
,,ü,"NGW MO I, LLC",,"NGW MO I, LLC",Timothy O'Hern,314-813-3058,,Lawrence County,2024-01-15T15:41:23.568376,,CUL000070,,adult-use,CUL000070,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,Marionville,Lawrence County,36.9994642,-93.6419189,MO,65705
,,ü,Heya Kirksville Cultivation LLC,,Heya Kirksville Cultivation LLC,Carl Bearden,314-560-4597,,Adair County,2024-01-15T15:41:23.568376,,CUL000071,,adult-use,CUL000071,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 63546,Schuyler County,40.34697490000001,-92.5690817,MO,63546
,,ü,Heya Excello Cultivation LLC,,Heya Excello Cultivation LLC,Carl Bearden,314-560-4597,,Macon County,2024-01-15T15:41:23.568376,,CUL000072,,adult-use,CUL000072,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 65247,Macon County,39.636145,-92.47546249999999,MO,65247
,,ü,"Organic Remedies MO, Inc.",,"Organic Remedies MO, Inc.",,573-279-4020,,Scott County,2024-01-15T15:41:23.568376,,CUL000073,,adult-use,CUL000073,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,Chaffee,Scott County,37.1905441,-89.67118839999999,MO,63740
,,ü,7 Point Farms LLC,,7 Point Farms LLC,Patrick Dubbert,573-680-7799,,Cole County,2024-01-15T15:41:23.568376,,CUL000074,,adult-use,CUL000074,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO,Cole County,38.57670170000001,-92.1735164,MO,65109
ü,,,"MR 5025 OH100, LLC",,"MR 5025 OH100, LLC",Jack Coatar,314-333-3918,,Franklin County,2024-01-15T15:41:23.568376,,CUL000075,,adult-use,CUL000075,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO,Franklin County,38.55810719999999,-91.01208779999999,MO,63090
ü,,,ROI Canopy of Atherton LLC.,,ROI Canopy of Atherton LLC.,Jared Bradley,417-848-8055,,Jackson County,2024-01-15T15:41:23.568376,,CUL000076,,adult-use,CUL000076,Inactive,,,cultivator,Missouri Department of Health and Senior Services,MDHSS,,MO 64058,Jackson County,39.1861153,-94.3055037,MO,64058
