application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,ccclastupdated,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,,COMPLETE,MR284018,Sears Farm Wellness LLC,Swansea,2777.0,,,215 Sears Road,,Swansea,MA,2777,POINT (-71.102131 41.778329),POINT (-71.204795 41.7451969),37 Blackstone Blvd,,Providence,RI,2906,86-1364409,MRN284018,Tue Aug 09 2022 23:11:38 GMT-0400 (Eastern Daylight Time),Mon Jun 06 2022 09:08:49 GMT-0400 (Eastern Daylight Time),Tue Jan 10 2023 11:47:31 GMT-0500 (Eastern Standard Time),True,no,,,,,,,,Woman-Owned Business,,,,Fri Jan 08 2021 12:16:54 GMT-0500 (Eastern Standard Time),Fri Aug 12 2022 09:09:58 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 16:15:31 GMT-0400 (Eastern Daylight Time),Tue Jan 10 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Jan 10 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,2777.0,Swansea,Bristol,41.778329,-71.102131,Southeast and Cape,1/29/2024,,MA,41.745197,-71.204795,,Sears Farm Wellness LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,,COMPLETE,MR284843,Stone's Throw Cannabis LLC d/b/a Firebrand Cannabis,Boston,2111.0,,,100 State Street,,9th Floor,MA,2109,POINT (-71.073493 42.334948),POINT (-71.056810 42.3506890),100 State Street,,9th Floor,MA,2109,87-3166009,MRN284843,Fri May 19 2023 17:07:44 GMT-0400 (Eastern Daylight Time),Wed Jan 04 2023 12:26:59 GMT-0500 (Eastern Standard Time),Thu Aug 10 2023 15:35:45 GMT-0400 (Eastern Daylight Time),True,yes,EE201902,,,EE201902,,,,Not a DBE,,,,Fri Dec 23 2022 20:09:28 GMT-0500 (Eastern Standard Time),Fri May 12 2023 11:45:22 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 11:20:33 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,2111.0,Boston,Suffolk,42.334948,-71.073493,Metro Boston,1/29/2024,Floors #1-2,MA,42.350689,-71.056811,,Stone's Throw Cannabis LLC d/b/a Firebrand Cannabis,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,7/1/2020,COMPLETE,MR281249,"Resinate, Inc.",Worcester,1607.0,,,120 Gilboa Street,,Douglas,MA,1516,POINT (-71.840209 42.329642),POINT (-71.783561 42.2211830),120 Gilboa Street,,Douglas,MA,1516,47-4392516,MRN281249,Tue Jan 07 2020 17:52:38 GMT-0500 (Eastern Standard Time),Thu Sep 26 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Feb 12 2020 16:51:27 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201945,RP201945,Not a DBE,,,Thu Jun 04 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 17 2018 13:21:24 GMT-0400 (Eastern Daylight Time),Wed Dec 11 2019 00:00:00 GMT-0500 (Eastern Standard Time),Fri Feb 07 2020 09:26:38 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Mar 13 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1607.0,Worcester,Worcester,42.329642,-71.840209,Central MA,1/29/2024,,MA,42.221183,-71.783561,,"Resinate, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,12/15/2021,COMPLETE,MR282337,"Commonwealth Alternative Care, Inc.",Taunton,2780.0,,,30 Mozzone Boulevard,,Taunton,MA,2780,POINT (-71.102131 41.778329),POINT (-71.063782 41.873199),30 Mozzone Boulevard,,Taunton,MA,2780,37-1834779,MRN282337,Thu Jun 10 2021 09:26:55 GMT-0400 (Eastern Daylight Time),Mon Feb 11 2019 00:00:00 GMT-0500 (Eastern Standard Time),,True,no,,,,,APPROVED,RP201926,RP201926,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Fri Jan 25 2019 21:28:35 GMT-0500 (Eastern Standard Time),Fri Jun 25 2021 10:40:09 GMT-0400 (Eastern Daylight Time),Thu Aug 12 2021 13:57:35 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Aug 26 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,2780.0,Taunton,Bristol,41.778329,-71.102131,Southeast and Cape,1/29/2024,,MA,41.873199,-71.063782,,"Commonwealth Alternative Care, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,9/17/2021,COMPLETE,MR283073,"Eskar Northbridge, LLC",Northbridge,1534.0,,,15 Forbes Street,Apartment #2,Boston,MA,2130,POINT (-71.840209 42.329642),POINT (-71.649510 42.1514799),15 Forbes Street,Apartment #2,Boston,MA,2130,84-3733015,MRN283073,Mon Apr 13 2020 14:26:00 GMT-0400 (Eastern Daylight Time),Tue Mar 17 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Jul 17 2020 12:03:18 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,,,Thu Aug 12 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 22 2019 16:48:12 GMT-0400 (Eastern Daylight Time),Wed Apr 15 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 14:48:41 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1534.0,Northbridge,Worcester,42.329642,-71.840209,Central MA,1/29/2024,,MA,42.15148,-71.64951,,"Eskar Northbridge, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,3/1/2021,COMPLETE,MR281970,"Garden Wonders, Inc",Millville,1529.0,,,3 Route 146,,Millville,MA,1529,POINT (-71.840209 42.329642),POINT (-71.577451 42.0140839),180 warren street,,waltham,MA,2453,04-3255379,MRN281970,Tue Dec 10 2019 13:49:40 GMT-0500 (Eastern Standard Time),Mon Aug 26 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Not a DBE,,,Thu Jan 14 2021 03:00:00 GMT-0500 (Eastern Standard Time),Mon Oct 15 2018 14:17:19 GMT-0400 (Eastern Daylight Time),Fri Nov 29 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 12:18:52 GMT-0500 (Eastern Standard Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1529.0,Millville,Worcester,42.329642,-71.840209,Central MA,1/29/2024,,MA,42.014084,-71.577452,,"Garden Wonders, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MR283094,Green River Cannabis Company Inc.,Hopedale,1747.0,,,54 Mellen St. Unit A,,Hopedale,MA,1747,POINT (-71.840209 42.329642),POINT (-71.513720 42.1008580),30 Washington Street,,Attleboro,MA,2703,83-3185115,MRN283094,Thu Mar 04 2021 00:00:20 GMT-0500 (Eastern Standard Time),Wed Nov 25 2020 11:02:56 GMT-0500 (Eastern Standard Time),,True,no,,,,,,,,Not a DBE,,,,Wed Oct 30 2019 11:23:36 GMT-0400 (Eastern Daylight Time),Fri Apr 02 2021 12:32:54 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 10:55:29 GMT-0400 (Eastern Daylight Time),Thu Oct 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Oct 12 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1747.0,Hopedale,Worcester,42.329642,-71.840209,Central MA,1/29/2024,Unit C,MA,42.100858,-71.51372,,Green River Cannabis Company Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MR284846,The Stories Company Whitman LLC,Whitman,2382.0,,,109 Raffaele Drive,,Waltham,MA,2452,POINT (-70.818958 41.978877),POINT (-70.946889 42.081702),109 Raffaele Drive,,Waltham,MA,2452,92-2000543,MRN284846,Tue Aug 01 2023 15:22:02 GMT-0400 (Eastern Daylight Time),Fri Jul 07 2023 09:59:15 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Minority-Owned Business,,,,Wed Jan 04 2023 11:38:52 GMT-0500 (Eastern Standard Time),Fri Aug 04 2023 09:13:01 GMT-0400 (Eastern Daylight Time),Thu Nov 09 2023 13:14:46 GMT-0500 (Eastern Standard Time),,,1500.0,,2382.0,Whitman,Plymouth,41.978877,-70.818958,Southeast and Cape,1/29/2024,,MA,42.081702,-70.94689,,The Stories Company Whitman LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,1/16/2024,COMPLETE,MR284185,Forest Wilde LLC,Lee,1238.0,,,75 Chestnut Street,,Lee,MA,1238,POINT (-73.209889 42.396128),POINT (-73.262462 42.3265150),75 Chestnut Street,,Lee,MA,1238,84-3709838,MRN284185,Sat Jul 10 2021 15:51:07 GMT-0400 (Eastern Daylight Time),Mon May 10 2021 13:09:15 GMT-0400 (Eastern Daylight Time),Mon Jul 25 2022 21:32:27 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Woman-Owned Business,,,Thu Dec 14 2023 03:00:00 GMT-0500 (Eastern Standard Time),Tue Mar 23 2021 12:43:00 GMT-0400 (Eastern Daylight Time),Fri Jul 16 2021 09:04:49 GMT-0400 (Eastern Daylight Time),Thu Oct 14 2021 13:09:20 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 25 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1238.0,Lee,Berkshire,42.396128,-73.209889,Western MA,1/29/2024,,MA,42.326515,-73.262463,,Forest Wilde LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,4/19/2019,COMPLETE,MR281702,Good Chemistry of Mass,Worcester,1604.0,,,9 Harrison Street,,Worcester,MA,1604,POINT (-71.840209 42.329642),POINT (-71.797120 42.257151),50 Congress St,Suite 420,Boston,MA,2109,46-3379588,MRN281702,Thu Aug 02 2018 12:12:43 GMT-0400 (Eastern Daylight Time),Sat Jul 28 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Nov 27 2018 14:13:37 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201817,RPA201817,Not a DBE,,,Thu Feb 21 2019 03:00:00 GMT-0500 (Eastern Standard Time),Wed Jul 11 2018 19:10:05 GMT-0400 (Eastern Daylight Time),Fri Aug 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Nov 20 2018 14:52:58 GMT-0500 (Eastern Standard Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sat Nov 30 2024 03:00:00 GMT-0500 (Eastern Standard Time),300.0,5000.0,1604.0,Worcester,Worcester,42.329642,-71.840209,Central MA,1/29/2024,,MA,42.257151,-71.79712,,Good Chemistry of Mass,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,11/16/2018,COMPLETE,MR281240,"New England Treatment Access, LLC.",Northampton,1060.0,,,5 Forge Parkway,,Franklin,MA,2038,POINT (-72.62073 42.322256),POINT (-72.625373 42.3126120),5 Forge Parkway,,Franklin,MA,2038,38-4055241,MRN281240,Mon Jul 09 2018 09:08:39 GMT-0400 (Eastern Daylight Time),Wed May 16 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 26 2018 18:14:30 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201822,RP201822,Not a DBE,,,Thu Oct 04 2018 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 17 2018 12:01:42 GMT-0400 (Eastern Daylight Time),Mon Jul 09 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 26 2018 16:13:09 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1060.0,Northampton,Hampshire,42.322256,-72.62073,Western MA,1/29/2024,,MA,42.312612,-72.625374,,"New England Treatment Access, LLC.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
