license_number,id,business_dba_name,license_type,license_status,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,premise_street_address,premise_county,premise_latitude,premise_longitude,business_phone,business_website,business_email,business_image_url,data_refreshed_date
10138,1019601,"NORTHERN LIGHTS INDOOR GARDENS, LLC",Retail Marijuana Store,Active-Operating,"NORTHERN LIGHTS INDOOR GARDENS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suites N,O,,,,,,,,,2023-12-20T16:06:13.010000
10149,1046490,"REMEDY SHOPPE, LLC",Retail Marijuana Store,Active-Operating,"REMEDY SHOPPE, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Skagway,99840,307 3rd Ave,Skagway Municipality,59.4546633,-135.3185179,(907) 983-3345,http://www.remedyshoppe907.com/,,,2023-12-20T16:06:13.010000
10162,1033355,THE FROST FARMS,Retail Marijuana Store,Active-Operating,THE FROST FARMS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit B,Anchorage,8535 Dimond D Cir B,Anchorage Municipality,61.1433573,-149.8750932,(907) 522-5050,http://frostfarming.com/,,,2023-12-20T16:06:13.010000
10163,1033148,THE 420,Retail Marijuana Store,Active-Operating,THE 420,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Petersburg,99833,307 N Nordic Dr,Petersburg Census Area,56.8135422,-132.9578491,,,,,2023-12-20T16:06:13.010000
10173,1032590,"HERBAL OUTFITTERS, LLC",Retail Marijuana Store,Active-Operating,"HERBAL OUTFITTERS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Lower Floor,Valdez,,,,,,,,,2023-12-20T16:06:13.010000
10190,2154773,Midtown Roots,Retail Marijuana Store,Active-Operating,Midtown Roots,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,2A,Anchorage,360 E International Airport Rd Suite #2A,Anchorage Municipality,61.1730847,-149.8750784,(907) 563-0018,https://www.therootsak.com/shop/midtown,,,2023-12-20T16:06:13.010000
10200,1033845,HAPPY CANNABIS,Retail Marijuana Store,Active-Operating,HAPPY CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wrangell,99929,223 Front St,Wrangell City and Borough,56.4711151,-132.383194,(907) 305-0292,,,,2023-12-20T16:06:13.010000
10220,2114050,Weed Dudes,Retail Marijuana Store,Active-Operating,Weed Dudes,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite #J & K,Sitka,1321 Sawmill Creek Rd # K,Sitka City and Borough,57.04810949999999,-135.3050995,(907) 623-0605,http://weeddudessitka.com/,,,2023-12-20T16:06:13.010000
10236,2140319,Cannabaska,Retail Marijuana Store,Active-Operating,Cannabaska,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit 201,Anchorage,521 W Tudor Rd,Anchorage Municipality,61.1810955,-149.8936985,(907) 375-9333,http://cannabaska.com/,,,2023-12-20T16:06:13.010000
10245,2125730,Double Eagle Cannabis,Retail Marijuana Store,Active-Operating,Double Eagle Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite A,Anchorage,,,,,,,,,2023-12-20T16:06:13.010000
10252,1034813,POPEYES EMPORIUM II,Retail Marijuana Store,Active-Operating,POPEYES EMPORIUM II,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit 1,Anchorage,3231 Spenard Rd,Anchorage Municipality,61.19094029999999,-149.9063988,(907) 561-4434,http://popeyes-emporium.keeq.io/,,,2023-12-20T16:06:13.010000
10254,2101487,Cannabaska,Retail Marijuana Store,Active-Operating,Cannabaska,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite D,Anchorage,217 E 4th Ave,Anchorage Municipality,61.2187443,-149.8803554,(907) 308-7859,https://cannabaska.com/,,,2023-12-20T16:06:13.010000
10267,1015406,AM DELIGHT,Retail Marijuana Store,Active-Operating,AM DELIGHT,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,ANCHORAGE,99517,3902 Spenard Rd,Anchorage Municipality,61.18584800000001,-149.922034,(907) 229-1730,http://amdelightak.com/,,,2023-12-20T16:06:13.010000
10273,1056442,PINE STREET CANNABIS COMPANY,Retail Marijuana Store,Active-Operating,PINE STREET CANNABIS COMPANY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Soldotna,99669,36130 Pine St,Kenai Peninsula Borough,60.5040237,-150.9799456,(907) 260-3330,https://pinestreetcannabis.com/,,,2023-12-20T16:06:13.010000
10278,1035647,GOODSINSE LLC,Retail Marijuana Store,Active-Operating,GOODSINSE LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks ,99709,2604 Davis Rd,Fairbanks North Star Borough,64.8281428,-147.7822607,(616) 420-4206,https://goodsinse.com/,,,2023-12-20T16:06:13.010000
10302,1036588,THE HOUSE OF GREEN,Retail Marijuana Store,Active-Operating,THE HOUSE OF GREEN,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Upper Level,Anchorage,3105 Minnesota Dr,Anchorage Municipality,61.191396,-149.9125697,(907) 929-3105,https://www.houseofgreenak.com/?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=anchorage,,,2023-12-20T16:06:13.010000
10306,1036765,"DANKORAGE, LLC",Retail Marijuana Store,Active-Operating,"DANKORAGE, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99503,2812 Spenard Rd,Anchorage Municipality,61.1940964,-149.9059303,(907) 279-3265,http://www.dankorage.com/,,,2023-12-20T16:06:13.010000
10316,1036888,DENALI 420 RECREATIONALS,Retail Marijuana Store,Active-Operating,DENALI 420 RECREATIONALS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Houston,99694,2876 Rex St,Matanuska-Susitna Borough,61.6125297,-149.7810058,(907) 892-9333,http://denali420recreationals.com/,,,2023-12-20T16:06:13.010000
10577,1032890,"ALASKAN LEAF, LLC",Retail Marijuana Store,Active-Operating,"ALASKAN LEAF, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite A,Anchorage,1211 W 36th Ave,Anchorage Municipality,61.18840909999999,-149.9069304,(907) 770-0262,http://www.alaskanleaf.com/,,,2023-12-20T16:06:13.010000
10589,1038024,NATURES RELEAF LLC,Retail Marijuana Store,Active-Operating,NATURES RELEAF LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,503 7th Ave,Fairbanks North Star Borough,64.8407675,-147.7164012,(907) 374-9333,http://aknaturesreleaf.com/,,,2023-12-20T16:06:13.010000
10590,2112346,Cannabis Corner,Retail Marijuana Store,Active-Operating,Cannabis Corner,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Ketchikan,99901,9735 Mud Bay Rd,Ketchikan Gateway Borough,55.4204078,-131.7686621,,,,,2023-12-20T16:06:13.010000
10646,1032773,THE GREEN ROOM AK,Retail Marijuana Store,Active-Operating,THE GREEN ROOM AK,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99501,610 C St # A-7,Anchorage Municipality,61.2161541,-149.8875812,(907) 258-2837,https://www.thegreenroomak.com/,,,2023-12-20T16:06:13.010000
10648,1038791,UNCLE HERB'S,Retail Marijuana Store,Active-Operating,UNCLE HERB'S,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99518,6511 Arctic Spur Rd,Anchorage Municipality,61.1619375,-149.8952732,(907) 561-4372,https://uncleherbs.com/dispensary-locations/anchorage-arctic-spur/?utm_medium=organic&utm_source=gbp&utm_campaign=website,,,2023-12-20T16:06:13.010000
10800,1034839,THE FIREWEED FACTORY LLC,Retail Marijuana Store,Active-Operating,THE FIREWEED FACTORY LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Juneau,99801,237 Front St,Juneau City and Borough,58.3005032,-134.4060143,(907) 780-4190,https://weedmaps.com/dispensaries/the-fireweed-factory-juneau,,,2023-12-20T16:06:13.010000
10831,1036025,HIGH BUSH BUDS,Retail Marijuana Store,Active-Operating,HIGH BUSH BUDS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 2,Soldotna,36312 Irons Ave #2,Kenai Peninsula Borough,60.50650399999999,-151.0838317,(907) 953-9393,https://highbushbuds.com/,,,2023-12-20T16:06:13.010000
10837,2151074,Anchorage Dispensary Hillside Natural Wellness,Retail Marijuana Store,Active-Operating,Anchorage Dispensary Hillside Natural Wellness,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Anchorage,8639 Toloff St,Anchorage Municipality,61.14204340000001,-149.8410881,(907) 868-8639,https://www.therootsak.com/shop/hillside,,,2023-12-20T16:06:13.010000
10844,1036860,"GREEN ELEPHANT, LLC",Retail Marijuana Store,Active-Operating,"GREEN ELEPHANT, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite B,Juneau,,,,,,,,,2023-12-20T16:06:13.010000
10866,1034759,AK FROST,Retail Marijuana Store,Active-Operating,AK FROST,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 102,Anchorage,5200 A St,Anchorage Municipality,61.1733755,-149.8834853,(907) 563-9333,http://www.ak-frost.com/,,,2023-12-20T16:06:13.010000
10869,1040267,GRASS STATION 49,Retail Marijuana Store,Active-Operating,GRASS STATION 49,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,1326 Cushman St,Fairbanks North Star Borough,64.83663899999999,-147.7210496,(907) 374-4420,https://grassstation49.com/grass-station-49-recreational-marijuana-dispensary-cushman/?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=cushman,,,2023-12-20T16:06:13.010000
10873,1040109,THE STONEY MOOSE,Retail Marijuana Store,Active-Operating,THE STONEY MOOSE,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Ketchikan,99901,127 Stedman St,Ketchikan Gateway Borough,55.3416881,-131.6418515,(907) 220-9099,http://thestoneymoose.com/,,,2023-12-20T16:06:13.010000
10883,2130116,Rainforest Cannabis,Retail Marijuana Store,Active-Operating,Rainforest Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Ketchikan,99901,726 Water St,Ketchikan Gateway Borough,55.3443895,-131.652555,(907) 247-9333,https://www.rainforestcannabis.com/,,,2023-12-20T16:06:13.010000
10890,2188534,True North Cannabis,Retail Marijuana Store,Active-Operating,True North Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99501,735 W 4th Ave,Anchorage Municipality,61.2187632,-149.8968917,,,,,2023-12-20T16:06:13.010000
10901,1040691,THE HIGH EXPEDITION COMPANY,Retail Marijuana Store,Active-Operating,THE HIGH EXPEDITION COMPANY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Talkeetna,99676,13465 E Main St,Matanuska-Susitna Borough,62.32331869999999,-150.11752,(907) 733-0911,,,,2023-12-20T16:06:13.010000
11000,1041064,CHENA CANNABIS,Retail Marijuana Store,Active-Operating,CHENA CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 101,North Pole,1725 Richardson Hwy,Fairbanks North Star Borough,64.7909088,-147.5243988,(907) 488-0489,,,,2023-12-20T16:06:13.010000
11050,1041697,HOUSTON GRASS STATION LLC,Retail Marijuana Store,Active-Operating,HOUSTON GRASS STATION LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Houston,99694,15231 W Parks Hwy,Matanuska-Susitna Borough,61.61343,-149.7850646,(907) 892-4727,http://hgs420.org/,,,2023-12-20T16:06:13.010000
11053,1041822,TRUE DANK,Retail Marijuana Store,Active-Operating,TRUE DANK,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite A,Fairbanks,1550 S Cushman St,Fairbanks North Star Borough,64.8333074,-147.7170287,(907) 451-4516,https://dutchie.com/dispensary/true-dank,,,2023-12-20T16:06:13.010000
11119,2129663,Alaskan Grown Cannabis,Retail Marijuana Store,Active-Operating,Alaskan Grown Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Nome,99762,303-C W E St,Nome Census Area,64.5007723,-165.4158016,,https://www.akgrowncannabis.com/nome,,,2023-12-20T16:06:13.010000
11121,1042680,"BAD GRAMM3R, LLC",Retail Marijuana Store,Active-Operating,"BAD GRAMM3R, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,1150 N Helen Ln,Matanuska-Susitna Borough,61.5898815,-149.4023753,(907) 357-0420,https://www.badgramm3r.com/,,,2023-12-20T16:06:13.010000
11140,1042820,"FAT TOPS, LLC.",Retail Marijuana Store,Active-Operating,"FAT TOPS, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Soldotna,99669,36380 Murray Ln,Kenai Peninsula Borough,60.50817480000001,-150.9184722,(907) 262-4200,http://fattops.com/,,,2023-12-20T16:06:13.010000
11198,1043398,ONE HIT WONDER,Retail Marijuana Store,Active-Operating,ONE HIT WONDER,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Fairbanks,3025 Parks Hwy Suite One,Fairbanks North Star Borough,64.84538859999999,-147.951044,(907) 460-9333,http://www.onehitwonderak.com/,,,2023-12-20T16:06:13.010000
11303,1044171,HOLLYWEED 907,Retail Marijuana Store,Active-Operating,HOLLYWEED 907,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99507,2429 E 88th Ave,Anchorage Municipality,61.14139549999999,-149.8361377,(907) 929-3331,http://akhollyweed907.com/,,,2023-12-20T16:06:13.010000
11382,1030318,DENALI'S CANNABIS CACHE LLC,Retail Marijuana Store,Active-Operating,DENALI'S CANNABIS CACHE LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 420,Denali National Park,Mile 238.9 Parks Hwy Suite 420 Denali National Park and Preserve,Denali Borough,63.74898520000001,-148.8993682,(907) 683-2633,http://www.denaliscache.com/,,,2023-12-20T16:06:13.010000
11411,1044156,"DENALI DISPENSARIES, LLC",Retail Marijuana Store,Active-Operating,"DENALI DISPENSARIES, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99501,225 E 5th Ave,Anchorage Municipality,61.2177259,-149.8801482,(907) 646-4200,,,,2023-12-20T16:06:13.010000
11509,1033200,PERMAFROST DISTRIBUTORS,Retail Marijuana Store,Active-Operating,PERMAFROST DISTRIBUTORS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Sterling,99672,32630 June Dr,Kenai Peninsula Borough,60.526706,-150.725112,(907) 260-7584,https://www.akpermafrost.com/,,,2023-12-20T16:06:13.010000
11547,1087372,CLOUDBERRY CANNABIS,Retail Marijuana Store,Active-Operating,CLOUDBERRY CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99503,3307 Spenard Rd,Anchorage Municipality,61.19046659999999,-149.9070978,(907) 644-3010,https://www.cloudberrycannabis.com/,,,2023-12-20T16:06:13.010000
11614,1051872,AK JOINT,Retail Marijuana Store,Active-Operating,AK JOINT,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit F,Anchorage,7801 Schoon St,Anchorage Municipality,61.15014309999999,-149.8752224,(907) 522-5222,http://www.akjoint.com/,,,2023-12-20T16:06:13.010000
11638,2092987,Catalyst Cannabis Company,Retail Marijuana Store,Active-Operating,Catalyst Cannabis Company,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,#4,Anchorage,9900 Old Seward Hwy #4,Anchorage Municipality,61.13106299999999,-149.8650296,(907) 344-0668,https://www.catalystcannabisco.com/old-seward-hwy,,,2023-12-20T16:06:13.010000
11731,1062162,SCORPION GRASS,Retail Marijuana Store,Active-Operating,SCORPION GRASS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99507,1551 E Tudor Rd,Anchorage Municipality,61.1811473,-149.8533491,(907) 771-4021,http://www.scorpiongrassak.com/,,,2023-12-20T16:06:13.010000
11927,1041284,GREEN LIFE SUPPLY LLC,Retail Marijuana Store,Active-Operating,GREEN LIFE SUPPLY LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,511 30th Ave,Fairbanks North Star Borough,64.81976039999999,-147.7126666,(907) 374-4769,http://greenlife-co.paqe.io/,,,2023-12-20T16:06:13.010000
11966,1065429,GREAT NORTHERN CANNABIS,Retail Marijuana Store,Active-Operating,GREAT NORTHERN CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99501,541 W 4th Ave,Anchorage Municipality,61.2186927,-149.89303,(907) 929-9333,https://www.greatnortherncannabis.com/,,,2023-12-20T16:06:13.010000
12023,1078259,GREEN DEGREE,Retail Marijuana Store,Active-Operating,GREEN DEGREE,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Retail Space,Wasilla,3361 W Machen Rd,,61.58360200000001,-149.5343666,(907) 376-4372,http://greendegree.net/,,,2023-12-20T16:06:13.010000
12316,1050006,"ANCHORAGE BOWL, LLC.",Retail Marijuana Store,Active-Operating,"ANCHORAGE BOWL, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99517,4000 Spenard Rd,Anchorage Municipality,61.18400579999999,-149.9270845,(907) 770-2690,,,,2023-12-20T16:06:13.010000
12325,2115560,GOOD Cannabis,Retail Marijuana Store,Active-Operating,GOOD Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,356 Old Steese Hwy,Fairbanks North Star Borough,64.8489182,-147.7037154,(907) 452-5463,https://www.goodalaska.com/,,,2023-12-20T16:06:13.010000
12437,1038961,"ALASKA CANNABIS EXCHANGE, LLC",Retail Marijuana Store,Active-Operating,"ALASKA CANNABIS EXCHANGE, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,ANCHORAGE,99503,2906 Spenard Rd,Anchorage Municipality,61.1934441,-149.9058544,(907) 301-4208,https://alaskacannabisexchange.com/,,,2023-12-20T16:06:13.010000
12635,1033365,GREEN DEGREE,Retail Marijuana Store,Active-Operating,GREEN DEGREE,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,(Northern Portion of the Building),SUTTON,,,,,,,,,2023-12-20T16:06:13.010000
12768,1052541,SECRET GARDEN CANNABIS,Retail Marijuana Store,Active-Operating,SECRET GARDEN CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Anchorage,726 E 15th Ave,Anchorage Municipality,61.2074153,-149.8694521,(907) 748-9333,https://secretgardencannabis.com/?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=SecretGarden,,,2023-12-20T16:06:13.010000
12866,1038791,UNCLE HERB'S,Retail Marijuana Store,Active-Operating,UNCLE HERB'S,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit 2,Homer,1213 Ocean Dr,Kenai Peninsula Borough,59.6380207,-151.5123499,(907) 235-4372,https://uncleherbs.com/dispensary-locations/homer/?utm_medium=organic&utm_source=gbp&utm_campaign=website,,,2023-12-20T16:06:13.010000
12956,1040267,GRASS STATION 49,Retail Marijuana Store,Active-Operating,GRASS STATION 49,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99712,665 Rainbow Dr,Fairbanks North Star Borough,64.88886790000001,-147.6194514,(907) 456-4108,https://grassstation49.com/grass-station-49-recreational-marijuana-dispensary-chena-hot-springs-road/?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=sgoldstream,,,2023-12-20T16:06:13.010000
13119,1051864,REBEL ROOTS LLC,Retail Marijuana Store,Active-Operating,REBEL ROOTS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99709,2575 Goldstream Rd,Fairbanks North Star Borough,64.9131061,-147.9046752,(907) 455-4055,https://weedmaps.com/dispensaries/rebel-roots,,,2023-12-20T16:06:13.010000
13217,1047535,GLACIER VALLEY SHOP,Retail Marijuana Store,Active-Operating,GLACIER VALLEY SHOP,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Juneau,8505 Old Dairy Rd #1,Juneau City and Borough,58.36213410000001,-134.5729779,(907) 419-7943,http://theglaciervalleyshoppe.com/,,,2023-12-20T16:06:13.010000
13279,1054744,THE MASON JAR LLC,Retail Marijuana Store,Active-Operating,THE MASON JAR LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit E,Juneau,2771 Sherwood Ln Unit E,Juneau City and Borough,58.3710907,-134.6166209,(907) 500-7420,http://www.akmasonjar.com/,,,2023-12-20T16:06:13.010000
13382,1054904,EAST RIP,Retail Marijuana Store,Active-Operating,EAST RIP,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,SUITE D,KENAI,10767 Kenai Spur Hwy Space D,Kenai Peninsula Borough,60.5563168,-151.2418947,(907) 283-7833,http://www.east-rip.com/,,,2023-12-20T16:06:13.010000
14083,2089241,Alaska Weeds,Retail Marijuana Store,Active-Operating,Alaska Weeds,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 2A,Anchorage,6209 Mike St #2a,Anchorage Municipality,61.164478,-149.8915869,(907) 349-3337,,,,2023-12-20T16:06:13.010000
14200,2091163,Matanuska Cannabis Company,Retail Marijuana Store,Active-Operating,Matanuska Cannabis Company,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Palmer,99645,3550 S Old Glenn Hwy,Matanuska-Susitna Borough,61.5419727,-149.0363912,(907) 745-4211,http://matanuskacannabis.com/,,,2023-12-20T16:06:13.010000
14359,1039577,"TIP TOP, LLC",Retail Marijuana Store,Active-Operating,"TIP TOP, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 1,Anchorage,233 E 5th Ave,Anchorage Municipality,61.2177366,-149.8798657,(907) 644-3066,http://tiptopalaska.com/,,,2023-12-20T16:06:13.010000
15016,2083338,Clear Cut Cannabis,Retail Marijuana Store,Active-Operating,Clear Cut Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99518,1133 E 68th Ave,Anchorage Municipality,61.1594147,-149.8608935,(907) 245-0044,https://clearcutcannabis907.com/,,,2023-12-20T16:06:13.010000
