business_legal_name,license_type,license_status,address,details_url,license_number,issue_date,expiration_date,business_owner_name,business_email,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,business_image_url,business_website,business_phone,id,business_dba_name,data_refreshed_date
NIRVANA NM LLC,Cannabis Retailer,Active,"6200 MONTGOMERY BLVD NE, Suites A,  B,  and D, ALBUQUERQUE, NM, 87111",,CCD-2022-0086-001,2/24/2022,2/24/2025,"SHERAZ WARRAICH, SARAH WARRAICH",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0086-001,NIRVANA NM LLC,2024-02-06T00:46:51.386169
"420 Tea Time, LLC",Cannabis Retailer,Active,"35 Rover Blvd, Suite G #140, WhiteRock, NM, 87547",,CCD-2022-0518-001,6/17/2022,6/17/2024,Christa Tyler,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0518-001,"420 Tea Time, LLC",2024-02-06T00:46:51.386169
Vana Society LLC,Cannabis Retailer,Active,"3608 N Prince St, Suite E, Clovis, NM, 88101",,CCD-2022-0064-001,2/9/2022,2/9/2025,"Riddhi Bhakta, Parin Kumar",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0064-001,Vana Society LLC,2024-02-06T00:46:51.386169
Arrive,Cannabis Retailer,Active,"248 Dp Rd, Los Alamos, NM, 87544",,Premises License,2/8/2022,2/8/2024,Robin Fellers,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Arrive,2024-02-06T00:46:51.386169
The Green Matrix,Cannabis Retailer,Active,"3100 S Highway 28, Anthony, NM, 88021",,Premises License,4/4/2022,4/4/2024,"Gary Clements, Thomas Moore, Pamela Moore",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,The Green Matrix,2024-02-06T00:46:51.386169
"Green World Taos, Inc.",Cannabis Retailer,Active,"1034 Paseo De Pueblo Sur, Taos, NM, 87571",,CCD-2022-0171-001,3/22/2022,3/22/2024,"Leonard Garcia, Adrian Maestas",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0171-001,"Green World Taos, Inc.",2024-02-06T00:46:51.386169
Bloom Management Group LLC,Cannabis Retailer,Active,"615 East Lohman Ave, Unit 8, Las Cruces, NM, 88001",,CCD-2022-0244-001,4/4/2022,4/4/2024,"Travaughn Colwell, Tyson Anderson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0244-001,Bloom Management Group LLC,2024-02-06T00:46:51.386169
Skarsgard Farms,Cannabis Retailer,Active,"301 Standford Dr SE, Albuquerque, NM, 87106",,CCD-2022-0119-001,3/13/2022,3/13/2024,Andrew Skarsgard,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0119-001,Skarsgard Farms,2024-02-06T00:46:51.386169
Healthy Education Society,Cannabis Retailer,Active,{FullAddress},,Premises License,9/20/2021,9/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Healthy Education Society,2024-02-06T00:46:51.386169
ALL IN 107 MAIN ST LLC,Cannabis Retailer,Active,"107 S Main Ave, Portales, NM, 88130",,CCD-2022-0118-001,3/13/2022,3/13/2024,Gregory Seale,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0118-001,ALL IN 107 MAIN ST LLC,2024-02-06T00:46:51.386169
High Timez of Santa Fe,Cannabis Retailer,Active,"239 Johnson, #2, Santa fe, NM, 87501",,Premises License,4/26/2022,4/26/2024,Noreen Quintana,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,High Timez of Santa Fe,2024-02-06T00:46:51.386169
Happy Smiles LLC,Cannabis Retailer,Active,"610 E Kansas Ave, Jal, NM, 88252",,Premises License,4/26/2022,4/26/2024,Larry Burns,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Happy Smiles LLC,2024-02-06T00:46:51.386169
"CCC Holdings, LLC",Cannabis Retailer,Active,"102 Mexican Avenue, Unit 420, Cloudcroft, NM, 88317",,CCD-2022-0067-001,2/10/2022,2/10/2024,"Jessie Willett, John Battle",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0067-001,"CCC Holdings, LLC",2024-02-06T00:46:51.386169
May Flower,Cannabis Retailer,Active,"301 S 5th St., Estancia, NM, 87016",,CCD-2022-0223-001,3/27/2022,3/27/2024,Amy Embick,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0223-001,May Flower,2024-02-06T00:46:51.386169
"MasBuds, LLC",Cannabis Retailer,Active,"142 Wyatt Drive, Las Cruces, NM, 88005",,CCD-2022-0257-001,4/4/2022,4/4/2024,"Ronald Bender, Maria Munitor Bender",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0257-001,"MasBuds, LLC",2024-02-06T00:46:51.386169
Tsimayo LLC,Cannabis Retailer,Active,"34281A US Highway 285, Ojo Caliente, NM, 87549",,Premises License,5/18/2022,5/18/2024,Dennis Garcia,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Tsimayo LLC,2024-02-06T00:46:51.386169
Mountain High Express,Cannabis Retailer,Active,"2381 Frontage Road, Chama, NM, 87520",,Premises License,2/19/2022,2/19/2024,Kristine Sliger,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Mountain High Express,2024-02-06T00:46:51.386169
"Got Greens, LLC",Cannabis Retailer,Active,"10200 Corrales Rd NW,  Suite E-2, Albuquerque, NM, 87114",,CCD-2022-0137-001,3/17/2022,3/17/2024,"Adan Tesch, Robert Ganster, Amar Tesch",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0137-001,"Got Greens, LLC",2024-02-06T00:46:51.386169
Smokal Smoke Local,Cannabis Retailer,Active,"212 Becker Ave, Belen, NM, 87002",,CCD-2022-0300-001,4/14/2022,4/14/2024,"Chris Gabaldon, Jay Peters",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0300-001,Smokal Smoke Local,2024-02-06T00:46:51.386169
Smokal Smoke Local,Cannabis Retailer,Active,"402 S California St, Socorro, NM, 87801",,CCD-2022-0300-002,4/14/2022,4/14/2024,"Chris Gabaldon, Jay Peters",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0300-002,Smokal Smoke Local,2024-02-06T00:46:51.386169
Cardiel Botanica Ltd. Co.,Cannabis Retailer,Active,"1685 McNutt, Sunland Park, NM, 88063",,Premises License,5/27/2022,5/27/2024,Gabriel Cardiel,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Cardiel Botanica Ltd. Co.,2024-02-06T00:46:51.386169
Cardiel Botanica Ltd. Co.,Cannabis Retailer,Active,"100 Palomas Pl, Suite B-2, Sunland Park, NM, 88063",,CCD-2022-0453-002,5/27/2022,5/27/2024,Gabriel Cardiel,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0453-002,Cardiel Botanica Ltd. Co.,2024-02-06T00:46:51.386169
Laughing Leaf Dispensary,Cannabis Retailer,Active,"504 Burro Ave, Cloudcroft, NM, 88317",,CCD-2022-0220-001,3/27/2022,3/27/2024,"Cheryl Miller, Harold Wilson, Cheryl Miller, Cheryl Miller",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0220-001,Laughing Leaf Dispensary,2024-02-06T00:46:51.386169
Laughing Leaf Dispensary,Cannabis Retailer,Active,"900 St. Francis Dr., Tularosa, NM, 88352",,CCD-2022-0220-002,3/27/2022,3/27/2024,"Cheryl Miller, Harold Wilson, Cheryl Miller, Cheryl Miller",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0220-002,Laughing Leaf Dispensary,2024-02-06T00:46:51.386169
Chronic Kings LLC,Cannabis Retailer,Active,"400 Lomas Blvd NE, Albuquerque, NM, 87102",,Premises License,4/23/2022,4/23/2024,"Dominic Holguin, Jose Vialpando, Dominic Holguin, Antonio Vialpando",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Chronic Kings LLC,2024-02-06T00:46:51.386169
M THOMAS LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,6/7/2022,6/7/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,M THOMAS LLC,2024-02-06T00:46:51.386169
CMC Cannabis Dispensary LLC,Cannabis Retailer,Active,"611 W Historic Hwy 66, Gallup, Gallup, NM, 87301",,CCD-2022-0618-001,7/13/2022,7/13/2024,Mikkicee Manning,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0618-001,CMC Cannabis Dispensary LLC,2024-02-06T00:46:51.386169
Urban Wellness,Cannabis Retailer,Active,{FullAddress},,Premises License,9/20/2021,9/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Urban Wellness,2024-02-06T00:46:51.386169
Ricardo O Wilson,Cannabis Retailer,Active,"1886 W Picacho Ave, Las Cruces, NM, 88005",,Premises License,4/27/2022,4/27/2024,Ricardo Wilson,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Ricardo O Wilson,2024-02-06T00:46:51.386169
Raminder S. Aulakh,Cannabis Retailer,Active,"1310 West Spruce Street, Deming, NM, 88030",,CCD-2022-0179-001,3/23/2022,3/23/2024,Ray Aulakh,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0179-001,Raminder S. Aulakh,2024-02-06T00:46:51.386169
New Mexico Top Organics Ultra Health Inc,Cannabis Retailer,Active,{FullAddress},,Premises License,9/20/2021,9/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,New Mexico Top Organics Ultra Health Inc,2024-02-06T00:46:51.386169
SANDIA SONS LLC,Cannabis Retailer,Active,"3601 Princeton Dr NE, Albuquerque, NM, 87107",,CCD-2022-0209-001,3/26/2022,3/26/2024,"Pierre Amestoy, Adam Amestoy",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0209-001,SANDIA SONS LLC,2024-02-06T00:46:51.386169
Picuris Smokes,Cannabis Retailer,Active,"100 W Alameda Street, Santa Fe, NM, 87501",,CCD-2022-0694-001,8/3/2022,8/3/2024,Craig Quanchello,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0694-001,Picuris Smokes,2024-02-06T00:46:51.386169
"Madrid Cannabis, Inc.",Cannabis Retailer,Active,"14 Railyard Ln, Madrid, NM, 87010",,Premises License,3/19/2022,3/19/2024,Mary Melinda Bonewell,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Madrid Cannabis, Inc.",2024-02-06T00:46:51.386169
High Ways NM LLC,Cannabis Retailer,Active,"3401 San Mateo Blvd NE, Suite B, Albuquerque, NM, 87110",,Premises License,1/24/2022,1/24/2025,Dustin Kemp,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,High Ways NM LLC,2024-02-06T00:46:51.386169
Stephen Lin hayden,Cannabis Retailer,Active,"21 Private Road 3004 AKA 21 Willow lane, Raton, NM, 87740",,CCD-2021-0039-001,12/17/2021,12/17/2024,Stephen Hayden,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2021-0039-001,Stephen Lin hayden,2024-02-06T00:46:51.386169
GreenGo NM,Cannabis Retailer,Active,"2000 E Lohman Avenue Suite E, Las Cruces, NM, 88001",,Premises License,3/16/2022,3/16/2024,NORA LANCASTER,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,GreenGo NM,2024-02-06T00:46:51.386169
Green Minded Holdings LLC,Cannabis Retailer,Active,"2330 Sudderth Drive, Ruidoso, NM, 88345",,CCD-2022-0030-001,1/18/2022,1/18/2025,"Colin Hood, Bailey Huffmon",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0030-001,Green Minded Holdings LLC,2024-02-06T00:46:51.386169
Cloud 9 Zendustries,Cannabis Retailer,Active,"5200 Constitution Ave NE, Albuquerque, NM, 87110",,CCD-2022-0014-001,1/11/2022,1/11/2025,"Andrew Dodson, Glenn Trahan",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0014-001,Cloud 9 Zendustries,2024-02-06T00:46:51.386169
KUSHOLOGY 101,Cannabis Retailer,Active,"1600 E OHARA RD, Anthony, NM, 88021",,CCD-2022-0054-001,2/3/2022,2/3/2024,"JIMMY NEVAREZ, JULIAN NEVAREZ, ANDREW BARBER, PETER BARBER, JOHN BARBER JR",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0054-001,KUSHOLOGY 101,2024-02-06T00:46:51.386169
"HoneyBudz, LLC",Cannabis Retailer,Active,"9 Main Street, Clayton, NM, 88415",,CCD-2022-0180-001,3/23/2022,3/23/2024,"Elisa Truelove, Isaac Truelove, Christian Truelove",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0180-001,"HoneyBudz, LLC",2024-02-06T00:46:51.386169
ST CANAPA LLC,Cannabis Retailer,Active,"5305 Mcnutt Road, Santa Teresa, NM, 88008",,Premises License,3/10/2022,3/10/2024,"Jose Hernandez, Keyvan Parsa",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,ST CANAPA LLC,2024-02-06T00:46:51.386169
ST CANAPA LLC,Cannabis Retailer,Active,"1608 Sudderth Drive, Ruidoso, NM, 88345",,CCD-2022-0105-002,3/10/2022,3/10/2024,"Jose Hernandez, Keyvan Parsa",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0105-002,ST CANAPA LLC,2024-02-06T00:46:51.386169
ST CANAPA LLC,Cannabis Retailer,Active,"250 W. Amador Avenue, Las Cruces, NM, 88005",,CCD-2022-0105-003,3/10/2022,3/10/2024,"Jose Hernandez, Keyvan Parsa",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0105-003,ST CANAPA LLC,2024-02-06T00:46:51.386169
"Organ Mountain Organix, LLC",Cannabis Retailer,Active,"1300 El Paseo Rd STE I, Las Cruces, NM, 88001",,CCD-2022-0199-001,3/26/2022,3/26/2024,"Haily Vaughan, Kayla Martinez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0199-001,"Organ Mountain Organix, LLC",2024-02-06T00:46:51.386169
Hashtag Cannabis LLC,Cannabis Retailer,Active,"2460 Missouri, Las Cruces, NM, 88001",,CCD-2022-0153-001,3/20/2022,3/20/2024,"Alberto Reyes, Eric Madrid, Isaac Ochoa, Lionel Cerna",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0153-001,Hashtag Cannabis LLC,2024-02-06T00:46:51.386169
New Air LLC,Cannabis Retailer,Active,"105 E Paseo de Onate, Espanola, NM, 87532",,CCD-2022-0114-001,3/13/2022,3/13/2024,"Terri Rodriguez, Kelly Dawson, Kelly Dawson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0114-001,New Air LLC,2024-02-06T00:46:51.386169
Sangre De Cristo Retail LLC,Cannabis Retailer,Active,"216A Paseo Del Pueblo Sur, Taos, NM, 87571",,CCD-2022-0231-001,3/31/2022,3/31/2024,"Dillon Gross, Shane Brocchini, Shawn Short",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0231-001,Sangre De Cristo Retail LLC,2024-02-06T00:46:51.386169
505 Farms ABQ LLC,Cannabis Retailer,Active,"1456 Peyton road, Los Lunas, NM, 87031",,Premises License,4/28/2022,4/28/2024,Andre Galarza,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,505 Farms ABQ LLC,2024-02-06T00:46:51.386169
The Verdes Foundation,Cannabis Retailer,Active,{FullAddress},,Premises License,9/20/2021,9/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,The Verdes Foundation,2024-02-06T00:46:51.386169
Cinder New Mexico LLC,Cannabis Retailer,Active,"800 3rd St NW, Albuquerque, NM, 87102",,CCD-2022-0183-001,3/23/2022,3/23/2024,Justin Peterson,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0183-001,Cinder New Mexico LLC,2024-02-06T00:46:51.386169
Cowboy Verde LLC,Cannabis Retailer,Active,"1605 Mabry Dr, Clovis, NM, 88101",,CCD-2022-0126-001,3/15/2022,3/15/2024,Anthony Torrez,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0126-001,Cowboy Verde LLC,2024-02-06T00:46:51.386169
Loves Cannabis,Cannabis Retailer,Active,"1220 Eubank Blvd NE Ste B, Albuquerque, NM, 87112",,CCD-2022-0188-001,3/24/2022,3/24/2025,Chonour Varyani,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0188-001,Loves Cannabis,2024-02-06T00:46:51.386169
OneStopSmokeShopVaper@accessories,Cannabis Retailer,Active,"1713 San Pedro Dr NE, Albuquerque, NM, 87110",,CCD-2022-0208-001,3/26/2022,3/26/2024,Richard Jones,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0208-001,OneStopSmokeShopVaper@accessories,2024-02-06T00:46:51.386169
505four20,Cannabis Retailer,Active,"312 E Reinken Ave, Belen, NM, 87002",,CCD-2022-0268-001,4/9/2022,4/9/2024,"robert Montoya, John English, Aaron Brown",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0268-001,505four20,2024-02-06T00:46:51.386169
Marcos Antonio Pagan Cartigiano,Cannabis Retailer,Active,"301 San Pedro NE, Albuquerque, NM, 87108",,CCD-2022-0166-001,3/21/2022,3/21/2024,marcos cartigiano,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0166-001,Marcos Antonio Pagan Cartigiano,2024-02-06T00:46:51.386169
Minerva Canna Group Inc,Cannabis Retailer,Active,{FullAddress},,Premises License,9/21/2021,10/21/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Minerva Canna Group Inc,2024-02-06T00:46:51.386169
"Canna Fe, LLC",Cannabis Retailer,Active,"1343 Rufina Circle, Santa Fe, NM, 87507",,CCD-2022-0356-001,4/26/2022,4/26/2024,Cynthia Alexis,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0356-001,"Canna Fe, LLC",2024-02-06T00:46:51.386169
HappyDaze LLC,Cannabis Retailer,Active,"3614 High St NE, Albuquerque, NM, 87107",,Premises License,1/25/2022,1/25/2024,"John Garcia, Emily Dieckman",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,HappyDaze LLC,2024-02-06T00:46:51.386169
AYAS 2021 LLC,Cannabis Retailer,Active,"1811 S Ave D, Portales, NM, 88130",,CCD-2022-0176-001,3/22/2022,3/22/2024,mohammed mohammed,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0176-001,AYAS 2021 LLC,2024-02-06T00:46:51.386169
AYAS 2021 LLC,Cannabis Retailer,Active,"408 N Norris Street, clovis, NM, 88101",,CCD-2022-0176-002,3/22/2022,3/22/2024,mohammed mohammed,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0176-002,AYAS 2021 LLC,2024-02-06T00:46:51.386169
TKO Cannabis LLC,Cannabis Retailer,Active,"2302 W Pierce St, Suite D 5 & 6, Carlsbad, NM, 88220",,CCD-2022-0167-001,3/22/2022,3/22/2024,"April Smith, Cynthia David",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0167-001,TKO Cannabis LLC,2024-02-06T00:46:51.386169
TKO Cannabis LLC,Cannabis Retailer,Active,"1215 S Canal, Carlsbad, NM, 88201",,CCD-2022-0167-002,3/22/2022,3/22/2024,"April Smith, Cynthia David",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0167-002,TKO Cannabis LLC,2024-02-06T00:46:51.386169
Z's Bud Board LLC,Cannabis Retailer,Active,"200 Mechem, Unit 5, Ruidoso, NM, 88345",,CCD-2022-0248-001,4/4/2022,4/4/2024,"Lakyeemo Granger, Alexis Armendariz, James Bajis",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0248-001,Z's Bud Board LLC,2024-02-06T00:46:51.386169
"LAGGRAY, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,2/20/2022,2/20/2025,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"LAGGRAY, LLC",2024-02-06T00:46:51.386169
Outlaw Herbs,Cannabis Retailer,Active,"731 4th St., Fort Sumner, NM, 88119",,Premises License,4/14/2022,4/14/2024,"Shannon Edelman, Joseph Edelman",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Outlaw Herbs,2024-02-06T00:46:51.386169
E&S Holdings LLC.,Cannabis Retailer,Active,"1903 Edith NE, Albuquerque, NM, 87102",,CCD-2022-0192-001,3/24/2022,3/24/2024,Elizabeth Derby,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0192-001,E&S Holdings LLC.,2024-02-06T00:46:51.386169
"Distinguished Dispensary, LLC",Cannabis Retailer,Active,"4601 English Road, Farmington, NM, 87402",,CCD-2022-0307-001,4/16/2022,4/16/2024,"Justin Lewis, Shannon Lewis, Christopher Schramm",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0307-001,"Distinguished Dispensary, LLC",2024-02-06T00:46:51.386169
Chillax Glass,Cannabis Retailer,Active,"200 Sudderth Rd Unit A & B, Ruidoso, NM, 88345",,CCD-2022-0413-001,5/7/2022,5/7/2024,"Ronda Dougherty, Craig Dougherty",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0413-001,Chillax Glass,2024-02-06T00:46:51.386169
"Round House Reserve, LLC",Cannabis Retailer,Active,"200 South Solano, Suite 3, Las Cruces, NM, 88001",,Premises License,5/24/2022,5/24/2024,"Jordan Barber, Richard Nieto",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Round House Reserve, LLC",2024-02-06T00:46:51.386169
"Round House Reserve, LLC",Cannabis Retailer,Active,"725 S Solano Dr, Las Cruces, NM, 88001",,CCD-2022-0443-003,5/24/2022,5/24/2024,"Jordan Barber, Richard Nieto",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0443-003,"Round House Reserve, LLC",2024-02-06T00:46:51.386169
Fruit of the Earth Organics,Cannabis Retailer,Active,{FullAddress},,Premises License,9/20/2021,9/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Fruit of the Earth Organics,2024-02-06T00:46:51.386169
