license_number,business_legal_name,business_dba_name,Street,premise_city,premise_zip_code,data_refreshed_date,license_type,license_designation,Licensee Name,License Number,Address,Zipcode,Microbials,Mycotoxins,Residual Solvents,id,license_status,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,premise_street_address,premise_county,premise_latitude,premise_longitude,business_website
402-00603,LIGHTSHADE LABS LLC,Lightshade,3950 North Holly Street,Denver,80207,2024-01-02,Stores,Adult-Use,,,,,,,,402-00603,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00930,BIG MOUNTAIN ORGANICS LLC,Big Medicine Cannabissary,2909 North El Paso Street,Colorado Springs,80907,2024-01-02,Stores,Adult-Use,,,,,,,,402-00930,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00693,KARMACEUTICALS LLC,Karmaceuticals,4 South Santa Fe Drive,Denver,80223,2024-01-02,Stores,Adult-Use,,,,,,,,402-00693,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00992,TRINIDADS HIGHER CALLING U LLC,TRINIDADS HIGHER CALLING U LLC,1000 Independence Road,Trinidad,81082,2024-01-02,Stores,Adult-Use,,,,,,,,402-00992,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00123,HEALTHY LEAF LLC,Healthy Leaf,3715 Drennan Road,Colorado Springs,80910,2024-01-02,Stores,Adult-Use,,,,,,,,402-00123,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00989,IGADI LTD,IgadI,72399 US Highway 40  Unit B,Tabernash,80478,2024-01-02,Stores,Adult-Use,,,,,,,,402-00989,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00977,RJJ SHERIDAN LLC,Native Roots Littleton,7870 West Quincy Avenue,Denver,80123,2024-01-02,Stores,Adult-Use,,,,,,,,402-00977,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01065,WILDFLOWERS COLORADO SPRINGS INC,Wildflowers Dispensary,5495 North Academy Boulevard,Colorado Springs,80918,2024-01-02,Stores,Adult-Use,,,,,,,,402-01065,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00051,COMPASSIONATE CARE GIVERS INC,Rocky Mountain High,"1538 Wazee Street, Suite 100",Denver,80202,2024-01-02,Stores,Adult-Use,,,,,,,,402-00051,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01328,SISTEM COMMERCE CITY LLC,Silver Stem Fine Cannabis,5275 Quebec Street Unit 105,Commerce City,80022,2024-01-02,Stores,Adult-Use,,,,,,,,402-01328,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00039,SUMMIT WELLNESS,DENREC Denver Recreational Dispensary,2042 South Bannock Street,Denver,80223,2024-01-02,Stores,Adult-Use,,,,,,,,402-00039,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01330,AF INC,Apothecary Farms,414 West Garden of the Gods Road,Colorado Springs,80918,2024-01-02,Stores,Adult-Use,,,,,,,,402-01330,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00116,1022 S ROYER LLC,Hightops,1022 South Royer Street,Colorado Springs,80903,2024-01-02,Stores,Adult-Use,,,,,,,,402-00116,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00551,GREEN MEDICINE LLC,Green Medicine Wellness,1030 Grand Avenue,Glenwood Springs,81601,2024-01-02,Stores,Adult-Use,,,,,,,,402-00551,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00773,GATSBY HOLDINGS LLC,Billo,3150 Ingles Lane,Steamboat Springs,80487,2024-01-02,Stores,Adult-Use,,,,,,,,402-00773,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00972,RJJ EDGEWATER LLC,Native Roots Edgewater,5610 West 20th Avenue,Edgewater,80214,2024-01-02,Stores,Adult-Use,,,,,,,,402-00972,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00942,JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,"4550 South Kipling Street, Unit 4",Denver,80127,2024-01-02,Stores,Adult-Use,,,,,,,,402-00942,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00375,AF INC,Apothecary Farms,2251 South Broadway,Denver,80210,2024-01-02,Stores,Adult-Use,,,,,,,,402-00375,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00075,METRO CANNABIS INC,SILVER STEM FINE CANNABIS,8151 East Colfax Avenue,Denver,80220,2024-01-02,Stores,Adult-Use,,,,,,,,402-00075,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01656,HIGH STAKES LEAFERY LLC,HIGH STAKES LEAFERY LLC,324 Highway 67 #D,Cripple Creek,80813,2024-01-02,Stores,Adult-Use,,,,,,,,402-01656,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01563,RJJ GRAND JUNCTION LLC,Native Roots Grand Junction,683 Horizon Drive Unit 110,Grand Junction,81506,2024-01-02,Stores,Adult-Use,,,,,,,,402-01563,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00893,J&R PARTNERS LLC,Native Roots Vail,"41290 Highway 6, Unit B5",Avon,81620,2024-01-02,Stores,Adult-Use,,,,,,,,402-00893,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01221,LIGHTSHADE LABS LLC,Lightshade,12075 East 40th Avenue,Denver,80239,2024-01-02,Stores,Adult-Use,,,,,,,,402-01221,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01122,GREEN SATIVA LLC,GREEN SATIVA LLC,"8411 Pecos Street, Unit G & H",Federal Heights,80260,2024-01-02,Stores,Adult-Use,,,,,,,,402-01122,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01039,MAGIC CITY FARMS 2 LLC,Magic City Cannabis,3819 North Quentin Street,Denver,80239,2024-01-02,Stores,Adult-Use,,,,,,,,402-01039,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00983,BIOMEDS OF COLORADO LLC,BIOMEDS OF COLORADO LLC,2301 Rand Avenue,Colorado Springs,80905,2024-01-02,Stores,Adult-Use,,,,,,,,402-00983,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01278,YUMA WAY LLC,Twin Peaks Dispensary,"900 South Hover Street, Unit A",Longmont,80501,2024-01-02,Stores,Adult-Use,,,,,,,,402-01278,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00399,NUVUE PHARMA LLC,NUVUE PHARMA LLC,"1842 South Parker Road, Unit 18",Denver,80231,2024-01-02,Stores,Adult-Use,,,,,,,,402-00399,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00975,COLORADO DISTRIBUTING INC,The Dispo,893 East Enterprise Drive,Pueblo West,81007,2024-01-02,Stores,Adult-Use,,,,,,,,402-00975,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00864,CANNACURA LLC,Vital Cannabis,1675 Jet Wing Drive,Colorado Springs,80916,2024-01-02,Stores,Adult-Use,,,,,,,,402-00864,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00313,HEALING HOUSE LAKEWOOD LLC,Ascend Cannabis Co.,10712 West Alameda Avenue,Lakewood,80226,2024-01-02,Stores,Adult-Use,,,,,,,,402-00313,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00956,WELLNESS CENTER OF THE ROCKIES INC,The Center,600 South Broadway,Denver,80209,2024-01-02,Stores,Adult-Use,,,,,,,,402-00956,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00687,MAKENA UNLIMITED LLC,MAKENA UNLIMITED LLC,2568 South Broadway,Denver,80210,2024-01-02,Stores,Adult-Use,,,,,,,,402-00687,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00837,LIVWELL VII LLC,LivWell,900 North College Avenue,Fort Collins,80524,2024-01-02,Stores,Adult-Use,,,,,,,,402-00837,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00670,BGOOD VENTURES LLC,BGOOD Apothecary,80 South Pennsylvania Street,Denver,80209,2024-01-02,Stores,Adult-Use,,,,,,,,402-00670,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01291,ROCKY FORD STATION LLC,The Station,1701 Elm Avenue,Rocky Ford,81067,2024-01-02,Stores,Adult-Use,,,,,,,,402-01291,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00696,EZ NATURAL ALTERNATIVES LLC,Cookies,"3475 Pine Tree Square, Suite E",Colorado Springs,80909,2024-01-02,Stores,Adult-Use,,,,,,,,402-00696,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00877,POTCO LLC,PotCo,11101 East 51st Avenue,Denver,80239,2024-01-02,Stores,Adult-Use,,,,,,,,402-00877,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00351,MC STRATEGIC VENTURES LLC,Jade Kola,3750 Astrozon Boulevard Suite140,Colorado Springs,80910,2024-01-02,Stores,Adult-Use,,,,,,,,402-00351,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00011,JGB VENTURES LLC,DANK,"3835 North Elm Street, Unit C",Denver,80207,2024-01-02,Stores,Adult-Use,,,,,,,,402-00011,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01211,ROCKY FARMS LLC,Rocky Farms,1709 Swink Avenue,Rocky Ford,81067,2024-01-02,Stores,Adult-Use,,,,,,,,402-01211,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01300,N&G ENTERPRISES LLC,Cookies Commerce City,5385 Quebec Street,Commerce City,80022,2024-01-02,Stores,Adult-Use,,,,,,,,402-01300,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00194,THE DANDELION LLC,The Dandelion,845 Walnut Street,Boulder,80302,2024-01-02,Stores,Adult-Use,,,,,,,,402-00194,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01552,MTB CO LLC,Lakeshore Cannabis,2517 North Sheridan Boulevard,Edgewater,80214,2024-01-02,Stores,Adult-Use,,,,,,,,402-01552,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01166,YUMA WAY LLC,Cherry Peak,4601 East Mississippi Avenue,Glendale,80246,2024-01-02,Stores,Adult-Use,,,,,,,,402-01166,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00385,MEDICAL MJ SUPPLY LLC,Best Colorado Meds.org,4800 Lamar Street,Wheat Ridge,80033,2024-01-02,Stores,Adult-Use,,,,,,,,402-00385,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01313,GREEN MEADOWS DISPENSARY LLC,Green Meadows Dispensary LLC,"25 Stafford Lane, Unit 3 ",Delta,81416,2024-01-02,Stores,Adult-Use,,,,,,,,402-01313,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00490,GREEN MEADOWS DISPENSARY LLC,Green Meadows Dispensary LLC,23360 South Highway 550,Montrose,81403,2024-01-02,Stores,Adult-Use,,,,,,,,402-00490,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00967,CORRIDOR 70 LLC,EverBloom,10185 West 49th Avenue,Wheat Ridge,80033,2024-01-02,Stores,Adult-Use,,,,,,,,402-00967,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01170,BISHFLIP LLC,RIPPLE,3615 East Platte Avenue,Colorado Springs,80909,2024-01-02,Stores,Adult-Use,,,,,,,,402-01170,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00842,SOLACE MEDS LLC,SOLACE MEDS LLC,"301 Smokey Street, Unit A",Fort Collins,80525,2024-01-02,Stores,Adult-Use,,,,,,,,402-00842,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00498,DGS INC,The Kind Room,1881 South Broadway ,Denver,80210,2024-01-02,Stores,Adult-Use,,,,,,,,402-00498,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00383,THE EPIC REMEDY LLC,The ER,1202 East Fillmore Street,Colorado Springs,80907,2024-01-02,Stores,Adult-Use,,,,,,,,402-00383,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01168,MAGNOLIA ROAD INC,Magnolia Road Cannabis Co,2489 South Academy Boulevard,Colorado Springs,80916,2024-01-02,Stores,Adult-Use,,,,,,,,402-01168,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00815,GM CO SPRINGS LLC,Golden Meds,329 East Pikes Peak Avenue,Colorado Springs,80903,2024-01-02,Stores,Adult-Use,,,,,,,,402-00815,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00786,SPRINGS DMC ENTERPRISES LLC,High Hopes,"288 South Academy Boulevard, Suite C",Colorado Springs,80910,2024-01-02,Stores,Adult-Use,,,,,,,,402-00786,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01120,ROYAL ASSET MANAGEMENT LLC,Frost Exotic Cannabis,2949 West Alameda Avenue,Denver,80219,2024-01-02,Stores,Adult-Use,,,,,,,,402-01120,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
