application_status,license_type,application_classification,application_classification_1,application_classification_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,ccclastupdated,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MR284983,Uma Flowers Waltham LLC,Waltham,2451.0,,,109 Raffaele Dr,,Waltham,MA,2452,POINT (-71.275566 42.459085),POINT (-71.266037 42.3828570),2 Tarbell St,,Pepperell,MA,1463,84-4791192,MRN284983,Mon Sep 18 2023 12:30:29 GMT-0400 (Eastern Daylight Time),Thu Aug 31 2023 15:10:44 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Sat Jul 01 2023 21:11:21 GMT-0400 (Eastern Daylight Time),Fri Sep 22 2023 14:54:11 GMT-0400 (Eastern Daylight Time),Thu Jan 11 2024 12:41:51 GMT-0500 (Eastern Standard Time),,,1500.0,,2451.0,Waltham,Middlesex,42.459085,-71.275566,Northeast,,MA,42.382857,-71.266038,,3/22/2024,Uma Flowers Waltham LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,10/7/2020,COMPLETE,MR282519,Ganesh Wellness Inc.,West Boylston,1583.0,,,50 Congress St. Suite 420,,Boston,MA,2109,POINT (-71.840209 42.329642),POINT (-71.783381 42.3586499),62 Church Hill Rd,,Newtown,CT,6470,82-4520628,MRN282519,Mon Mar 09 2020 20:37:29 GMT-0400 (Eastern Daylight Time),Mon Oct 28 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Minority-Owned Business | Woman-Owned Business,,,Thu Sep 10 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Mar 25 2019 13:12:57 GMT-0400 (Eastern Daylight Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Fri May 08 2020 14:17:49 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jun 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1583.0,West Boylston,Worcester,42.329642,-71.840209,Central MA,,MA,42.35865,-71.783381,,3/22/2024,Ganesh Wellness Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MR283919,"BOATHOUSE STORE, LLC",Webster,1570.0,,,4 Town Forest Road,Unit A,Webster,MA,1570,POINT (-71.840209 42.329642),POINT (-71.861243 42.0777020),PO Box 1210,,Webster,MA,1570,85-4021893,MRN283919,Fri Feb 12 2021 12:23:23 GMT-0500 (Eastern Standard Time),Wed Jan 20 2021 15:56:11 GMT-0500 (Eastern Standard Time),,True,no,,,,,,,,Not a DBE,,,,Fri Nov 27 2020 09:40:18 GMT-0500 (Eastern Standard Time),Fri Feb 26 2021 13:06:26 GMT-0500 (Eastern Standard Time),Fri Apr 16 2021 13:49:46 GMT-0400 (Eastern Daylight Time),,,1500.0,,1570.0,Webster,Worcester,42.329642,-71.840209,Central MA,Unit A,MA,42.077702,-71.861243,,3/22/2024,"BOATHOUSE STORE, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,9/11/2023,COMPLETE,MR282601,"ToroVerde (Massachusetts), Inc.",Northampton,1060.0,,,C/O EvansCutler Attorneys 90 Conz Street,,Northampton,MA,1060,POINT (-72.62073 42.322256),POINT (-72.638279 42.3386939),C/O EvansCutler Attorneys 90 Conz Street,,Northampton,MA,1060,35-2638738,MRN282601,Tue Jan 21 2020 11:08:39 GMT-0500 (Eastern Standard Time),Wed Nov 13 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Jun 29 2020 16:09:52 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,,,Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Apr 13 2019 16:28:21 GMT-0400 (Eastern Daylight Time),Thu Mar 05 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri May 08 2020 15:06:30 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jun 29 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1060.0,Northampton,Hampshire,42.322256,-72.62073,Western MA,Unit 2,MA,42.338694,-72.63828,,3/22/2024,"ToroVerde (Massachusetts), Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,8/5/2021,COMPLETE,MR282947,"Patient Centric of Martha's Vineyard, Ltd.",West Tisbury,2575.0,,,90 Dr. Fisher Rd.,,West Tisbury,MA,2575,POINT (-70.612681 41.414842),POINT (-70.668340 41.4148769),PO Box 1323,,West Tisbury,MA,2575,46-3391023,MRN282947,Mon Dec 23 2019 16:02:08 GMT-0500 (Eastern Standard Time),Mon Nov 04 2019 00:00:00 GMT-0500 (Eastern Standard Time),Wed Sep 30 2020 17:49:40 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201928,RP201910,Not a DBE,,,Thu Jul 15 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Aug 20 2019 20:51:24 GMT-0400 (Eastern Daylight Time),Tue May 26 2020 13:57:55 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 15:31:40 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 30 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,2575.0,West Tisbury,Dukes,41.414842,-70.612681,Southeast and Cape,,MA,41.414877,-70.66834,,3/22/2024,"Patient Centric of Martha's Vineyard, Ltd.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,8/25/2022,COMPLETE,MR283896,SOLAR RETAIL NORTON LLC,Norton,2766.0,,,242 MANSFIELD AVE,,NORTON,MA,2766,POINT (-71.102131 41.778329),POINT (-71.211230 41.9903809),385 GREAT RD,,BEDFORD,MA,1730,85-2505266,MRN283896,Thu Jan 07 2021 17:02:01 GMT-0500 (Eastern Standard Time),Mon Jan 04 2021 15:17:48 GMT-0500 (Eastern Standard Time),Mon Apr 19 2021 10:35:42 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,,,Thu Jul 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Nov 15 2020 11:25:28 GMT-0500 (Eastern Standard Time),Thu Jan 14 2021 11:50:33 GMT-0500 (Eastern Standard Time),Thu Mar 11 2021 14:06:04 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Apr 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2766.0,Norton,Bristol,41.778329,-71.102131,Southeast and Cape,,MA,41.990381,-71.211231,,3/22/2024,SOLAR RETAIL NORTON LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,7/24/2020,COMPLETE,MR282801,"Fidelity Wellness Center, Inc.",Rockland,2370.0,,,38 Church Street,,Winchester,MA,1890,POINT (-70.818958 41.978877),POINT (-70.910635 42.1609130),38 Church Street,,Winchester,MA,1890,82-5058119,MRN282801,Mon Sep 23 2019 22:34:48 GMT-0400 (Eastern Daylight Time),Thu Sep 05 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Mar 17 2020 10:31:21 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201987,RP201987,Not a DBE,,,Thu Jul 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Jun 21 2019 10:35:32 GMT-0400 (Eastern Daylight Time),Mon Oct 07 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 16 2020 15:34:31 GMT-0500 (Eastern Standard Time),Thu Mar 07 2024 03:00:00 GMT-0500 (Eastern Standard Time),Mon Mar 17 2025 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,2370.0,Rockland,Plymouth,41.978877,-70.818958,Southeast and Cape,,MA,42.160913,-70.910636,,3/22/2024,"Fidelity Wellness Center, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,3/27/2020,COMPLETE,MR281637,"The Verb is Herb, LLC.",Easthampton,1027.0,,,7 4 Cottage St,,Easthampton,MA,1027,POINT (-72.62073 42.322256),POINT (-72.665986 42.2644019),74 Cottage St.,,Easthampton,MA,1027,83-0974110,MRN281637,Mon Sep 24 2018 22:52:34 GMT-0400 (Eastern Daylight Time),Fri Sep 14 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Sat Dec 15 2018 15:19:03 GMT-0500 (Eastern Standard Time),True,,,,,,,,,Not a DBE,,,Thu Feb 06 2020 03:00:00 GMT-0500 (Eastern Standard Time),Sat Jun 23 2018 11:59:51 GMT-0400 (Eastern Daylight Time),Wed Sep 26 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Dec 14 2018 12:02:47 GMT-0500 (Eastern Standard Time),Thu Feb 08 2024 03:00:00 GMT-0500 (Eastern Standard Time),Wed Feb 12 2025 03:00:00 GMT-0500 (Eastern Standard Time),300.0,5000.0,1027.0,Easthampton,Hampshire,42.322256,-72.62073,Western MA,,MA,42.264402,-72.665986,,3/22/2024,"The Verb is Herb, LLC.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MR284254,Greener World Inc.,Holyoke,1040.0,,,620 Beaulieu St,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.616309 42.1928010),620 Beaulieu St,,Holyoke,MA,1040,86-1378500,MRN284254,Wed Mar 23 2022 18:02:30 GMT-0400 (Eastern Daylight Time),Fri Jul 09 2021 16:08:32 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Woman-Owned Business,,,,Wed May 19 2021 15:03:14 GMT-0400 (Eastern Daylight Time),Fri Apr 08 2022 09:29:38 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 12:02:21 GMT-0400 (Eastern Daylight Time),,,1500.0,,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,,MA,42.192801,-72.61631,,3/22/2024,Greener World Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,,COMPLETE,MR283558,"Lifted Luxury, Inc",Millville,1529.0,,,615 Adams Street,,Dorchester,MA,2122,POINT (-71.840209 42.329642),POINT (-71.581481 42.024445),100 HARTFORD AVE #3305-09,,PROVIDENCE,RI,2909,85-2650668,MRN283558,Fri Nov 13 2020 12:42:39 GMT-0500 (Eastern Standard Time),Thu Oct 29 2020 11:39:42 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Woman-Owned Business,,,,Tue May 26 2020 10:50:54 GMT-0400 (Eastern Daylight Time),Fri Nov 20 2020 09:46:55 GMT-0500 (Eastern Standard Time),Thu Jan 14 2021 15:35:40 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Mar 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1529.0,Millville,Worcester,42.329642,-71.840209,Central MA,,MA,42.024445,-71.581482,,3/22/2024,"Lifted Luxury, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
