premise_city,license_designation,business_legal_name,business_phone,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_type,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_email,business_image_url,business_dba_name,premise_street_address,premise_county,premise_zip_code,premise_latitude,premise_longitude,business_website,data_refreshed_date
Big Sky,Adult Use,Honey Sour,(480) 842-0078,15,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Honey Sour,,,,,,,2024-02-05T22:29:03.202367
Big Sky,Adult Use,Jas Ventures Inc.,(406) 995-4444,16,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Herbaceous Inc,,,,,,,2024-02-05T22:29:03.202367
Big Sky,Adult Use,Lone Peak Caregivers,(386) 931-9334,17,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lone Peak Caregivers,,,,,,,2024-02-05T22:29:03.202367
Big Timber,Medical Only,Michael Shirley,(206) 851-5295,18,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Michael Shirley,,,,,,,2024-02-05T22:29:03.202367
Bigfork,Adult Use,Beargrass Naturals,(805) 434-8764,19,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Beargrass Naturals,,,,,,,2024-02-05T22:29:03.202367
Bigfork,Adult Use,David V. Sandry,(406) 880-1234,20,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Rocky Mountain,,,,,,,2024-02-05T22:29:03.202367
Bigfork,Adult Use,Freedom Farms,(406) 314-8234,22,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Freedom Farms,,,,,,,2024-02-05T22:29:03.202367
Bigfork,Adult Use,Sugar Tree Organics,(406) 261-7337,23,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Sugar Tree Organics,,,,,,,2024-02-05T22:29:03.202367
Bigfork,Adult Use,The Local Dispensary,(406) 314-3716,24,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,The Local Dispensary,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,312 Dispensary,(406) 690-5862,25,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,312 Dispensary,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,406 Essence Of Safe Access,(406) 696-0849,26,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,406 Essence Of Safe Access,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Bloom,(406) 459-2618,27,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bloom,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,B-Town Buds,(406) 670-6815,28,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,B-Town Buds,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,C4,(406) 371-5252,29,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,C4,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Chronic Caregivers,(406) 672-8860,30,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Chronic Caregivers,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Collective Elevation,(406) 794-9756,31,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Collective Elevation,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Elevated LLC,(406) 855-0291,32,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Elevated LLC,,,,,,,2024-02-05T22:29:03.202367
Billings,Medical Only,Enlighten LLC,(406) 661-5300,33,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Enlighten LLC,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Frosteez,(406) 850-5570,34,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Frosteez,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Granite Peak Distributing LLC,(406) 670-1333,35,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Granite Peak Distributing LLC,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Gvh Inc,(406) 652-5819,36,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Gvh Inc,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Herb Doc,(406) 855-8906,37,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Herb Doc,,,,,,,2024-02-05T22:29:03.202367
West,Adult Use,Billings High Mountain - Billings  End,(406) 670-6325,38,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Billings High Mountain - Billings  End,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Holistic Relief By Design,(406) 860-1220,39,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Holistic Relief By Design,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Hometree,(406) 544-9135,40,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Hometree,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Ideal Naturals,(406) 861-9920,41,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ideal Naturals,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Ideal Naturals LLC,(406) 601-1191,42,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ideal Naturals LLC,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Kanopli,(406) 530-5041,43,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Kanopli,,,,,,,2024-02-05T22:29:03.202367
Billings,Medical Only,Laughing Forest,(406) 697-8680,44,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Laughing Forest,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Lighthouse Organics LLC,(406) 208-7927,45,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lighthouse Organics LLC,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Lionheart Cannabis Billings Dispensary,(844) 586-2837,46,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lionheart Cannabis Billings Dispensary,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Mac,(406) 698-7242,47,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Mac,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Magic City Releaf,(406) 598-1400,48,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Magic City Releaf,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Marimint LLC,(406) 396-1454,49,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Marimint LLC,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Medicine Creek Caregivers,(406) 551-5120,50,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Medicine Creek Caregivers,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Montana Advanced Caregivers,(406) 698-7242,51,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Advanced Caregivers,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Montana Advanced Caregivers,(406) 656-0026,52,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Advanced Caregivers,,,,,,,2024-02-05T22:29:03.202367
Billings,Medical Only,Montana Flower Shoppe,(406) 794-5600,53,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Flower Shoppe,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Montana Medicine Man,(406) 696-1812,54,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Medicine Man,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Mountain Organics,(406) 894-2010,55,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Mountain Organics,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Mountain Organics,(406) 839-3872,56,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Mountain Organics,,,,,,,2024-02-05T22:29:03.202367
Billings,Medical Only,My Buddies,(406) 794-4479,57,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,My Buddies,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Seed Of Life Labs,(406) 855-8204,58,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Seed Of Life Labs,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Sensicare,(406) 794-8425,59,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Sensicare,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Stink Blossom,(406) 591-9233,60,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Stink Blossom,,,,,,,2024-02-05T22:29:03.202367
West,Adult Use,Billings Stink Blossom,(406) 894-2033,61,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Billings Stink Blossom,,,,,,,2024-02-05T22:29:03.202367
Billings,Medical Only,That One Place,(406) 876-4930,62,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,That One Place,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,The Green Bee,(406) 850-0461,63,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,The Green Bee,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,The Patch LLC,(406) 490-4273,64,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,The Patch LLC,,,,,,,2024-02-05T22:29:03.202367
Billings,Adult Use,Uncle Bucks,(406) 670-2332,65,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Uncle Bucks,,,,,,,2024-02-05T22:29:03.202367
Yellowstone,Adult Use,Billings  Buds,(406) 600-7060,66,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Billings  Buds,,,,,,,2024-02-05T22:29:03.202367
Yellowstone,Adult Use,Billings  Cannabis,(406) 794-7289,67,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Billings  Cannabis,,,,,,,2024-02-05T22:29:03.202367
Black Eagle,Adult Use,Elevated Great Falls,(406) 855-0291,68,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Elevated Great Falls,,,,,,,2024-02-05T22:29:03.202367
Boulder,Adult Use,Bloom,(406) 459-2618,69,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bloom,,,,,,,2024-02-05T22:29:03.202367
Box Elder,Adult Use,Green Achres LLC,(406) 879-6773,70,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Green Achres LLC,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,710 Montana,(406) 209-2470,71,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,710 Montana,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,710 Montana LLC,(406) 209-2470,72,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,710 Montana LLC,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,719 S 9Th Ave Dispensary,(406) 580-8502,73,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,719 S 9Th Ave Dispensary,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,7Th Street Dispensary,(406) 551-0904,74,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,7Th Street Dispensary,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Apogee Gardens Bozeman Dispensary,(406) 219-2344,75,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Apogee Gardens Bozeman Dispensary,,,,,,,2024-02-05T22:29:03.202367
Big Sky,Adult Use,Bozeman  Buds,(406) 763-1420,76,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bozeman  Buds,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Bighorn Buds,(406) 548-7312,77,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bighorn Buds,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Bloom,(406) 459-2618,78,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bloom,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Bozeman,(801) 350-1639,79,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bozeman,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Bozeman 1,(406) 224-0238,80,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bozeman 1,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Collective Elevation,(440) 488-0184,81,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Collective Elevation,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Connoisseur Pharms,(406) 599-2552,82,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Connoisseur Pharms,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Double Dogs,(406) 224-0238,83,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Double Dogs,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Elevated Bozeman,(406) 855-0291,84,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Elevated Bozeman,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Elevated Four Corners,(406) 855-0291,85,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Elevated Four Corners,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Euphoria Wellness,(406) 579-7227,86,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Euphoria Wellness,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Euphoria Wellness,(406) 577-2774,87,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Euphoria Wellness,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Gallatin Valley Organics,(406) 451-1616,88,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Gallatin Valley Organics,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Ganja Goddess,(406) 451-4291,89,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ganja Goddess,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Greener Pastures,(831) 239-9028,90,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Greener Pastures,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Grizzly Pine,(406) 595-0577,91,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Grizzly Pine,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Herbaceous Inc,(406) 220-1802,92,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Herbaceous Inc,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Honey Sour,(480) 842-0078,93,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Honey Sour,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Jack Hudson,(406) 599-9584,94,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Jack Hudson,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Jones Holdings LLC,(406) 579-6956,95,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Jones Holdings LLC,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Juniper Cannabis,(406) 600-2553,96,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Juniper Cannabis,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Last Best Cannabis,(406) 570-3241,97,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Last Best Cannabis,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Lazy Daze Cannabis,(406) 219-7420,98,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lazy Daze Cannabis,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Lionheart Cannabis Bozeman Dispensary,(844) 586-2837,99,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lionheart Cannabis Bozeman Dispensary,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Lionheart Cannabis Four Corners,(844) 586-2837,100,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lionheart Cannabis Four Corners,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Lone Peak Caregivers,(386) 931-9334,102,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lone Peak Caregivers,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Loud Smoke,(406) 570-8693,103,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Loud Smoke,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Lucky Dog Cannabis,(406) 219-3018,104,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lucky Dog Cannabis,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Medcine Creek Caregivers - Bozeman,(612) 990-1072,105,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Medcine Creek Caregivers - Bozeman,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Montana Jane's Medicinals,(406) 599-5977,106,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Jane's Medicinals,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Montana Wildflower,(406) 539-9722,107,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Wildflower,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Mountain High,(406) 580-4150,108,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Mountain High,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Mtk Inc.,(406) 465-2281,109,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Mtk Inc.,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Natrapeutics,(406) 459-0391,110,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Natrapeutics,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Nature's Roots,(406) 551-5241,111,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Nature's Roots,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Ninepipe Organics,(406) 690-1467,112,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ninepipe Organics,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Nomad Canna Bozeman Store,(406) 788-6173,113,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Nomad Canna Bozeman Store,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Northstar Evolution LLC,(406) 539-1184,114,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Northstar Evolution LLC,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Operation Green,(406) 224-2458,115,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Operation Green,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Sacred Sun Farms Inc.,(406) 580-4098,116,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Sacred Sun Farms Inc.,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Shapan Enterprises LLC,(970) 946-7161,117,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Shapan Enterprises LLC,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Supherb Wellness,(406) 595-3611,118,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Supherb Wellness,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Think Higher Caregiving LLC,(603) 801-4456,119,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Think Higher Caregiving LLC,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Think Higher Caregiving LLC,(603) 801-4456,120,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Think Higher Caregiving LLC,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Top Shelf Botanicals,(406) 219-3288,121,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Top Shelf Botanicals,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Treasure Tree,(406) 624-6337,122,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Treasure Tree,,,,,,,2024-02-05T22:29:03.202367
Bozeman,Adult Use,Yellowstone Buds,(406) 600-7060,123,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Yellowstone Buds,,,,,,,2024-02-05T22:29:03.202367
Bridger,Adult Use,Bridger- Sweetgrass,(406) 459-2618,124,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bridger- Sweetgrass,,,,,,,2024-02-05T22:29:03.202367
Butte,Adult Use,710 Montana,(406) 209-2470,125,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,710 Montana,,,,,,,2024-02-05T22:29:03.202367
