business_legal_name,business_dba_name,business_phone,license_status,license_type,premise_street_address,premise_city,premise_zip_code,business_email,business_owner_name,business_structure,business_image_url,business_website,id,licensing_authority_id,licensing_authority,license_designation,license_number,license_status_date,license_term,premise_latitude,premise_longitude,premise_state,issue_date,expiration_date,parcel_number,activity,premise_county,address,details_url,data_refreshed_date
Ethos Analytics LLC,Ethos Analytics LLC,(805) 312-6659,Operating,Marijuana Laboratory,3020 E Camelback Rd,#397,85016,,,,,,57,ADHS,Arizona Department of Health Services,Adult-Use,0000026LRCND60176649,,,33.51096100337382,-112.01667897962811,AZ,6/17/2022,Ethos Analytics LLC,,,Maricopa County,,,2024-03-17T22:36:19.986280
"Flower Scientific Labs, LLC","Flower Scientific Labs, LLC",(480) 290-5660,Operating,Marijuana Laboratory,1145 W Fairmont Dr,Tempe,85282,,,,,,59,ADHS,Arizona Department of Health Services,Adult-Use,0000030LRCVG81379529,,,33.39603299898842,-111.95570499261642,AZ,7/24/2023,"Flower Scientific Labs, LLC",,,Maricopa County,,,2024-03-17T22:36:19.986280
"Full Spectrum Lab, LLC","Full Spectrum Lab, LLC",(480) 677-9150,Operating,Marijuana Laboratory,3865 E 34th St,Ste 109,85713,,,,,,64,ADHS,Arizona Department of Health Services,Adult-Use,0000028LRCUW52326505,,,32.195627997720436,-110.91136402958603,AZ,5/4/2023,"Full Spectrum Lab, LLC",,,Pima County,,,2024-03-17T22:36:19.986280
"Highgrade Labs of Arizona, LLC","Highgrade Labs of Arizona, LLC",Marijuana Laboratory,Not Operating,Marijuana Laboratory,3141 W Clarendon Ave,Phoenix,85017,,,,,,84,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.49124898830952,-112.12707300303833,AZ,,"Highgrade Labs of Arizona, LLC",,,Maricopa County,,,2024-03-17T22:36:19.986280
Inter Ag Services Inc.,Inter Ag Services Inc.,602-273-7248,Operating,Marijuana Laboratory,2515 E University Dr,Phoenix,85034,,,,,,86,ADHS,Arizona Department of Health Services,Adult-Use,00000009LCSL00311854,,,33.423670983604936,-112.02767603659429,AZ,8/10/2022,Inter Ag Services Inc.,,,Maricopa County,,,2024-03-17T22:36:19.986280
Kaycha AZ LLC,Kaycha AZ LLC,(770) 365-7752,Operating,Marijuana Laboratory,1231 W Warner Rd,Ste 105,85284,,,,,,93,ADHS,Arizona Department of Health Services,Adult-Use,00000024LCMD66604568,,,33.3337370182079,-111.959628980588,AZ,2/11/2024,Kaycha Labs AZ,,,Maricopa County,,,2024-03-17T22:36:19.986280
"L1 Management, Llc","L1 Management, Llc",(602) 616-8167,Operating,Marijuana Laboratory,1525 N. Granite Reef Rd.,Scottsdale,85257,,,,,,96,ADHS,Arizona Department of Health Services,Adult-Use,00000004LCIG00024823,,,33.464616999712135,-111.89990498679686,AZ,7/8/2022,"L1 Management, Llc, Dba, Level One Labs",,,Maricopa County,,,2024-03-17T22:36:19.986280
Lone Pine Analytical,Lone Pine Analytical,Marijuana Laboratory,Not Operating,Marijuana Laboratory,2328 E Van Buren St,Ste 102,85006,,,,,,100,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.45218001559944,-112.03125896492566,AZ,,Lone Pine Analytical,,,Maricopa County,,,2024-03-17T22:36:19.986280
Motzz Laboratory Inc,Motzz Laboratory Inc,(602) 454-2376,Operating,Marijuana Laboratory,3540 E Corona Ave,Phoenix,85040,,,,,,117,ADHS,Arizona Department of Health Services,Adult-Use,00000012LCPQ00235372,,,33.406002015530134,-112.00497398711973,AZ,11/7/2022,Motzz Laboratory Inc,,,Maricopa County,,,2024-03-17T22:36:19.986280
Onpoint Laboratories Llc,Onpoint Laboratories Llc,Marijuana Laboratory,Not Operating,Marijuana Laboratory,501 S. Main Street,Snowflake,85937,,,,,,128,ADHS,Arizona Department of Health Services,Adult-Use,,,,34.5023800127685,-110.0786900101596,AZ,,Onpoint Laboratories Llc,,,Navajo County,,,2024-03-17T22:36:19.986280
"PAL Arizona, LLC","PAL Arizona, LLC",Marijuana Laboratory,Not Operating,Marijuana Laboratory,15455 N Greenway Hayden Loop,C8,85260,,,,,,131,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.626531983551814,-111.92061499316274,AZ,,"PAL Arizona, LLC",,,Maricopa County,,,2024-03-17T22:36:19.986280
"PAL Arizona, LLC","PAL Arizona, LLC",Marijuana Laboratory,Not Operating,Marijuana Laboratory,15855 N Greenway Hayden Loop,Suite 140,85260,,,,,,132,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.629731020717756,-111.91137604038761,AZ,,"PAL Arizona, LLC",,,Maricopa County,,,2024-03-17T22:36:19.986280
"Plant Safe, LLC","Plant Safe, LLC",(520) 777-7340,Operating,Marijuana Laboratory,3450 S Broadmont Dr,Ste 104,85713,,,,,,140,ADHS,Arizona Department of Health Services,Adult-Use,0000027LRCIV79455472,,,32.18479698625616,-110.91969396496178,AZ,12/13/2022,"Plant Safe, LLC",,,Pima County,,,2024-03-17T22:36:19.986280
"Pure Labs, Llc","Pure Labs, Llc",Marijuana Laboratory,Not Operating,Marijuana Laboratory,4165 W Clarendon Avenue,Phoenix,85019,,,,,,144,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.491700018519396,-112.14957899979761,AZ,,"Pure Labs, Llc",,,Maricopa County,,,2024-03-17T22:36:19.986280
Saguaro Testing,Saguaro Testing,Marijuana Laboratory,Not Operating,Marijuana Laboratory,571 N 54th St,Chandler,85226,,,,,,154,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.31204699972274,-111.96690003013559,AZ,,Saguaro Testing,,,Maricopa County,,,2024-03-17T22:36:19.986280
Smithers CTS Arizona LLC,Smithers CTS Arizona LLC,(954) 696-7791,Operating,Marijuana Laboratory,734 W Highland Avenue,2nd floor,85013,,,,,,162,ADHS,Arizona Department of Health Services,Adult-Use,00000020LCVT89602592,,,33.50603801827228,-112.08425396684756,AZ,9/21/2023,Smithers CTS Arizona LLC,,,Maricopa County,,,2024-03-17T22:36:19.986280
"SV LABS, LLC","SV LABS, LLC",Marijuana Laboratory,Not Operating,Marijuana Laboratory,1745 W DEER VALLEY RD,128,85027,,,,,,166,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.682986993195016,-112.09611100707953,AZ,,"SV LABS, LLC",,,Maricopa County,,,2024-03-17T22:36:19.986280
Titan Laboratories Tucson LLC,Titan Laboratories Tucson LLC,Marijuana Laboratory,Not Operating,Marijuana Laboratory,2175 Valencia Rd.,Suite 185,85706,,,,,,180,ADHS,Arizona Department of Health Services,Adult-Use,,,,32.13499201095429,-110.93828502620491,AZ,,Titan Laboratories Tucson LLC,,,Pima County,,,2024-03-17T22:36:19.986280
Transparent Labs LLC,Transparent Labs LLC,(480) 234-5488,Operating,Marijuana Laboratory,1721 East Mcdowell Road,Phoenix,85006,,,,,,185,ADHS,Arizona Department of Health Services,Adult-Use,0000029LRCXG19240160,,,33.4654476044073,-112.0445513222574,AZ,7/5/2023,Transparent Labs LLC,,,Maricopa County,,,2024-03-17T22:36:19.986280
Tree House Laboratories,Tree House Laboratories,Marijuana Laboratory,Not Operating,Marijuana Laboratory,6840 E Indian School Rd Ste. 100,Scottsdale,85251,,,,,,186,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.49510998627875,-111.93310503472253,AZ,,Tree House Laboratories,,,Maricopa County,,,2024-03-17T22:36:19.986280
