application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,ccclastupdated,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
APPROVED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Two or More,Expedited,Two or More,PROVISIONAL LICENSE,,COMPLETE,PMD5901,"LMCC, LLC",,,,,30 Sherwood Drive,,Taunton,MA,2780,,,16 Holden Road,,Belmont,MA,2478,84-1976891,PMDA5901,Mon Dec 27 2021 00:47:35 GMT-0500 (Eastern Standard Time),Mon Oct 04 2021 12:36:37 GMT-0400 (Eastern Daylight Time),,True,,SE304245,,,,,,,Woman-Owned Business | Minority-Owned Business,,,,Mon Aug 02 2021 22:57:49 GMT-0400 (Eastern Daylight Time),Fri Jan 07 2022 13:46:22 GMT-0500 (Eastern Standard Time),Fri Jan 07 2022 13:46:34 GMT-0500 (Eastern Standard Time),Fri Jan 07 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 07 2024 03:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,MA,,,SE304245,2/9/2024,"LMCC, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MP282229,Ember Gardens NBP LLC,New Bedford,2746.0,,,1 Nauset Street,,New Bedford,MA,2746,POINT (-71.102131 41.778329),POINT (-70.937067 41.6620789),254 Newhill Avenue,,Somerset,MA,2726,85-2581567,MPN282229,Fri Nov 18 2022 10:44:36 GMT-0500 (Eastern Standard Time),Fri Sep 02 2022 12:04:44 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,,Thu Sep 01 2022 09:37:27 GMT-0400 (Eastern Daylight Time),Fri Dec 02 2022 14:58:30 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 12:38:13 GMT-0500 (Eastern Standard Time),,,1500.0,,2746.0,New Bedford,Bristol,41.778329,-71.102131,Southeast and Cape,,MA,41.662079,-70.937068,,2/12/2024,Ember Gardens NBP LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,9/2/2020,COMPLETE,MR282695,Community Growth Partners Great Barrington Operations LLC,Great Barrington,1230.0,,,783 South Main Street,,Great Barrington,MA,1230,POINT (-73.209889 42.396128),POINT (-73.362834 42.1791849),783 South Main Street,,Great Barrington,MA,1230,83-4030617,MRN282695,Fri Sep 06 2019 14:57:33 GMT-0400 (Eastern Daylight Time),Wed May 29 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 17:24:56 GMT-0500 (Eastern Standard Time),True,,,INCOMPLETE,EE202038,EE202207,,,,Not a DBE,,,Thu Aug 06 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 08 2019 17:45:38 GMT-0400 (Eastern Daylight Time),Fri Sep 13 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 07 2019 13:33:35 GMT-0500 (Eastern Standard Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue May 21 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1230.0,Great Barrington,Berkshire,42.396128,-73.209889,Western MA,,MA,42.179185,-73.362834,,2/12/2024,Community Growth Partners Great Barrington Operations LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,5/15/2023,COMPLETE,MR284576,Pure Oasis LLC,Boston,2210.0,,,85 Devonshire Street,,Boston,MA,2210,POINT (-71.073493 42.334948),POINT (-71.057440 42.3577670),"398 Columbus Ave, Suite 148",Suite 148,Boston,MA,2116,82-5029450,MRN284576,Wed May 04 2022 14:01:21 GMT-0400 (Eastern Daylight Time),Tue Mar 08 2022 13:05:06 GMT-0500 (Eastern Standard Time),Tue Jul 19 2022 09:03:55 GMT-0400 (Eastern Daylight Time),True,yes,EE201868,APPROVED,EE201868,EE201868,,,,Not a DBE,,,Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jan 25 2022 17:06:10 GMT-0500 (Eastern Standard Time),Fri May 27 2022 07:16:47 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 12:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Sep 18 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,2210.0,Boston,Suffolk,42.334948,-71.073493,Metro Boston,,MA,42.357767,-71.057441,,2/12/2024,Pure Oasis LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MC282276,"Salty Farmers, LLC",Eastham,2651.0,,,120 Holmes Street,,Eastham,MA,2651,POINT (-70.301811 41.698999),POINT (-69.982483 41.8533789),PO Box 726,,North Truro,MA,2652,82-1492906,MCN282276,Mon May 18 2020 20:25:33 GMT-0400 (Eastern Daylight Time),Mon Feb 10 2020 00:00:00 GMT-0500 (Eastern Standard Time),Tue Jul 14 2020 13:15:27 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,Tue Jul 16 2019 16:55:26 GMT-0400 (Eastern Daylight Time),Tue May 26 2020 14:09:40 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 15:41:30 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),200.0,1250.0,2651.0,North Eastham,Barnstable,41.698999,-70.301811,,,MA,41.853379,-69.982483,,2/12/2024,"Salty Farmers, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MP282050,DayDreamz Estates LLC,Sandisfield,1255.0,,,68 Sandisfield Road,,Sandisfield,MA,1255,POINT (-73.209889 42.396128),POINT (-73.108464 42.1082260),68 Sandisfield Road,,Sandisfield,MA,1255,86-1250658,MPN282050,Thu Apr 08 2021 18:07:33 GMT-0400 (Eastern Daylight Time),Mon Mar 22 2021 13:50:20 GMT-0400 (Eastern Daylight Time),Tue Sep 14 2021 09:52:37 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,,,,Tue Mar 09 2021 15:16:04 GMT-0500 (Eastern Standard Time),Fri Apr 30 2021 07:49:37 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 10:53:33 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 16 2023 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1255.0,Sandisfield,Berkshire,42.396128,-73.209889,Western MA,,MA,42.108226,-73.108465,,2/12/2024,DayDreamz Estates LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Two or More,Expedited,Two or More,PROVISIONAL LICENSE,,COMPLETE,PMD5982,MJ2HOME LLC,,,,,162 HAMILTON STREET,,BOSTON,MA,2122,,,46 BROOK AVE,,BOSTON,MA,2119,88-2268721,PMDA5982,Mon May 23 2022 13:52:30 GMT-0400 (Eastern Daylight Time),Mon May 23 2022 11:16:47 GMT-0400 (Eastern Daylight Time),,True,,SE306266,,,,,,,Minority-Owned Business,,,,Mon Jan 03 2022 18:52:36 GMT-0500 (Eastern Standard Time),Mon Jun 13 2022 16:09:18 GMT-0400 (Eastern Daylight Time),Mon Jun 13 2022 16:09:35 GMT-0400 (Eastern Daylight Time),Mon Jun 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 13 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,MA,,,SE306266,2/9/2024,MJ2HOME LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,,COMPLETE,PDO103152,"6 Bricks Delivery, LLC.",,,,,6 Olney Avenue,,Springfield,MA,1119,,,6 Olney Avenue,,Springfield,MA,1119,85-1818042,PDOA103152,Thu Jul 30 2020 14:00:11 GMT-0400 (Eastern Daylight Time),Wed Jul 15 2020 14:02:56 GMT-0400 (Eastern Daylight Time),,True,,SE304833,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Wed Jul 01 2020 20:01:33 GMT-0400 (Eastern Daylight Time),,Wed Aug 05 2020 12:15:02 GMT-0400 (Eastern Daylight Time),Wed Aug 05 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Aug 05 2022 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,MA,,,,2/9/2024,"6 Bricks Delivery, LLC.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Delivery Operator,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,,COMPLETE,MD1273,"Bud Bus, Inc.",Bellingham,2019.0,,,24 William Way,,Bellingham,MA,2019,POINT (-71.15444 42.199156),,985 Plain St,,Marshfield,MA,2050,87-1064605,MDA1273,Wed Nov 10 2021 12:30:31 GMT-0500 (Eastern Standard Time),Tue Nov 09 2021 11:01:25 GMT-0500 (Eastern Standard Time),,True,,EE201961,,,,,,,Not a DBE,,,,Thu Aug 12 2021 10:13:15 GMT-0400 (Eastern Daylight Time),Mon Nov 15 2021 16:16:33 GMT-0500 (Eastern Standard Time),Thu Jan 20 2022 15:25:05 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sat Jan 20 2024 03:00:00 GMT-0500 (Eastern Standard Time),,,2019.0,Bellingham,Norfolk,42.199156,-71.15444,Central MA,,MA,,,,2/9/2024,"Bud Bus, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Cultivator,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MC281629,"HOLYOKE GREEN GROWERS, LLC.",Holyoke,1040.0,,,60 Jackson St.,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.614537 42.1958600),275 sargent st.,,Holyoke,MA,1040,82-5257334,MCN281629,Mon Jan 24 2022 12:39:16 GMT-0500 (Eastern Standard Time),Tue Dec 15 2020 10:45:45 GMT-0500 (Eastern Standard Time),,True,yes,EE202034,APPROVED,EE202034,EE202034,,,,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,Wed Jul 25 2018 16:50:29 GMT-0400 (Eastern Daylight Time),Fri Dec 03 2021 11:40:30 GMT-0500 (Eastern Standard Time),Mon Feb 14 2022 16:16:55 GMT-0500 (Eastern Standard Time),,,,,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,,MA,42.19586,-72.614538,,2/12/2024,"HOLYOKE GREEN GROWERS, LLC.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MC281336,"Green Line Boston, Inc.",Boston,2119.0,,,351 Langley Road,,Newton,MA,2459,POINT (-71.073493 42.334948),POINT (-71.074803 42.3293899),351 Langley Road,,Newton,MA,2459,82-5389011,MCN281336,Fri Nov 29 2019 01:07:08 GMT-0500 (Eastern Standard Time),Wed Sep 11 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Mar 06 2020 16:52:15 GMT-0500 (Eastern Standard Time),True,,,,,,,,,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,Tue May 01 2018 11:07:06 GMT-0400 (Eastern Daylight Time),Thu Dec 19 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 12:19:12 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Mar 13 2024 04:00:00 GMT-0400 (Eastern Daylight Time),600.0,20000.0,2119.0,Boston,Suffolk,42.334948,-71.073493,Metro Boston,,MA,42.32939,-71.074803,,2/12/2024,"Green Line Boston, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Courier Pre-Certification,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,,COMPLETE,PDO103063,"Mint Delivery, Inc",,,,,5 Appleton Road,,Natick,MA,1760,,,5 Appleton Road,,Natick,MA,1760,85-1197718,PDOA103063,Thu Jul 09 2020 18:27:35 GMT-0400 (Eastern Daylight Time),Wed Jun 10 2020 12:22:41 GMT-0400 (Eastern Daylight Time),,True,,EE202088,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Fri May 29 2020 11:48:45 GMT-0400 (Eastern Daylight Time),Fri Jul 10 2020 09:15:16 GMT-0400 (Eastern Daylight Time),Mon Jul 13 2020 14:44:27 GMT-0400 (Eastern Daylight Time),Mon Jul 13 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,MA,,,,2/9/2024,"Mint Delivery, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
