business_legal_name,business_dba_name,business_phone,license_status,license_type,premise_street_address,premise_city,premise_zip_code,business_email,business_owner_name,business_structure,business_image_url,business_website,id,licensing_authority_id,licensing_authority,license_designation,license_number,license_status_date,license_term,premise_latitude,premise_longitude,premise_state,issue_date,expiration_date,parcel_number,activity,premise_county,address,details_url,data_refreshed_date
"Highgrade Labs of Arizona, LLC","Highgrade Labs of Arizona, LLC",Marijuana Laboratory,Not Operating,Marijuana Laboratory,3141 W Clarendon Ave,Phoenix,85017,,,,,,84,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.49124898830952,-112.12707300303833,AZ,,"Highgrade Labs of Arizona, LLC",,,Maricopa County,,,2024-01-09T21:53:30.898312
Inter Ag Services Inc.,Inter Ag Services Inc.,602-273-7248,Operating,Marijuana Laboratory,2515 E University Dr,Phoenix,85034,"Email
daniel@iaslabs.com",,,,,86,ADHS,Arizona Department of Health Services,Adult-Use,00000009LCSL00311854,,,33.423670983604936,-112.02767603659429,AZ,8/10/2022,Inter Ag Services Inc.,,,Maricopa County,,,2024-01-09T21:53:30.898312
Kaycha AZ LLC,Kaycha AZ LLC,(770) 365-7752,Operating,Marijuana Laboratory,1231 W Warner Rd,Tempe,85284,"Email
cynthia@kaychalabs.com",,,,,93,ADHS,Arizona Department of Health Services,Adult-Use,00000024LCMD66604568,,,33.3337370182079,-111.959628980588,AZ,2/11/2022,Kaycha Labs AZ,,,Maricopa County,,,2024-01-09T21:53:30.898312
"L1 Management, Llc","L1 Management, Llc",(602) 616-8167,Operating,Marijuana Laboratory,1525 N. Granite Reef Rd.,Scottsdale,85257,"Email
george@levelonelabs.com",,,,,96,ADHS,Arizona Department of Health Services,Adult-Use,00000004LCIG00024823,,,33.464616999712135,-111.89990498679686,AZ,7/8/2022,"L1 Management, Llc, Dba, Level One Labs",,,Maricopa County,,,2024-01-09T21:53:30.898312
Lone Pine Analytical,Lone Pine Analytical,Marijuana Laboratory,Not Operating,Marijuana Laboratory,2328 E Van Buren St,Phoenix,85006,,,,,,100,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.45218001559944,-112.03125896492566,AZ,,Lone Pine Analytical,,,Maricopa County,,,2024-01-09T21:53:30.898312
Motzz Laboratory Inc,Motzz Laboratory Inc,(602) 454-2376,Operating,Marijuana Laboratory,3540 E Corona Ave,Phoenix,85040,"Email
thelma.sadang@motzzlaboratory.com",,,,,117,ADHS,Arizona Department of Health Services,Adult-Use,00000012LCPQ00235372,,,33.406002015530134,-112.00497398711973,AZ,11/7/2022,Motzz Laboratory Inc,,,Maricopa County,,,2024-01-09T21:53:30.898312
Onpoint Laboratories Llc,Onpoint Laboratories Llc,Marijuana Laboratory,Not Operating,Marijuana Laboratory,501 S. Main Street,Snowflake,85937,,,,,,128,ADHS,Arizona Department of Health Services,Adult-Use,,,,34.5023800127685,-110.0786900101596,AZ,,Onpoint Laboratories Llc,,,Navajo County,,,2024-01-09T21:53:30.898312
"PAL Arizona, LLC","PAL Arizona, LLC",Marijuana Laboratory,Not Operating,Marijuana Laboratory,15455 N Greenway Hayden Loop,Scottsdale,85260,,,,,,131,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.626531983551814,-111.92061499316274,AZ,,"PAL Arizona, LLC",,,Maricopa County,,,2024-01-09T21:53:30.898312
"PAL Arizona, LLC","PAL Arizona, LLC",Marijuana Laboratory,Not Operating,Marijuana Laboratory,15855 N Greenway Hayden Loop,Scottsdale,85260,,,,,,132,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.629731020717756,-111.91137604038761,AZ,,"PAL Arizona, LLC",,,Maricopa County,,,2024-01-09T21:53:30.898312
"Plant Safe, LLC","Plant Safe, LLC",(520) 777-7340,Operating,Marijuana Laboratory,3450 S Broadmont Dr,Tucson,85713,"Email
info@plantsafelabs.com",,,,,140,ADHS,Arizona Department of Health Services,Adult-Use,,,,32.18479698625616,-110.91969396496178,AZ,12/13/2022,"Plant Safe, LLC",,,Pima County,,,2024-01-09T21:53:30.898312
"Pure Labs, Llc","Pure Labs, Llc",Marijuana Laboratory,Not Operating,Marijuana Laboratory,4165 W Clarendon Avenue,Phoenix,85019,,,,,,144,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.491700018519396,-112.14957899979761,AZ,,"Pure Labs, Llc",,,Maricopa County,,,2024-01-09T21:53:30.898312
Saguaro Testing,Saguaro Testing,480-785-5800,Operating,Marijuana Laboratory,571 N 54th St,Chandler,85226,"Email
leticia@saguarotesting.com",,,,,154,ADHS,Arizona Department of Health Services,Adult-Use,00000015LCYY86486830,,,33.31204699972274,-111.96690003013559,AZ,5/20/2023,Saguaro Testing,,,Maricopa County,,,2024-01-09T21:53:30.898312
Smithers CTS Arizona LLC,Smithers CTS Arizona LLC,(954) 696-7791,Operating,Marijuana Laboratory,734 W Highland Avenue,Phoenix,85013,"Email
az@greenscientificlabs.com",,,,,160,ADHS,Arizona Department of Health Services,Adult-Use,00000020LCVT89602592,,,33.50603801827228,-112.08425396684756,AZ,9/21/2023,Smithers CTS Arizona LLC,,,Maricopa County,,,2024-01-09T21:53:30.898312
"SV LABS, LLC","SV LABS, LLC",Marijuana Laboratory,Not Operating,Marijuana Laboratory,1745 W DEER VALLEY RD,PHOENIX,85027,,,,,,165,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.682986993195016,-112.09611100707953,AZ,,"SV LABS, LLC",,,Maricopa County,,,2024-01-09T21:53:30.898312
Titan Laboratories Tucson LLC,Titan Laboratories Tucson LLC,Marijuana Laboratory,Not Operating,Marijuana Laboratory,2175 Valencia Rd.,Tucson,85706,,,,,,179,ADHS,Arizona Department of Health Services,Adult-Use,,,,32.13499201095429,-110.93828502620491,AZ,,Titan Laboratories Tucson LLC,,,Pima County,,,2024-01-09T21:53:30.898312
Transparent Labs LLC,Transparent Labs LLC,(480) 234-5488,Operating,Marijuana Laboratory,1721 East Mcdowell Road,Phoenix,85006,"Email
edward@transparentlabsaz.com",,,,,184,ADHS,Arizona Department of Health Services,Adult-Use,0000029LRCXG19240160,,,33.4654476044073,-112.0445513222574,AZ,7/5/2023,Transparent Labs LLC,,,Maricopa County,,,2024-01-09T21:53:30.898312
Tree House Laboratories,Tree House Laboratories,Marijuana Laboratory,Not Operating,Marijuana Laboratory,6840 E Indian School Rd Ste. 100,Scottsdale,85251,,,,,,185,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.49510998627875,-111.93310503472253,AZ,,Tree House Laboratories,,,Maricopa County,,,2024-01-09T21:53:30.898312
