premise_city,license_designation,business_legal_name,business_phone,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_type,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_email,business_image_url,business_dba_name,premise_street_address,premise_county,premise_zip_code,premise_latitude,premise_longitude,business_website,data_refreshed_date
Belgrade,Adult Use,Paradise Organics,(406) 220-0661,10,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Paradise Organics,23 High K St D,Gallatin County,59714,45.7752192,-111.2274756,http://paradiseorganics.org/,2023-04-24T21:19:46.235918
Belgrade,Adult Use,Pure Remedies,(406) 660-0944,11,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Pure Remedies,215 Arden Dr Unit 26,Gallatin County,59714,45.7817249,-111.1967683,http://pureremediesmt.com/,2023-04-24T21:19:46.235918
Belgrade,Adult Use,Wildfire Organics,(406) 580-1098,12,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Wildfire Organics,,,,,,,2023-04-24T21:19:46.235918
Belt,Adult Use,Green Mountain Caregivers LLC,(406) 581-3754,13,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Green Mountain Caregivers LLC,,,,,,,2023-04-24T21:19:46.235918
Big Sky,Adult Use,Greener Pastures,(831) 239-9028,14,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Greener Pastures,120 Big Pine Dr #5,Gallatin County,59716,45.2595746,-111.312963,https://www.greenerpastures.com/green-pastures-big-sky-montana/,2023-04-24T21:19:46.235918
Big Sky,Adult Use,Honey Sour,(480) 842-0078,15,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Honey Sour,12 Skywood Rd,Gallatin County,59716,45.2643771,-111.2933484,https://honeysour.com/,2023-04-24T21:19:46.235918
Big Sky,Adult Use,Jas Ventures Inc.,(406) 225-7390,16,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Herbaceous Inc,77 Aspen Leaf Dr # 6,Gallatin County,59716,45.25922670000001,-111.3134631,http://www.herbaceousinc.com/,2023-04-24T21:19:46.235918
Big Sky,Adult Use,Lone Peak Caregivers,(386) 931-9334,17,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lone Peak Caregivers,115 Aspen Leaf Dr #1D,Gallatin County,59716,45.259037,-111.3128608,https://lonepeakcaregivers.net/,2023-04-24T21:19:46.235918
Big Sky,Adult Use,Lpc - Big Sky,(386) 931-9334,18,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lpc - Big Sky,115 Aspen Leaf Dr #1D,Gallatin County,59716,45.259037,-111.3128608,https://lonepeakcaregivers.net/,2023-04-24T21:19:46.235918
Big Timber,Medical Only,Michael Shirley,(206) 851-5295,19,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Michael Shirley,,,,,,,2023-04-24T21:19:46.235918
Bigfork,Adult Use,420 Buds,(406) 249-5021,20,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,420 Buds,,,,,,,2023-04-24T21:19:46.235918
Bigfork,Adult Use,Beargrass Naturals,(805) 434-8764,21,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Beargrass Naturals,8531 Montana Hwy 35,Flathead County,59911,48.0589263,-114.0764692,http://www.beargrassnaturals.com/,2023-04-24T21:19:46.235918
Bigfork,Adult Use,David V. Sandry,(406) 880-1234,22,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Rocky Mountain,,,,,,,2023-04-24T21:19:46.235918
Bigfork,Adult Use,Firehouse 406,(406) 249-9090,24,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Firehouse 406,7571 Montana Hwy 35,Flathead County,59911,48.0930877,-114.0878796,,2023-04-24T21:19:46.235918
Bigfork,Adult Use,Freedom Farms,(406) 314-8234,25,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Freedom Farms,965 Swan River Rd,Flathead County,59911,48.0639075,-114.0211589,,2023-04-24T21:19:46.235918
Bigfork,Adult Use,Sugar Leaves,(406) 471-3129,26,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Sugar Leaves,7984 Montana Hwy 35,Flathead County,59911,48.0777333,-114.0790862,http://www.sugarleavesmontana.com/,2023-04-24T21:19:46.235918
Bigfork,Adult Use,Sugar Tree Organics,(406) 261-7337,27,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Sugar Tree Organics,8269 Montana Hwy 35,Flathead County,59911,48.0673536,-114.08039,,2023-04-24T21:19:46.235918
Bigfork,Adult Use,The Local Dispensary,(406) 314-3716,28,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,The Local Dispensary,7571 Montana Hwy 35,Flathead County,59911,48.0930877,-114.0878796,,2023-04-24T21:19:46.235918
Billings,Adult Use,312 Dispensary,(406) 690-5862,29,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,312 Dispensary,211 N 9th St Unit A,Yellowstone County,59101,45.7945573,-108.4832144,https://hwy312.immjpos.com/list,2023-04-24T21:19:46.235918
Billings,Adult Use,Big Sky Releaf,(562) 673-4311,30,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Big Sky Releaf,1313 Grand Ave #8b,Yellowstone County,59102,45.7846743,-108.5502418,https://www.facebook.com/cbdreleaf.fb,2023-04-24T21:19:46.235918
Billings,Adult Use,Bloom,(406) 459-2618,31,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bloom,131 Brickyard Ln #5,Yellowstone County,59101,45.801944,-108.4496907,https://bloommt.com/location/marijuana-dispensary-billings?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=billings,2023-04-24T21:19:46.235918
Billings,Adult Use,B-Town Buds,(406) 670-6715,32,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,B-Town Buds,,,,,,,2023-04-24T21:19:46.235918
Billings,Adult Use,C4,(406) 671-4736,33,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,C4,1431 Old Hardin Rd,Yellowstone County,59101,45.7990513,-108.4485842,,2023-04-24T21:19:46.235918
Billings,Adult Use,Chronic Caregivers,(406) 672-8860,34,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Chronic Caregivers,7534 Alderson Ave,Yellowstone County,59106,45.7828882,-108.7096791,http://chroniccaregiversmt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Collective Elevation,(406) 794-9756,35,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Collective Elevation,4949 Danford Dr,Yellowstone County,59106,45.7163827,-108.642884,https://www.collectiveelevationbillings.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Elevated LLC,(406) 855-0291,36,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Elevated LLC,6522 S Frontage Rd,Yellowstone County,59101,45.7434234,-108.5790939,http://elevatedmt.com/,2023-04-24T21:19:46.235918
Billings,Medical Only,Enlighten LLC,(406) 661-5300,37,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Enlighten LLC,1220 Avenue C E,Yellowstone County,59102,45.7856198,-108.547201,https://elevate-electrology-electrolysis-hair-removal-service.business.site/?utm_source=gmb&utm_medium=referral,2023-04-24T21:19:46.235918
Billings,Adult Use,Frosteez,(406) 850-5570,38,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Frosteez,5055 Jellison Rd BLDG 3,Yellowstone County,59101,45.7272813,-108.5393536,http://www.frosteez.com/,2023-04-24T21:19:46.235918
Billings,Medical Only,Granite Peak Cannabis,(406) 670-4975,39,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Granite Peak Cannabis,4028 Central Ave,Yellowstone County,59106,45.76925259999999,-108.6190064,https://www.granitepeakmt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Granite Peak Distributing LLC,(406) 670-1333,40,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Granite Peak Distributing LLC,4028 Central Ave,Yellowstone County,59106,45.76925259999999,-108.6190064,https://www.granitepeakmt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Gvh Inc,(406) 201-0241,41,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Gvh Inc,1151 28th St W,Yellowstone County,59102,45.7823135,-108.5860111,http://www.accessiblespace.org/grandview-apartments,2023-04-24T21:19:46.235918
Billings,Adult Use,Herb Doc,(406) 855-8906,42,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Herb Doc,3028 S 53rd St W UNIT 5,Yellowstone County,59106,45.7131409,-108.6503753,https://herbdoc.us/,2023-04-24T21:19:46.235918
West,Adult Use,Billings High Mountain - Billings End,(406) 670-6325,43,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Billings High Mountain - Billings End,7440 Entryway Dr,Yellowstone County,59101,45.7274809,-108.6036909,http://highmountainmt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Holistic Relief By Design,(406) 860-1220,44,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Holistic Relief By Design,2860 Old Hardin Rd D,Yellowstone County,59101,45.8136575,-108.4103656,https://holisticreliefbydesign.com/,2023-04-24T21:19:46.235918
Billings,Medical Only,Holy Grail Botanicals L.L.C.,(406) 702-0428,45,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Holy Grail Botanicals L.L.C.,6143 Victoria Ln,Yellowstone County,59106,45.7530978,-108.6729866,http://holygrailbotanical.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Hometree,(406) 544-9135,46,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Hometree,3044 Hesper Rd,Yellowstone County,59102,45.7404033,-108.5940761,http://hometreemt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Ideal Naturals,(406) 861-9920,47,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ideal Naturals,316 Reynolds St,Yellowstone County,59101,45.80415780000001,-108.4400141,http://idealnaturalsmt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Ideal Naturals LLC,(406) 601-1191,48,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ideal Naturals LLC,316 Reynolds St,Yellowstone County,59101,45.80415780000001,-108.4400141,http://idealnaturalsmt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Kanopli,(406) 530-5041,49,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Kanopli,,,,,,,2023-04-24T21:19:46.235918
Billings,Medical Only,Laughing Forest,(406) 697-8680,50,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Laughing Forest,,,,,,,2023-04-24T21:19:46.235918
Billings,Adult Use,Lighthouse Organics  LLC,(406) 208-7927,51,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lighthouse Organics  LLC,2750 Old Hardin Rd Unit E,Yellowstone County,59101,45.8109529,-108.4165342,http://www.lighthouseorganicsmt.com/,2023-04-24T21:19:46.235918
Billings,Medical Only,Like A Fox Dispensary,(406) 274-0431,52,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Like A Fox Dispensary,6400 S Frontage Rd,Yellowstone County,59101,45.7445907,-108.5767135,https://lionheartcannabis.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Lionheart Caregiving Billings,(406) 577-6932,53,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Lionheart Caregiving Billings,6400 S Frontage Rd,Yellowstone County,59101,45.7445907,-108.5767135,https://lionheartcannabis.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Mac,(406) 698-7242,54,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Mac,1101 Maggie Ln,Yellowstone County,59101,45.7496027,-108.5413582,https://www.maccannabis.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Magic City Releaf,(406) 598-1400,55,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Magic City Releaf,6612 S Frontage Rd,Yellowstone County,59101,45.74217970000001,-108.5815202,https://magiccityreleaf.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Marimint LLC,(406) 396-1454,56,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Marimint LLC,1415 S 32nd St W,Yellowstone County,59102,45.7454022,-108.5958459,https://marimintmt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Medicine Creek Caregivers,(406) 551-5120,57,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Medicine Creek Caregivers,1744 Mullowney Ln,Yellowstone County,59101,45.7375152,-108.556893,https://www.medicinecreekcaregivers.com/billings-dispensary?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=billings,2023-04-24T21:19:46.235918
Billings,Adult Use,Montana Advanced Caregivers,(406) 698-7242,58,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Advanced Caregivers,1101 Maggie Ln,Yellowstone County,59101,45.7496027,-108.5413582,https://www.maccannabis.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Montana Advanced Caregivers,(406) 656-0026,59,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Advanced Caregivers,1101 Maggie Ln,Yellowstone County,59101,45.7496027,-108.5413582,https://www.maccannabis.com/,2023-04-24T21:19:46.235918
Billings,Medical Only,Montana Flower Shoppe,(406) 794-5600,60,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Flower Shoppe,1848 Grand Ave,Yellowstone County,59102,45.78369989999999,-108.564041,https://www.magiccityfloral.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Montana Medicine Man,(406) 696-1812,61,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Montana Medicine Man,1327 Main St,Yellowstone County,59105,45.8224347,-108.4697776,,2023-04-24T21:19:46.235918
Billings,Adult Use,Mountain Organics,(406) 839-3872,62,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Mountain Organics,2405 S 70th St W,Yellowstone County,59106,45.7255894,-108.6939123,,2023-04-24T21:19:46.235918
Billings,Medical Only,My Buddies,(406) 794-4479,63,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,My Buddies,924 Pine Ridge Ln Apartment 4,Yellowstone County,59105,45.8461227,-108.4631347,http://dogtagbuddies.org/,2023-04-24T21:19:46.235918
Billings,Adult Use,Seed Of Life Labs,(406) 855-8204,64,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Seed Of Life Labs,5702 Stearns Cir #1,Yellowstone County,59101,45.7369613,-108.5585262,https://www.seedoflifelabs.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Sensicare,(406) 794-8425,65,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Sensicare,1020 Hannon Rd,Yellowstone County,59101,45.76053049999999,-108.495842,http://sensicaremt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Stink Blossom,(406) 591-9233,66,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Stink Blossom,1031 US-87,Yellowstone County,59101,45.79778229999999,-108.4590626,https://stinkblossom406.com/,2023-04-24T21:19:46.235918
Billings,Medical Only,That One Place,(406) 876-4930,67,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,That One Place,5055 Jellison Rd bldg 5,Yellowstone County,59101,45.7279445,-108.5380375,http://www.topthcmt.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,The Green Bee,(406) 850-0461,68,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,The Green Bee,1644 S 48th St W,Yellowstone County,59106,45.7389425,-108.6384794,http://www.greenbeedispensary.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,The Patch LLC,(406) 490-4273,69,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,The Patch LLC,5123 Jellison Rd,Yellowstone County,59101,45.7271805,-108.5425639,http://www.mtgrasspatch.com/,2023-04-24T21:19:46.235918
Billings,Adult Use,Uncle Bucks,(406) 670-2332,70,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Uncle Bucks,206 Reynolds St,Yellowstone County,59101,45.8021342,-108.4398978,https://unclebucks420.com/,2023-04-24T21:19:46.235918
Yellowstone,Adult Use,Billings  Buds,(406) 600-7060,71,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Billings  Buds,1310 U.S. Hwy 87 E,Yellowstone County,59101,45.7953469,-108.4519492,http://www.yellowstonebuds.com/,2023-04-24T21:19:46.235918
Yellowstone,Adult Use,Billings  Cannabis,(406) 794-7289,72,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Billings  Cannabis,,,,,,,2023-04-24T21:19:46.235918
Black Eagle,Adult Use,Elevated Great Falls,(406) 855-0291,73,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Elevated Great Falls,3313 15th St,Cascade County,59414,47.53597299999999,-111.2808369,http://www.elevatedmt.com/,2023-04-24T21:19:46.235918
Boulder,Adult Use,Bloom,(406) 459-2618,74,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bloom,102 Lenore Ln,Jefferson County,59632,46.2433038,-112.1176501,http://bloommt.com/,2023-04-24T21:19:46.235918
Box Elder,Adult Use,Green Achres LLC,(406) 879-6773,75,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Green Achres LLC,,,,,,,2023-04-24T21:19:46.235918
Bozeman,Adult Use,710 Montana,(406) 209-2470,76,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,710 Montana,712 W Main St,Gallatin County,59715,45.67903800000001,-111.047281,http://710montana.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,7Th Street Dispensary,(406) 551-0904,77,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,7Th Street Dispensary,1008 N 7th Ave suite D,Gallatin County,59715,45.6898765,-111.0452313,http://collectiveelevation.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Apogee Gardens Bozeman Dispensary,(406) 647-2128,78,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Apogee Gardens Bozeman Dispensary,1119 N 7th Ave,Gallatin County,59715,45.6912917,-111.0468075,https://apogeegardens.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Big Sky Buds,(406) 763-1420,79,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Big Sky Buds,81549 Gallatin Rd Unit 6,Gallatin County,59718,45.66617959999999,-111.1867294,http://bigskybuds.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Bighorn Buds,(406) 548-7312,80,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bighorn Buds,2304 W Main St Suite 4,Gallatin County,59718,45.6769659,-111.0678753,https://www.bighornbuds.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Bloom,(406) 459-2618,81,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bloom,875 Bridger Dr unit i,Gallatin County,59715,45.7032356,-111.0246887,http://bloomstudiomt.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Bozeman,(801) 350-1639,82,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bozeman,,,,,,,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Bozeman 1,(406) 224-0238,83,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Bozeman 1,630 Boardwalk Ave Suite 1,Gallatin County,59718,45.67328639999999,-111.1010208,https://www.lonepeakpt.com/locations/bozeman,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Collective Elevation,(440) 488-0184,84,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Collective Elevation,2230 W Main St,Gallatin County,59718,45.67672259999999,-111.0681989,http://www.collectiveelevation.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Connoisseur Pharms,(406) 599-2552,85,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Connoisseur Pharms,81295 Gallatin Rd,Gallatin County,59718,45.6625981,-111.1866407,https://connoisseurpharms.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Double Dogs,(406) 224-0238,86,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Double Dogs,331 Shepherd Trail A,Gallatin County,59718,45.66922539999999,-111.1953354,https://ddcanna.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Effective Discreet Caregiving,(406) 451-6899,87,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Effective Discreet Caregiving,618 W Griffin Dr E,Gallatin County,59715,45.69971520000001,-111.045256,http://www.thinkhighercaregiving.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Elevated Bozeman,(406) 855-0291,88,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Elevated Bozeman,611 W Main St,Gallatin County,59715,45.6795481,-111.0456134,http://www.elevatedmt.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Elevated Four Corners,(406) 855-0291,89,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Elevated Four Corners,27 Pioneer Way,Gallatin County,59718,45.6732129,-111.1850634,https://elevatedmt.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Euphoria Wellness,(406) 577-2774,90,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Euphoria Wellness,2503 Jackrabbit Ln,Gallatin County,59718,45.7071025,-111.1857945,,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Gallatin Valley Organics,(406) 451-1616,91,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Gallatin Valley Organics,103 S 8th Ave unit a,Gallatin County,59715,45.6781029,-111.0482401,http://gallatinvalleyorganics.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Ganja Goddess,(406) 451-4291,92,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ganja Goddess,2006 W Babcock St,Gallatin County,59718,45.6782239,-111.0643403,https://ganjagoddessmt.com/,2023-04-24T21:19:46.235918
Bozeman,Adult Use,Green Mountain Caregivers,(406) 581-3754,93,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Green Mountain Caregivers,80127 Gallatin Rd Unit A,Gallatin County,59718,45.6471584,-111.1944874,http://www.greenmountaincaregivers.com/,2023-04-24T21:19:46.235918
