license_number,business_legal_name,business_dba_name,Street,premise_city,premise_zip_code,data_refreshed_date,license_type,license_designation,Licensee Name,License #,Address,Residual Solvents,Microbials,Mycotoxins,id,license_status,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,premise_street_address,premise_county,premise_latitude,premise_longitude,business_website
402-01313,GREEN MEADOWS DISPENSARY LLC,Green Meadows Dispensary LLC,"25 Stafford Lane, Unit 3 ",Delta,81416,2023-04-02,Stores,Adult-Use,,,,,,,402-01313,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 399-7663,,,25 Stafford Ln #3,Delta County,38.7486352,-108.0512062,http://greenmeadowsdispensary.com/
402-00166,CORRIDOR 70 LLC,EVERBLOOM,4095 North Jackson Street,Denver,80216,2023-04-02,Stores,Adult-Use,,,,,,,402-00166,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 226-9295,,,5110 Race St,Denver County,39.7882579,-104.9631071,http://theeverbloom.wm.store/
402-01324,EXIT 243 LLC,DISPENSARY EXIT 243,2235 East Idaho Springs Road ,Idaho Springs,80452,2023-04-02,Stores,Adult-Use,,,,,,,402-01324,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 292-6902,,,2235 East Idaho Springs Road,Clear Creek County,39.7476434,-105.4604232,https://dispensaryexit243.com/
402-00386,SOLACE MEDS OF WHEAT RIDGE LLC,None,4845 Van Gordon Street,Wheat Ridge,80033,2023-04-02,Stores,Adult-Use,,,,,,,402-00386,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 420-2600,,,4900 Kipling St,Jefferson County,39.78603210000001,-105.1091083,https://www.naturalgrocers.com/store/wheat-ridge?utm_source=googlemaps&utm_medium=local&utm_campaign=wheat-ridge
402-00545,DKC LLC,DENVER KUSH CLUB,2615 Welton Street,Denver,80205,2023-04-02,Stores,Adult-Use,,,,,,,402-00545,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 736-6550,,,2615 Welton St,Denver County,39.75417900000001,-104.9790876,https://www.denverkushclub.com/
402-01169,KANOPYA HOLDINGS LLC,KANOPYA SPRINGS,2545 - 2547 Platte Place,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-01169,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 204-3442,,,2545 Platte Pl,El Paso County,38.83646049999999,-104.7788495,https://weedmaps.com/dispensaries/kanopya-springs-1
402-00389,NUVUE PHARMA LLC,None,2304 East Platte Avenue,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-00389,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 591-2609,,,3700 Galley Rd,El Paso County,38.84727789999999,-104.7595781,http://www.elifenetwork.com/
402-00390,AJC INDUSTRIES LLC,TWEEDLEAF,1602 West Colorado Avenue,Colorado Springs,80904,2023-04-02,Stores,Adult-Use,,,,,,,402-00390,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 465-2522,,,1602 W Colorado Ave,El Paso County,38.839892,-104.8497811,https://tweedlife.com/colorado-ave/?utm_source=gmb&utm_medium=organic&utm_campaign=website-colorado-springs-colorado-ave
402-01310,SBUD LLC,Star Buds,5238 West 44th Avenue,Mountain View,80212,2023-04-02,Stores,Adult-Use,,,,,,,402-01310,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 535-6893,,,5238 W 44th Ave,Denver County,39.7763884,-105.0541295,https://www.starbudscolorado.com/stores/recreational-marijuana-dispensary-lakeside?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=lakeside
402-01020,8058 LLC,Mighty Tree,4755 North Lipan Street,Denver,80211,2023-04-02,Stores,Adult-Use,,,,,,,402-01020,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 600-8961,,,4755 Lipan St,Denver County,39.7829987,-105.0022415,https://www.mightytreeco.com/
402-00576,SUNRISE SOLUTIONS,None,43 Main Street,Bailey,80421,2023-04-02,Stores,Adult-Use,,,,,,,402-00576,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 838-5679,,,60641 US Hwy 285,Park County,39.40588759999999,-105.475914,http://theknottypine.net/
402-01185,TESLA LLC,None,4155 North Grape Street,Denver,80216,2023-04-02,Stores,Adult-Use,,,,,,,402-01185,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 532-0757,,,1225 Logan St,Denver County,39.7355919,-104.9825902,https://barnundenver.com/
402-00939,ASCEND II LLC,ASCEND II,3555 South Yosemite Street,Denver,80237,2023-04-02,Stores,Adult-Use,,,,,,,402-00939,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 482-3191,,,3555 S Yosemite St,Denver County,39.65180929999999,-104.8853284,http://www.ascendcannabisco.com/
402-00473,COSMIC LIGHT LLC,TWEEDLEAF,"5565 Arapahoe Avenue, Suite G",Boulder,80303,2023-04-02,Stores,Adult-Use,,,,,,,402-00473,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 440-6700,,,5565 Arapahoe Ave,Boulder County,40.0156152,-105.2235305,https://dutchie.com/dispensary/cosmic-light
402-01278,YUMA WAY LLC,TWIN PEAKS DISPENSARY,"900 South Hover Street, Unit A",Longmont,80501,2023-04-02,Stores,Adult-Use,,,,,,,402-01278,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 892-5969,,,900 S Hover St unit a,Boulder County,40.15153779999999,-105.1302301,https://yumaway.com/locations/twinpeaks
402-01237,IHN HOLDINGS LLC,5280 WEEDERY LLC,3895 East 45th Avenue,Denver,80216,2023-04-02,Stores,Adult-Use,,,,,,,402-01237,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,3895 E 45th Ave,Denver County,39.77906520000001,-104.9421062,http://www.5280weedery.com/
402-01062,NUVUE PHARMA LLC,None,4740 Dillon Drive,Pueblo,81008,2023-04-02,Stores,Adult-Use,,,,,,,402-01062,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 542-3901,,,2912 N Elizabeth St,Pueblo County,38.2986928,-104.6148691,http://restaurantwebexpert.com/TwoandNine/
402-01243,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,286 South Purcell Boulevard,Pueblo West,81007,2023-04-02,Stores,Adult-Use,,,,,,,402-01243,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 547-9022,,,286 S Purcell Blvd,Pueblo County,38.3189646,-104.7049613,https://www.nationalgreensource.com/?utm_source=google&utm_medium=organic&utm_campaign=pueblo
402-01153,GRANT PHARMS LLC,GRANT PHARMS MMC,320 Prairie Road,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-01153,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 387-1633,,,320 Prairie Rd,El Paso County,38.8378901,-104.7876444,https://grantpharms.com/
402-01225,TRICHOME HEALTH CONSULTANTS INC,TRICHOME HEALTH CONSULTANTS,1001 South Royer Street ,Colorado Springs,80903,2023-04-02,Stores,Adult-Use,,,,,,,402-01225,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 635-6337,,,1001 S Royer St,El Paso County,38.82001210000001,-104.8148484,http://thcmed.com/
402-00240,LIGHTSHADE LABS LLC,LIGHTSHADE,5885 East Evans Avenue,Denver,80222,2023-04-02,Stores,Adult-Use,,,,,,,402-00240,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 756-3762,,,5885 E Evans Ave,Denver County,39.67886350000001,-104.9196777,https://lightshade.com/dispensaries/evans-denver/?utm_medium=organic&utm_source=gbp&utm_campaign=website
402-00680,SWEETWATER PARTNERS LLC,Good Chemistry,330 East Colfax Avenue,Denver,80203,2023-04-02,Stores,Adult-Use,,,,,,,402-00680,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 524-4657,,,330 E Colfax Ave,Denver County,39.7398994,-104.9826291,https://goodchem.org/
402-01167,J2JCO LLC,Fire Meds,"1428 North Circle Drive, Unit 2",Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-01167,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 368-6168,,,3615 E Platte Ave,El Paso County,38.8392507,-104.7604037,http://firemeds.business.site/
402-01304,DOWN VALLEY HYH LLC,Goodpeople,"175 Midland Avenue, Unit 110",Basalt,81621,2023-04-02,Stores,Adult-Use,,,,,,,402-01304,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 718-8102,,,175 Midland Ave - Streetfront Upper Level - Rec Lower Level - Med,Eagle County,39.3689352,-107.0329742,http://www.goodpeoplemj.com/
402-01044,ZIPZ LLC,zipz,3745 Interpark Drive,Colorado Springs,80907,2023-04-02,Stores,Adult-Use,,,,,,,402-01044,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 375-5113,,,3745 Interpark Dr,El Paso County,38.8851989,-104.8307451,http://www.zipz719.com/
402-01193,HG LTD,Higher Grade,"3480 South Galena Street, Unit B-4",Denver,80231,2023-04-02,Stores,Adult-Use,,,,,,,402-01193,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 350-4071,,,3480 S Galena St,Denver County,39.6542446,-104.8681353,https://www.highergradeco.com/cherry-hills-medical-dispensary
402-01071,GARDEN OF THE BUDZ LLC,None,3178 West Colorado Avenue,Colorado Springs,80904,2023-04-02,Stores,Adult-Use,,,,,,,402-01071,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 598-1212,,,3820 N 30th St,El Paso County,38.8950347,-104.8763275,http://www.navigators.org/
402-00262,DISCOUNT MEDICAL MARIJUANA LLC,High Level Health,2028 East Colfax Avenue,Denver,80206,2023-04-02,Stores,Adult-Use,,,,,,,402-00262,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 355-9333,,,2028 E Colfax Ave,Denver County,39.7397984,-104.9625528,https://www.highlevelhealth.com/colfax/
402-00263,DISCOUNT MEDICAL MARIJUANA LLC,High Level Health,970 North Lincoln Street,Denver,80203,2023-04-02,Stores,Adult-Use,,,,,,,402-00263,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 839-9333,,,970 Lincoln St,Denver County,39.7317372,-104.985926,https://www.highlevelhealth.com/lincoln/?utm_source=gmb&utm_campaign=dispenza
402-00417,RJJ TOWER LLC,NATIVE ROOTS DENVER AIRPORT,7050 North Tower Road,Denver,80249,2023-04-02,Stores,Adult-Use,,,,,,,402-00417,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 428-8990,,,7050 Tower Rd,Denver County,39.8247827,-104.7713055,https://nativerootscannabis.com/locations/tower-road-marijuana-dispensary
402-01171,BEST BUDZ LLC,BEST BUDZ,3850 North Nevada Avenue,Colorado Springs,80907,2023-04-02,Stores,Adult-Use,,,,,,,402-01171,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 598-0168,,,3850 N Nevada Ave,El Paso County,38.8885649,-104.819863,
402-00495,COLORADO CANNABIS COMPANY LLC,PURE MARIJUANA DISPENSARY,4571 North Ivy Street,Denver,80216,2023-04-02,Stores,Adult-Use,,,,,,,402-00495,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 951-1480,,,4571 Ivy St,Denver County,39.7796225,-104.9203817,https://puremmj.com/
402-00930,BIG MOUNTAIN ORGANICS LLC,BIG MEDICINE CANNABISSARY,2909 North El Paso Street,Colorado Springs,80907,2023-04-02,Stores,Adult-Use,,,,,,,402-00930,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 418-3854,,,2909 N El Paso St,El Paso County,38.872645,-104.8129091,https://bigmedicinecannabissary.business.site/?utm_source=gmb&utm_medium=referral
402-00401,BEST BUDZ LLC,BEST BUDZ,3729 Austin Bluffs Parkway,Colorado Springs,80918,2023-04-02,Stores,Adult-Use,,,,,,,402-00401,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 598-0168,,,3729 Austin Bluffs Pkwy,El Paso County,38.8903724,-104.7580548,
402-00924,BOULDER SNAX INC,None,"7464 Arapahoe Avenue, Unit A9",Boulder,80303,2023-04-02,Stores,Adult-Use,,,,,,,402-00924,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 449-0874,,,1100 28th St UNIT 200,Boulder County,40.0074347,-105.2581293,http://bovasmarket.com/
402-00375,AF INC,APOTHECARY FARMS,2251 South Broadway,Denver,80210,2023-04-02,Stores,Adult-Use,,,,,,,402-00375,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 862-5016,,,2251 S Broadway,Denver County,39.6758191,-104.9880514,https://apothecaryfarms.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=GB%20traffic
402-01081,OUTER WORLD LLC,TWEEDLEAF,1430 Harrison Road,Colorado Springs,80905,2023-04-02,Stores,Adult-Use,,,,,,,402-01081,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 434-2440,,,1430 Harrison Rd,El Paso County,38.7965795,-104.799406,
402-00811,BELLFLOWER LLC,ORGANIX,"1795 Airport Road, Unit A2,",Breckenridge,80424,2023-04-02,Stores,Adult-Use,,,,,,,402-00811,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 453-1340,,,1795 Airport Rd Unit A2,Summit County,39.507621,-106.052216,
402-01085,GT RETAIL LLC,None,12626 North 107 Street,Longmont,80504,2023-04-02,Stores,Adult-Use,,,,,,,402-01085,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 772-5529,,,220 Collyer St,Boulder County,40.1630592,-105.0977137,http://www.ourcenter.org/
402-00272,CANNA MEDS WELLNESS CENTER LLC,CANNA MEDS WELLNESS CENTER,506 North Chelton Road,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-00272,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 882-5521,,,3730 Sinton Rd Suite 219,El Paso County,38.88576879999999,-104.8344799,
402-00424,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,Nature's Kiss,4332 South Broadway,Englewood,80113,2023-04-02,Stores,Adult-Use,,,,,,,402-00424,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 484-9327,,,4332 S Broadway,Arapahoe County,39.6378661,-104.9874444,http://www.natureskissmmj.com/
402-00929,ACES PLACE LLC,None,"1101 Academy Court, Unit 4",Fort Collins,80524,2023-04-02,Stores,Adult-Use,,,,,,,402-00929,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 493-0024,,,378 Walnut St,Larimer County,40.5876141,-105.0744671,https://www.emporiumftcollins.com/
402-01142,TITAN HEALTH LLC,TWEEDLEAF,"755 South Jason Street, Unit 100",Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402-01142,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 379-3816,,,2383 S Downing St,Denver County,39.6733933,-104.9737034,https://tweedlife.com/downing/?utm_source=gmb&utm_medium=organic&utm_campaign=website-denver-downing-st
402-00913,ALTERNATIVE MEDICINE ON THE MALL LLC,NATIVE ROOTS SPEER,500 North Grant Street,Denver,80203,2023-04-02,Stores,Adult-Use,,,,,,,402-00913,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 428-8613,,,500 Grant St,Denver County,39.7244763,-104.9831301,https://nativerootscannabis.com/locations/speer-blvd-marijuana-dispensary/
402-00579,P & C EXPRESS LLC,ROCKY MOUNTAIN  HIGH DISPENSARY,305 Jody Court,Montrose,81401,2023-04-02,Stores,Adult-Use,,,,,,,402-00579,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 252-8880,,,305 Jody Ct,Montrose County,38.52865610000001,-107.9325689,https://rockymountainhigh.co/locations/montrose/menu
402-00988,WESTSIDE WELLNESS CENTER LLC,MAGGIE'S FARM,"1400  Santa Fe Drive, Suite A & B",Pueblo,81006,2023-04-02,Stores,Adult-Use,,,,,,,402-00988,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 582-1925,,,1400 Santa Fe Dr Ste A,Pueblo County,38.2453201,-104.582735,https://www.maggiesfarmmarijuana.com/locations/pueblo-east/
402-00204,CORRIDOR 70 LLC,EVERBLOOM,5110 North Race Street,Denver,80216,2023-04-02,Stores,Adult-Use,,,,,,,402-00204,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 226-9295,,,5110 Race St,Denver County,39.7882579,-104.9631071,http://theeverbloom.wm.store/
402-00831,O LIMITED,SILVER STEM FINE CANNABIS,"1 West 1st Street, Suite 1D",Nederland,80466,2023-04-02,Stores,Adult-Use,,,,,,,402-00831,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 258-3552,,,1 W 1st St #1D,Boulder County,39.96213460000001,-105.5106195,https://silverstemcannabis.com/dispensaries/Nederland-Boulder-Area
402-00844,ORGANIC ALTERNATIVES INC,Organic Alternatives,346 East Mountain Avenue,Fort Collins,80524,2023-04-02,Stores,Adult-Use,,,,,,,402-00844,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 482-7100,,,346 E Mountain Ave,Larimer County,40.58734989999999,-105.0726441,http://www.organicalternatives.com/?utm_source=google&utm_medium=gmb&utm_campaign=fort%20collins
402-00945,NATURE MED INC,KIND-MEDS,260 North Santa Fe Drive,Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402-00945,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 366-8888,,,260 Santa Fe Dr,Denver County,39.7204941,-104.9984212,https://www.kindmedscolorado.com/
402-01012,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,1133 North Bannock Street,Denver,80204,2023-04-02,Stores,Adult-Use,,,,,,,402-01012,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 534-7873,,,1133 Bannock St,Denver County,39.7344415,-104.9905286,https://puremmj.com/
402-01166,YUMA WAY LLC,CHERRY PEAK,4601 East Mississippi Avenue,Glendale,80246,2023-04-02,Stores,Adult-Use,,,,,,,402-01166,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 386-3185,,,4601 E Mississippi Ave,Denver County,39.697177,-104.9338559,https://yumaway.com/locations/cherrypeak
402-01157,DOUBLE BROW LLC,Emerald Fields,510 East Pikes Peak Avenue,Colorado Springs,80903,2023-04-02,Stores,Adult-Use,,,,,,,402-01157,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 375-0554,,,27 Manitou Ave,El Paso County,38.856904,-104.890047,https://emeraldfields.com/locations/manitou-springs-marijuana-dispensary/?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=manitou%20springs
402-01080,GREEN GARDENS LLC,Green Fields,2038 South Navajo Street,Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402-01080,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 455-1795,,,1798 W Mississippi Ave,Denver County,39.6964176,-105.0083269,https://www.greenfieldscannabisco.com/
402-00486,DURANGO ORGANICS LLP,DO CORTEZ,1013 East Main Street,Cortez,81321,2023-04-02,Stores,Adult-Use,,,,,,,402-00486,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 565-6500,,,1013 E Main St,Montezuma County,37.3485285,-108.5721853,http://www.durangoorganics.com/
402-00539,HOLLISTER & BLACKSMITH INC,Naturaleaf,1004 South Tejon Street,Colorado Springs,80903,2023-04-02,Stores,Adult-Use,,,,,,,402-00539,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 630-7300,,,1004 S Tejon St,El Paso County,38.819569,-104.8245521,https://www.thenaturaleaf.com/naturaleaf-south/
402-00902,BEYOND BROADWAY LLC,LIVWELL,432 South Broadway,Denver,80209,2023-04-02,Stores,Adult-Use,,,,,,,402-00902,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 428-2550,,,432 S Broadway,Denver County,39.7087176,-104.9873293,https://livwell.com/locations/colorado/broadway-denver
402-01040,GROW DISPENSARY INC,None,67 North Silicon Drive Suite 130,Pueblo West,81007,2023-04-02,Stores,Adult-Use,,,,,,,402-01040,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(833) 797-7767,,,448 S McCulloch Blvd Ste 48,Pueblo County,38.3178709,-104.7487766,https://pueblowestsecurity.com/
402-01139,SOUTHERN COLORADO CANNABIS CLUB LLC,None,29577 Highway 159,Fort Garland,81133,2023-04-02,Stores,Adult-Use,,,,,,,402-01139,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 379-2222,,,319 Beaubien Ave,Costilla County,37.4271679,-105.4328399,http://allgonrestaurant.com/
402-01187,LBW CONSULTING GROUP LLC,Seed & Smith,5070 North Oakland Street,Denver,80239,2023-04-02,Stores,Adult-Use,,,,,,,402-01187,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 506-2533,,,5070 N Oakland St,Denver County,39.7897984,-104.8501551,https://seedandsmith.com/?utm_source=GMBlisting&utm_medium=organic
