application_status,license_type,application_classification,approved_license_type,approved_license_stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,original_submitted_date,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,approved_social_equity,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_initial_date_of_review,cnb_date_notice_sent_to_municipality,cnb_60_day_municipal_deadline_date,cnb_90_day_review_deadline_date,cnb_date_background_authorization_sent,cnb_date_background_report_received,cnb_finger_print_results_received_date,cnb_final_application_review,cnb_application_recommendation,cnb_final_inspection_result,cnb_final_license_recommendation,cnb_dt_of_final_licensure,application_created_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,lic_expiration_date,application_denied_date,cccupdatedate,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,zip,town,county,county_lat,county_long,region,id,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,issue_date,expiration_date,business_image_url,business_website,business_phone
APPROVED,Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283815,RC Retail Princeton LLC,Princeton,MA,01541,42.475771,-71.842666,104 Main Street,,Princeton,MA,01541,POINT (-71.840209 42.329642),POINT (-71.842665 42.4757710),200 Pratt Street,,Meriden,CT,06450,85-1144559,MRN283815,1/21/2021 05:08:12 PM,1/21/2021 05:08:12 PM,2/5/2021 10:11:38 AM,,False,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,10/7/2020 02:12:57 PM,2/5/2021 10:11:38 AM,4/16/2021 01:56:59 PM,3/10/2022 03:00:00 AM,4/26/2023 04:00:00 AM,,7/10/2023,104 Main St,N/A,Worcester County,,10000.0,01541,Princeton,Worcester,42.329642,-71.840209,Central MA,221,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,5/21/2021,COMPLETE,MR281843,Cultivate Holdings LLC,Worcester,MA,01610,42.231586,-71.819475,1764 Main Street,,Leicester,MA,01524,POINT (-71.840209 42.329642),POINT (-71.819474 42.231586),PO Box 245,,Leicester,MA,01524,82-3671586,MRN281843,9/16/2019 11:38:02 PM,9/20/2019 08:18:21 PM,9/20/2019 12:00:00 AM,5/5/2020 06:19:15 PM,True,,,,,,,APPROVED,RP201845,RP201845,Not a DBE,,,,,,,,,,,,,,5/13/2021 04:00:00 AM,8/27/2018 11:22:26 AM,10/7/2019 12:00:00 AM,1/9/2020 11:18:08 AM,6/8/2023 04:00:00 AM,6/12/2024 04:00:00 AM,,7/10/2023,1023 Southbridge St,N/A,Worcester County,,10000.0,01610,Worcester,Worcester,42.329642,-71.840209,Central MA,253,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,11/4/2020,COMPLETE,MR282667,"Holistic Industries, Inc.",Springfield,MA,01119,42.141362,-72.500648,1300 Boston Road,,Springfield,MA,01119,POINT (-72.571312 42.12756),POINT (-72.500647 42.1413620),24 School Street,C/O William Cass,Boston,MA,02108,47-5374980,MRN282667,11/8/2019 12:21:27 PM,4/22/2020 02:31:04 PM,2/26/2020 12:00:00 AM,,True,,,,,,,APPROVED,RP201840,RP201840,Not a DBE,,,,,,,,,,,,,,10/8/2020 04:00:00 AM,5/1/2019 09:51:10 AM,4/7/2020 12:00:00 AM,7/9/2020 02:59:52 PM,6/8/2023 04:00:00 AM,7/15/2024 04:00:00 AM,,7/10/2023,1300 Boston Rd,N/A,Hampden County,,10000.0,01119,Springfield,Hampden,42.12756,-72.571312,Western MA,84,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,COMMENCE OPS,COMMENCE OPS,9/2/2021,COMPLETE,MR283213,Z&T Inc,Douglas,MA,01516,42.064666,-71.694698,93 Davis Street,,Douglas,MA,01516,POINT (-71.840209 42.329642),POINT (-71.694698 42.0646660),39 Hawthorne Ave,,Cranston,RI,02910,84-3442664,MRN283213,3/15/2020 12:38:07 PM,5/7/2020 01:36:04 PM,3/19/2020 12:00:00 AM,2/25/2021 09:26:10 AM,False,,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,7/15/2021 04:00:00 AM,1/1/2020 04:25:53 PM,5/21/2020 02:33:08 PM,8/6/2020 02:49:26 PM,3/9/2023 03:00:00 AM,3/11/2024 04:00:00 AM,,7/10/2023,93 Davis St,N/A,Worcester County,,10000.0,01516,Douglas,Worcester,42.329642,-71.840209,Central MA,200,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,6/7/2021,COMPLETE,MR281834,"Evergreen Strategies, LLC",Worcester,MA,01604,42.232342,-71.751541,52 Whispering Way,,Stow,MA,01775,POINT (-71.840209 42.329642),POINT (-71.751541 42.2323420),52 Whispering Way,,Stow,MA,01775,82-5252215,MRN281834,1/31/2019 09:42:33 PM,12/9/2019 02:02:36 PM,9/10/2019 12:00:00 AM,4/6/2020 09:42:05 AM,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,5/13/2021 04:00:00 AM,8/23/2018 04:05:47 PM,10/7/2019 12:00:00 AM,1/9/2020 11:21:30 AM,5/11/2023 04:00:00 AM,5/15/2024 04:00:00 AM,,7/10/2023,143 SW Cutoff,N/A,Worcester County,,10000.0,01604,Worcester,Worcester,42.329642,-71.840209,Central MA,247,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,3/8/2023,COMPLETE,MR281951,PURE BOTANICALS LLC,Pittsfield,MA,01201,42.447804,-73.262027,239 West st,,Pittsfield,MA,01201,POINT (-73.209889 42.396128),POINT (-73.262027 42.4478039),46 Lucille St,,Pittsfield,MA,01201,82-5220358,MRN281951,3/8/2019 03:11:28 PM,3/17/2020 04:18:41 PM,10/10/2019 12:00:00 AM,,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,5/12/2022 04:00:00 AM,10/5/2018 05:27:46 PM,3/19/2020 12:00:00 AM,6/4/2020 02:36:48 PM,4/14/2023 04:00:00 AM,7/27/2024 04:00:00 AM,,7/10/2023,239 West St,N/A,Berkshire County,,10000.0,01201,Pittsfield,Berkshire,42.396128,-73.209889,Western MA,95,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,10/17/2019,COMPLETE,MR281447,"Apothca, Inc",Lynn,MA,01905,42.456286,-70.956196,99 Development Rd,,Fitchburg,MA,01420,POINT (-70.970827 42.635475),POINT (-70.956196 42.4562859),99 Development Rd,,Fitchburg,MA,01420,81-4591516,MRN281447,8/21/2018 02:07:10 PM,11/5/2018 02:27:35 PM,9/4/2018 12:00:00 AM,2/7/2019 04:06:13 PM,True,,,,,,,APPROVED,RP201880,RPA201880,Not a DBE,,,,,,,,,,,,,,9/13/2019 04:00:00 AM,5/17/2018 05:28:51 PM,11/2/2018 12:00:00 AM,2/7/2019 03:02:00 PM,12/8/2022 03:00:00 AM,2/7/2024 03:00:00 AM,,7/10/2023,491 Lynnway,N/A,Essex County,,5000.0,01905,Lynn,Essex,42.635475,-70.970827,Northeast,346,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283165,Ten-Ten LLC,Sheffield,MA,01257,42.125637,-73.36132,775 N. Main St,,Sheffield,MA,01257,POINT (-73.209889 42.396128),POINT (-73.361320 42.1256369),54 Nelson Ave Ext,,Saratoga Springs,NY,12866,83-1989850,MRN283165,2/19/2020 12:37:22 PM,4/16/2020 03:12:15 PM,4/3/2020 12:00:00 AM,7/27/2020 04:08:15 PM,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/4/2019 08:04:02 PM,5/26/2020 02:18:08 PM,7/9/2020 03:52:01 PM,7/14/2022 04:00:00 AM,7/27/2023 04:00:00 AM,,7/10/2023,775 N Main St,N/A,Berkshire County,,10000.0,01257,Sheffield,Berkshire,42.396128,-73.209889,Western MA,122,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284654,"JMK Gardening, LLC  DBA Wonderland-Cannabis Co",Millbury,MA,01527,42.202234,-71.779793,11 McCracken Road,Suite C,Millbury,MA,01527,POINT (-71.840209 42.329642),POINT (-71.779792 42.2022339),"11 McCracken Road, Suite C",,Millbury,MA,01527,84-4197373,MRN284654,12/4/2022 07:06:34 PM,12/21/2022 10:54:07 AM,12/8/2022 02:59:22 PM,3/31/2023 10:04:00 AM,False,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,5/11/2022 05:07:12 PM,12/30/2022 09:49:32 AM,3/9/2023 12:43:28 PM,3/31/2023 04:00:00 AM,3/31/2024 04:00:00 AM,,7/10/2023,11 McCracken Rd,N/A,Worcester County,,10000.0,01527,Millbury,Worcester,42.329642,-71.840209,Central MA,211,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR281353,"Budega, Inc.",Cambridge,MA,02138,42.382647,-71.119819,1 Park Lane,Unit 703,Boston,MA,02210,POINT (-71.275566 42.459085),POINT (-71.119819 42.3826469),1686 Massachusetts Ave,,Cambridge,MA,02138,83-4212378,MRN281353,2/17/2022 10:19:22 AM,7/25/2022 12:13:54 PM,3/1/2022 09:59:05 AM,,False,no,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,4/30/2018 08:52:48 AM,8/8/2022 10:17:48 AM,10/13/2022 04:00:03 PM,10/19/2022 04:00:00 AM,10/19/2023 04:00:00 AM,,7/10/2023,1686 Massachusetts Ave,N/A,Middlesex County,,10000.0,02138,Cambridge,Middlesex,42.459085,-71.275566,Metro Boston,449,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,3/9/2020,COMPLETE,MR282183,Curaleaf Massachusetts Inc,Ware,MA,01082,42.255864,-72.249594,124 West Street,Unit D,Ware,MA,01082,POINT (-72.62073 42.322256),POINT (-72.249594 42.2558640),2001 Washington Street,Unit B,Hanover,MA,02339,46-3428628,MRN282183,1/16/2019 04:52:29 PM,4/8/2019 01:35:58 PM,1/25/2019 12:00:00 AM,9/17/2019 11:34:57 PM,True,,,,,,,APPROVED,RP201882,RPA201882,Not a DBE,,,,,,,,,,,,,,2/6/2020 03:00:00 AM,12/13/2018 11:20:22 PM,6/7/2019 12:00:00 AM,9/13/2019 11:32:25 AM,9/15/2022 04:00:00 AM,9/18/2023 04:00:00 AM,,7/10/2023,124 West St,Unit D,Hampshire County,,5000.0,01082,Ware,Hampshire,42.322256,-72.62073,Western MA,56,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,,SURRENDERED,MR281989,Green Biz LLC,Northampton,,01060,,,45 Bodwell St,,Avon,MA,02322,POINT (-72.62073 42.322256),,34 Bridge St,,Northampton,MA,01060,82-5025315,MRN281989,11/15/2018 03:37:30 PM,5/15/2020 11:30:01 AM,3/29/2019 12:00:00 AM,,False,,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,10/23/2018 03:19:19 PM,6/11/2020 01:57:39 PM,10/8/2020 02:06:41 PM,10/13/2022 04:00:00 AM,11/20/2023 03:00:00 AM,,,,,,,10000.0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,,DELETED,MR282630,Elev8 Cannabis Inc.,Williamstown,,01267,,,243 Main Street,,Athol,MA,01331,POINT (-73.209889 42.396128),,243 Main Street,,Athol,MA,01331,83-3358397,MRN282630,4/24/2019 11:07:18 PM,11/20/2019 04:05:48 PM,11/6/2019 12:00:00 AM,,False,,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,4/23/2019 09:43:13 AM,11/27/2019 12:00:00 AM,1/16/2020 03:33:17 PM,,,,,,,,,0.0,01267,Williamstown,Berkshire,42.396128,-73.209889,Western MA,130,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,6/29/2020,COMPLETE,MR281910,"Silver Therapeutics, Inc.",Orange,MA,01364,42.590627,-72.309389,"82 Wendell Ave, Suite 100",,Pittsfield,MA,01201,POINT (-72.573941 42.587072),POINT (-72.309388 42.5906269),89 Court St,,Saratoga Springs,NY,12866,82-1894711,MRN281910,12/19/2018 01:16:24 PM,1/28/2019 05:48:31 PM,1/14/2019 12:00:00 AM,4/26/2019 11:12:50 AM,True,,,,,,,,,RPA201854,Not a DBE,,,,,,,,,,,,,,5/7/2020 04:00:00 AM,9/20/2018 04:15:46 PM,2/14/2019 12:00:00 AM,4/4/2019 04:39:56 PM,5/11/2023 04:00:00 AM,5/15/2024 04:00:00 AM,,7/10/2023,5 S Main St,N/A,Franklin County,,5000.0,01364,Orange,Franklin,42.587072,-72.573941,Western MA,152,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,6/12/2020,COMPLETE,MR281571,"Ipswich Pharmaceutical Associates, Inc.",Rowley,MA,01969,42.700871,-70.911296,116 Newburyport Turnpike,,Rowley,MA,01969,POINT (-70.970827 42.635475),POINT (-70.911295 42.7008709),53 Town Farm Road,,Ipswich,MA,01938,90-1007354,MRN281571,10/10/2018 04:12:08 PM,5/24/2019 03:40:47 PM,10/16/2018 12:00:00 AM,8/20/2019 12:24:52 PM,True,,,,,,,APPROVED,RP201928,RPA201928,Disability-Owned Business | Veteran-Owned Business,,,,,,,,,,,,,,2/6/2020 03:00:00 AM,6/8/2018 03:47:52 PM,6/7/2019 12:00:00 AM,8/9/2019 11:40:42 AM,10/13/2022 04:00:00 AM,10/21/2023 04:00:00 AM,,7/10/2023,116 Newburyport Turnpike,N/A,Essex County,,5000.0,01969,Rowley,Essex,42.635475,-70.970827,Northeast,373,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284693,CATAHOULA CANNABIS LLC,Fall River,MA,02721,41.697233,-71.151736,160 HARTWELL STREET,,FALL RIVER,MA,02720,POINT (-71.102131 41.778329),POINT (-71.151736 41.6972329),PO BOX 1989,,FALL RIVER,MA,02722,92-0314453,MRN284693,12/6/2022 11:39:03 AM,12/23/2022 11:29:37 AM,12/13/2022 08:33:06 AM,,False,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,6/13/2022 08:58:37 AM,1/6/2023 09:35:48 AM,2/9/2023 01:13:23 PM,2/15/2023 03:00:00 AM,2/15/2024 03:00:00 AM,,7/10/2023,160 Hartwell St,N/A,Bristol County,,10000.0,02721,Fall River,Bristol,41.778329,-71.102131,Southeast and Cape,668,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
