LicenseStatus,AssociateId,LicenseeId,UBI,LicenseNumber,Name,DBA,LicenseIssueDate,LicenseExpirationDate,ExternalIdentifier,IsDeleted,Address1,Address2,City,State,ZipCode,County,EmailAddress,PhoneNumber,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate
Active,,991,6033585480010001,414733,CHAMPAGNE PRODUCTS LLC,420 WEST,2023-11-23,2024-12-31,,False,410 RONLEE LN NW A1,,OLYMPIA,WA,985029266,THURSTON,jsauerbry420@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-24 05:53:47.883000000
Active,,1492,6033582960010001,416538,"DOGTOWN PIONEERS, INC.",DOGTOWN PIONEERS,2023-11-18,2024-12-31,,False,4645 D N SWENSON RD,,CLAYTON,WA,991109705,STEVENS,order@rayslemonade.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-19 05:53:27.167000000
Active,,79,6033585450010003,412024,SWEET LEAF SOWERS LLC,WALDEN CANNABIS,2023-11-29,2024-12-31,,False,2916 STATE ST STE 201,,EVERETT,WA,982013842,SNOHOMISH,andersb.taylor@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-30 05:56:13.693000000
Active,,1372,6033579700010001,416196,CAPITAL GREEN LLC,CAPITAL GREEN,2023-11-23,2024-12-31,,False,31688 HIGHWAY 97 SPACE D,,TONASKET,WA,988559202,OKANOGAN,LONNYLOOMIS@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-28 05:56:42.763000000
Active,,3033,6033564940010009,434273,OLD MCDONALD'S  FARM LLC,OLD MCDONALDS  FARM LLC,2023-11-29,2024-12-31,,False,30356 HIGHWAY 243 S UNIT Y,,MATTAWA,WA,993498257,GRANT,OMFcannabis@gmail.com,,LoadLicenseeETL,2022-11-08 04:46:05.710000000,proc_UpdateExistingLicenses,2023-11-30 05:56:13.693000000
Active,,822,6033576180010002,413886,GREENCO LIMITED LIABILITY COMPANY,GREEN LEAF,2023-11-28,2024-12-31,,False,4220 MERIDIAN ST STE 102,,BELLINGHAM,WA,982269153,WHATCOM,SKJLINSE@MSN.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-29 05:55:11.680000000
Active,,2348,6033562440010003,425023,ROCK ISLAND FARM LLC,ROCK ISLAND FARM,2023-11-09,2024-12-31,,False,5315 140TH ST E,,TACOMA,WA,984464129,PIERCE,FARMTHEROCK@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-10 05:49:31.263000000
Active,,2784,6033550310010007,430925,RWZ LLC,THE HERBERY,2023-11-18,2024-12-31,,False,12001 NE FOURTH PLAIN BLVD,,VANCOUVER,WA,986825527,CLARK,SARAELTINGE@THEHERBERYNW.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-19 05:53:27.167000000
Active,,998,6033550310010008,414761,RWZ LLC,THE HERBERY,2023-11-15,2024-12-31,,False,2815 ST. JOHNS ROAD   STE B,,VANCOUVER,WA,986613707,CLARK,SARAELTINGE@THEHERBERYNW.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-16 05:52:36.367000000
Active,,35,6033553980010005,88920,LEAF SUPPLIES LLC,THE VAULT CANNABIS,2023-11-28,2024-12-31,,False,1323 E PIONEER HWY,,STANWOOD,WA,982920000,SNOHOMISH,tammy@thevaultcannabis.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-29 05:55:11.680000000
Active,,933,6033556170010001,414292,GOLDEN DISPENSARIES - LLC,GOLDEN DISPENSARIES,2023-11-29,2024-12-31,,False,650 LLAMA LN,,GOLDENDALE,WA,986209140,KLICKITAT,jackie@budhut.net,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-30 05:56:13.693000000
Active,,821,6033559500010002,413870,SENSIBILITY INC.,THE REEF,2023-11-10,2024-12-31,,False,1107 N CALLOW AVE STE C,,BREMERTON,WA,983123007,KITSAP,kiana@thereefstores.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-11 05:50:08.887000000
Active,,898,6033561890010002,414181,EMANON SYSTEMS INCORPORATED,NATURES GIFTS,2023-11-09,2024-12-31,,False,755 W WASHINGTON ST STE C,,SEQUIM,WA,983823272,CLALLAM,vincent@naturesgifts420.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-10 05:49:31.263000000
Active,,2360,6033564940010005,425099,OLD MCDONALD'S FARM LLC,BINX BUDS,2023-11-29,2024-12-31,,False,30356 HIGHWAY 243 S LOT 5,,MATTAWA,WA,993498257,GRANT,OMFCANNABIS@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-30 05:56:13.693000000
Active,,2198,6033573650010009,422951,MODERN CREATIONS LLC,MODERN CREATIONS LLC,2023-11-21,2024-12-31,,False,10825 MYERS WAY S STE 200,,SEATTLE,WA,981681367,KING,CLIFF@NORTHSHOREWA.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-22 05:52:14.807000000
Active,,2836,6033564940010007,431707,OLD MCDONALD'S FARM LLC,BINX BUDS,2023-11-29,2024-12-31,,False,6996 RD 10 NE STE A,,MOSES LAKE,WA,988370000,GRANT,omfcannabis@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-30 05:56:13.693000000
Active,,1109,6033591150010002,415523,"WASHINGTON COAST MARKETING, INC.",SWEET LEAF CANNABIS CO,2023-11-09,2024-12-31,,False,100 OLD HILL RD,,ABERDEEN,WA,985207300,GRAYS HARBOR,SWEETLEAFABERDEEN@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-10 05:49:31.263000000
Active,,908,6033570900010001,414225,"LOWER VALLEY COMMODITIES, LLC",ALTITUDE,2023-11-07,2024-12-31,,False,260 MERLOT DR,,PROSSER,WA,993509533,BENTON,stevie.s@altitudemj.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-08 05:49:33.960000000
Active,,1017,6033571610010001,414876,REICK LLC,MAIN STREET MARIJUANA,2023-11-07,2024-12-31,,False,2314 MAIN ST,,VANCOUVER,WA,986602642,CLARK,mitch@mainstmj.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-08 05:49:33.960000000
Active,,1486,6033572910010001,416519,HYPOTHESIS GARDENS LLC,HYPOTHESIS GARDENS,2023-11-15,2024-12-31,,False,2709 N FELTS LANE,,SPOKANE VALLEY,WA,992060000,SPOKANE,ADMIN@HYPOTHESISGARDENS.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-16 05:52:36.367000000
Active,,1884,6033573230010003,417880,PAT WATERS LIMITED LIABILITY COMPANY,LEGAL MARIJUANA SUPERSTORE,2023-11-21,2024-12-31,,False,3610 BETHEL RD SE,SUITE 100,PORT ORCHARD,WA,983670000,KITSAP,rokinballer13@aol.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-22 05:52:14.807000000
Active,,823,6033590560010001,413893,"SEATTLE TRIBE PARTNERS, INC.",BUDDYS,2023-11-14,2024-12-31,,False,420 SUNSET BLVD N STE A,,RENTON,WA,980555512,KING,myles3369@hotmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-15 05:52:26.550000000
Active,,1601,6033606660010001,416772,KOHL PROCESSING ENTERPRISES LLC,KOHL PROCESSING ENTERPRISES,2023-11-16,2024-12-31,,False,234 OTTO STREET    STE R-3,STE R-3,PORT TOWNSEND,WA,983689720,JEFFERSON,andrew@americanhashmakers.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-17 05:51:00.500000000
Active,,2342,6033591910010007,424951,THE GARDEN L.L.C.,NIRVANA CANNABIS COMPANY,2023-11-21,2024-12-31,,False,4950 ARENA RD,,RICHLAND,WA,993527857,BENTON,judysam.ncc@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-22 05:52:14.807000000
Active,,1960,6046842120010006,420477,JREIGE INTERNATIONAL LLC,CANNAZONE,2023-12-22,2024-12-31,,False,7217 212TH ST SW,,EDMONDS,WA,980267735,SNOHOMISH,JJREIGE77@YAHOO.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-23 06:07:15.120000000
Active,,2495,6040676660010002,426849,"UB NORTH END, LLC",WESTERN BUD,2023-11-09,2024-12-31,,False,6186 STATE ROUTE 20 STE B,,ANACORTES,WA,982218496,SKAGIT,TOMSCESNIAK@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-10 05:49:31.263000000
Active,,112,6046759700010001,412078,"HAPPY TREE, LLC",HAPPY TREE,2023-12-14,2024-12-31,,False,105 MILL ST,,PRESCOTT,WA,993489762,WALLA WALLA,IZAIAH.D.LONG@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-15 06:02:44.940000000
Active,,267,6046778680010001,412365,NATURAL LEAF LLC,NATURAL LEAF LLC,2023-12-19,2024-12-31,,False,652 SQUIRES RD STE 1,,ROSALIA,WA,991700000,WHITMAN,WILSONJ0707@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-20 06:06:53.510000000
Active,,2321,6046842120010001,424599,JREIGE INTERNATIONAL LLC,CANNAZONE,2023-12-22,2024-12-31,,False,17905 STATE ROUTE 536,,MOUNT VERNON,WA,982733269,SKAGIT,JJREIGE77@YAHOO.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-23 06:07:15.120000000
Active,,2059,6046842120010002,421813,JREIGE INTERNATIONAL LLC,CANNAZONE,2023-12-22,2024-12-31,,False,5655 GUIDE MERIDIAN STE B,SUITE B,BELLINGHAM,WA,982269722,WHATCOM,JJREIGE77@YAHOO.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-23 06:07:15.120000000
Active,,2556,6046842120010004,427742,JREIGE INTERNATIONAL LLC,CANNAZONE,2023-12-22,2024-12-31,,False,3010 OLD HWY 99 SOUTH RD STE B,,MOUNT VERNON,WA,982739037,SKAGIT,JJREIGE77@YAHOO.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-23 06:07:15.120000000
Active,,2927,6046856440010001,416417,"PAINTED ROOSTER CANNABIS CO., LLC",PAINTED ROOSTER,2023-12-08,2024-12-31,,False,7521 POSTMA RD STE A,,MOXEE,WA,989369706,YAKIMA,DH@painted-rooster.com,,LoadLicenseeETL,2021-12-22 04:45:07.653000000,proc_UpdateExistingLicenses,2023-12-09 06:01:23.077000000
Active,,2057,6035719200010001,421805,BLACK KEY HOLDINGS LLC,MAIN STREET MARIJUANA EAST,2023-11-07,2024-12-31,,False,16219 SE 12TH ST STE 104,,VANCOUVER,WA,986838905,CLARK,cmskeller@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-08 05:49:33.960000000
Active,,2926,6046856440010002,416414,"PAINTED ROOSTER CANNABIS CO., LLC","PAINTED ROOSTER CANNABIS CO., LLC",2023-12-21,2024-12-31,,False,7521 POSTMA RD STE G,,MOXEE,WA,989369706,YAKIMA,DH@painted-rooster.com,,LoadLicenseeETL,2021-12-22 04:45:07.653000000,proc_UpdateExistingLicenses,2023-12-22 06:06:52.117000000
