application_status,license_type,application_classification,approved_license_type,approved_license_stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,original_submitted_date,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,approved_social_equity,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_initial_date_of_review,cnb_date_notice_sent_to_municipality,cnb_60_day_municipal_deadline_date,cnb_90_day_review_deadline_date,cnb_date_background_authorization_sent,cnb_date_background_report_received,cnb_finger_print_results_received_date,cnb_final_application_review,cnb_application_recommendation,cnb_final_inspection_result,cnb_final_license_recommendation,cnb_dt_of_final_licensure,application_created_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,lic_expiration_date,application_denied_date,cccupdatedate,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,zip,town,county,county_lat,county_long,region,id,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,issue_date,expiration_date,business_image_url,business_website,business_phone
APPROVED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103028,Emerald River LLC,N/A,,N/A,,,127 Saint Kolbe Dr,,Holyoke,MA,01040,,,127 Saint Kolbe Dr,,Holyoke,MA,01040,84-2206309,PDOA103028,5/28/2020 08:11:19 PM,6/12/2020 12:41:30 PM,6/10/2020 11:44:44 AM,,False,,SE304495,SE304495,,,,,,,Not a DBE,,,,,,,,,,,,,,,5/28/2020 06:43:08 PM,6/19/2020 02:11:14 PM,6/30/2020 10:01:10 AM,6/30/2020 04:00:00 AM,6/30/2022 04:00:00 AM,,,,,,,0.0,,,,,,,,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC282830,7LEAF GARDENS LLC,Middleborough,MA,02346,41.903112,-70.959608,Charlotte Court,,Middleborough,MA,02346,POINT (-70.818958 41.978877),POINT (-70.959608 41.903112),1120 Somerset Avenue   PO BOX 401,,North Dighton,MA,02764,00-1428932,MCN282830,12/9/2020 01:55:33 PM,12/16/2020 01:16:15 PM,12/11/2020 04:22:38 PM,3/1/2021 08:52:15 AM,False,no,,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,6/2/2020 09:52:08 AM,12/24/2020 09:26:01 AM,2/11/2021 01:07:12 PM,4/14/2023 04:00:00 AM,4/17/2024 04:00:00 AM,,5/22/2023,,"41.857419,-70.8660704",Plymouth County,,1250.0,02346,Middleboro,Plymouth,41.978877,-70.818958,,528,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Courier Pre-Certification,Priority Review - Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103553,"The Blue Jay Botanicals, Inc.",N/A,,N/A,,,946 Main Street,,Athol,MA,01331,,,"600 Worcester Road, Suite 401",,Framingham,MA,01702,83-2811584,PDOA103553,12/4/2021 06:00:29 PM,12/4/2021 06:00:29 PM,12/7/2021 11:04:06 AM,,False,,EE202121,,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/24/2021 03:55:49 PM,12/14/2021 10:52:50 AM,12/14/2021 10:53:02 AM,12/14/2021 03:00:00 AM,12/14/2023 03:00:00 AM,,,,,,,0.0,,,,,,,,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Microbusiness,Expedited Review - License Type,COMMENCE OPS,COMMENCE OPS,9/13/2022,COMPLETE,MB282029,FCC Holdings LLC,Northampton,MA,01060,42.310554,-72.640928,131 Texas Rd,,Northampton,MA,01060,POINT (-72.62073 42.322256),POINT (-72.640928 42.3105540),228 Cardinal way,,Northampton,MA,01062,85-3195565,MBN282029,1/5/2021 12:10:28 PM,2/11/2021 08:15:13 PM,1/13/2021 02:30:02 PM,,False,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,5/12/2022 04:00:00 AM,7/23/2020 09:41:39 PM,2/22/2021 03:12:48 PM,4/16/2021 01:52:47 PM,4/14/2023 04:00:00 AM,5/13/2024 04:00:00 AM,,5/22/2023,131 Texas Rd,N/A,Hampshire County,,625.0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282201,"Infused Element, LLC",Holyoke,MA,01040,42.196637,-72.602168,405 Bay Street,,Springfield,MA,01109,POINT (-72.571312 42.12756),POINT (-72.602168 42.1966370),405 Bay Street,,Springfield,MA,01109,88-2417752,MPN282201,7/19/2022 11:39:47 AM,8/17/2022 01:19:54 PM,8/11/2022 09:38:50 AM,11/3/2022 08:25:58 PM,False,yes,SE305158,,,,,,,,Not a DBE,,,,,,,,,,,,,,,5/9/2022 02:43:26 PM,8/19/2022 09:37:35 AM,10/13/2022 04:13:27 PM,11/3/2022 04:00:00 AM,11/3/2023 04:00:00 AM,,5/22/2023,1 Cabot St,Unit #2,Hampden County,,5000.0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,COMMENCE OPS,COMMENCE OPS,9/27/2022,COMPLETE,MR281301,"JimBuddys Rec Shop, Inc.",Chicopee,MA,01020,42.19238,-72.575482,1269 Memorial Drive,,Chicopee,MA,01020,POINT (-72.571312 42.12756),POINT (-72.575481 42.19238),1269 Memorial Drive,,Chicopee,MA,01020,83-0904086,MRN281301,4/24/2019 10:41:14 AM,6/9/2021 12:07:58 PM,10/16/2019 12:00:00 AM,,False,yes,SE303995,SE303995,,,,,,,Not a DBE,,,,,,,,,,,,,,8/11/2022 04:00:00 AM,4/22/2018 07:28:21 PM,6/23/2021 09:41:36 AM,7/15/2021 04:36:02 PM,7/14/2022 04:00:00 AM,7/28/2023 04:00:00 AM,,5/22/2023,1269 Memorial Dr,N/A,Hampden County,,5000.0,01020,Chicopee,Hampden,42.12756,-72.571312,Western MA,14,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282002,"Pepperell Roots, LLC",Pepperell,MA,01463,42.676753,-71.562984,41 Brookline Street,PO Box 891,Pepperell,MA,01463,POINT (-71.275566 42.459085),POINT (-71.562984 42.6767529),41 Brookline Street,PO Box 891,Pepperell,MA,01463,84-4627957,MPN282002,2/23/2021 11:13:05 AM,6/9/2021 03:21:09 PM,2/26/2021 01:22:15 PM,12/16/2021 12:27:55 PM,False,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,12/21/2020 11:23:46 AM,6/25/2021 02:30:11 PM,9/17/2021 12:32:12 PM,11/10/2022 03:00:00 AM,12/16/2023 03:00:00 AM,,5/22/2023,35 Lomar Park Dr,N/A,Middlesex County,,10000.0,01463,Pepperell,Middlesex,42.459085,-71.275566,Central MA,178,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281517,"Beacon Compassion, Inc",Attleboro,MA,02703,41.919957,-71.319582,900 Washington Street,Ste A,Norwood,MA,02062,POINT (-71.102131 41.778329),POINT (-71.319581 41.9199569),900 Washington Street,Ste A,Norwood,MA,02062,83-2057586,MPN281517,10/29/2018 02:35:31 PM,11/28/2018 01:48:41 PM,11/6/2018 12:00:00 AM,4/25/2019 10:18:20 AM,True,,,,,,,APPROVED,RP201902,RPA201902,Not a DBE,,,,,,,,,,,,,,,10/18/2018 03:32:59 PM,12/10/2018 12:00:00 AM,2/21/2019 04:07:37 PM,4/14/2023 04:00:00 AM,4/26/2024 04:00:00 AM,,5/22/2023,30 Franklin R Mckay Rd,N/A,Bristol County,,5000.0,02703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PMD5967,"Reup, INC",N/A,,N/A,,,22 Barry St,,Brockton,MA,02302,,,22 Barry St,,Brockton,MA,02302,87-3923711,PMDA5967,12/14/2021 01:46:29 PM,12/27/2021 02:51:07 AM,12/16/2021 09:17:07 AM,,False,,SE306218,SE306218,,,,,,,Not a DBE,,,,,,,,,,,,,,,11/24/2021 01:53:18 PM,1/7/2022 01:55:26 PM,1/7/2022 02:01:10 PM,1/7/2022 03:00:00 AM,1/7/2024 03:00:00 AM,,,,,,,0.0,,,,,,,,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281628,"Alternative Compassion Services, Inc.",Bridgewater,MA,02324,41.986063,-71.021432,693 Elm Street,,Bridgewater,MA,02324,POINT (-70.818958 41.978877),POINT (-71.021432 41.9860630),693 Elm Street,,Bridgewater,MA,02324,46-2655758,MPN281628,3/27/2019 10:54:12 AM,7/18/2019 05:47:08 PM,4/16/2019 12:00:00 AM,1/6/2020 05:33:06 PM,True,,,,,,,APPROVED,RP201839,RP201839,Not a DBE,,,,,,,,,,,,,,,3/25/2019 01:38:08 PM,7/30/2019 12:00:00 AM,10/10/2019 01:05:31 PM,1/8/2020 03:00:00 AM,1/16/2021 03:00:00 AM,,5/22/2023,693 Elm St,N/A,Plymouth County,,5000.0,02324,Bridgewater,Plymouth,41.978877,-70.818958,Southeast and Cape,512,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,COMMENCE OPS,COMMENCE OPS,2/12/2021,COMPLETE,MP281871,"Cultivauna, LLC",Georgetown,MA,01833,42.718899,-70.958102,68 Tenney Street,,Georgetown,MA,01833,POINT (-70.970827 42.635475),POINT (-70.958101 42.718899),26 Donovans Way,,Middleton,MA,01949,81-5347801,MPN281871,6/16/2020 06:48:18 PM,7/24/2020 02:43:21 PM,6/30/2020 05:06:28 PM,9/11/2020 12:28:09 PM,False,yes,SE304974,,,,,,,,Not a DBE,,,,,,,,,,,,,,1/14/2021 03:00:00 AM,4/13/2020 12:30:38 PM,7/29/2020 12:02:19 PM,9/10/2020 12:56:41 PM,8/11/2022 04:00:00 AM,9/11/2023 04:00:00 AM,,5/22/2023,68 Tenney St,N/A,Essex County,,5000.0,01833,Georgetown,Essex,42.635475,-70.970827,Northeast,311,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR282399,"Resinate, Inc.",Grafton,MA,01519,42.196638,-71.728309,120 Gilboa Street,,Douglas,MA,01516,POINT (-71.840209 42.329642),POINT (-71.728308 42.196638),120 Gilboa Street,,Douglas,MA,01516,47-4392516,MRN282399,11/11/2019 09:02:34 AM,4/7/2020 03:08:55 PM,2/26/2020 12:00:00 AM,6/9/2020 02:30:00 PM,True,,,,,,,,,RP201945,Not a DBE,,,,,,,,,,,,,,,2/11/2019 02:00:06 PM,4/7/2020 12:00:00 AM,6/4/2020 02:38:48 PM,6/9/2022 04:00:00 AM,6/10/2023 04:00:00 AM,,5/22/2023,135 Grafton St,N/A,Worcester County,,10000.0,01519,Grafton,Worcester,42.329642,-71.840209,Central MA,203,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Delivery Operator,Expedited Review - Two or More,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MD1264,BLUE SKY ORGANICS LLC,Newton,,02459,,,16 Maguire Ct.,,Newton,MA,02458,POINT (-71.275566 42.459085),,17 Cortes St. #1,,Boston,MA,02116,85-1202656,MDA1264,1/12/2022 02:01:44 PM,2/3/2022 05:19:47 PM,1/19/2022 10:24:50 AM,,False,,SE303608,SE303608,,,,,,,Veteran-Owned Business,,,,,,,,,,,,,,,7/12/2021 12:50:30 PM,2/4/2022 09:51:32 AM,3/10/2022 01:56:57 PM,3/9/2023 03:00:00 AM,3/10/2024 04:00:00 AM,,,,,,,0.0,02459,Newton Center,Middlesex,42.459085,-71.275566,,564,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,COMMENCE OPS,COMMENCE OPS,11/10/2022,COMPLETE,MR284103,"The Harvest Club, LLC",Somerville,MA,02144,42.395657,-71.12165,153 Main St STE 222,,North Reading,MA,01864,POINT (-71.275566 42.459085),POINT (-71.121650 42.395657),153 Main St STE 222,,North Reading,MA,01864,30-1173640,MRN284103,2/22/2021 02:50:28 PM,1/24/2022 11:38:28 AM,2/25/2021 03:36:37 PM,3/15/2022 01:40:41 PM,False,yes,SE304442,SE304442,,,,,,,Not a DBE,,,,,,,,,,,,,,9/15/2022 04:00:00 AM,2/17/2021 01:30:07 PM,2/4/2022 03:14:38 PM,3/10/2022 01:49:48 PM,2/9/2023 03:00:00 AM,3/15/2024 04:00:00 AM,,5/22/2023,255 Elm St,N/A,Middlesex County,,5000.0,02144,Somerville,Middlesex,42.459085,-71.275566,Metro Boston,455,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281691,"CNA Stores, Inc.",Amesbury,MA,01913,42.83413,-70.961347,100 Main St.,,Amesbury,MA,01913,POINT (-70.970827 42.635475),POINT (-70.961347 42.8341300),100 Main St,,Amesbury,MA,01913,83-1233238,MPN281691,9/18/2019 09:20:45 AM,2/11/2020 02:42:45 PM,12/11/2019 12:00:00 AM,6/17/2020 10:59:28 AM,False,,,,,,,,,,Veteran-Owned Business | Disability-Owned Business,,,,,,,,,,,,,,,6/6/2019 05:16:37 PM,2/12/2020 12:00:00 AM,4/9/2020 03:05:26 PM,5/11/2023 04:00:00 AM,6/19/2024 04:00:00 AM,,5/22/2023,57 S Hunt Rd,N/A,Essex County,,10000.0,01913,Amesbury,Essex,42.635475,-70.970827,Northeast,351,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Microbusiness,Expedited Review - License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MB281675,"Root 2 Naturals, LLC",Athol,MA,01331,42.57749,-72.260421,201 Daniel Shays Highway,,Athol,MA,01331,POINT (-71.840209 42.329642),POINT (-72.260420 42.5774899),PO Box 80420,,STONEHAM,MA,02180,84-3118609,MBN281675,3/26/2020 06:12:40 PM,6/11/2020 12:22:01 PM,3/31/2020 12:00:00 AM,,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/17/2019 06:08:23 PM,6/19/2020 02:31:40 PM,9/10/2020 01:33:47 PM,8/11/2022 04:00:00 AM,9/16/2023 04:00:00 AM,,5/22/2023,201 Daniel Shays Hwy,N/A,Worcester County,,5625.0,01331,Athol,Worcester,42.329642,-71.840209,Western MA,135,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PMD5970,"Pineapple Express, LLC",N/A,,N/A,,,64 Elm Circle,,West Springfield,MA,01089,,,64 Elm Circle,,West Springfield,MA,01089,87-4280465,PMDA5970,1/12/2022 12:19:20 PM,1/20/2022 10:00:14 AM,1/18/2022 03:49:45 PM,,False,,SE306067,SE306067,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/1/2021 07:58:53 AM,1/31/2022 11:31:17 AM,1/31/2022 11:31:25 AM,1/31/2022 03:00:00 AM,1/31/2024 03:00:00 AM,,,,,,,0.0,,,,,,,,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
