activity,business_dba_name,business_image_url,business_legal_name,business_structure,business_website,data_refreshed_date,expiration_date,id,issue_date,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,phone_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,ccclastupdated,application_status,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,approved_license_stages,commence_operations_date,license_status,license_number,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,cnb_deemed_complete_date,application_approved_date,lic_start_date,pmt_amount,lic_fee_amount,premise_zip_code,town,county_lat,county_long,region,cccupdatedate,establishment_address_2,establishment_state,approved_se_number,business_owner_name,license_designation,premise_street_address,CEID,LicenseStatus,delivery,cultivator,retailer
,Best Buds,,Best Buds,,https://www.Bestbuds.com,2023-12-05T22:55:09.460791,,10,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-505-5000,Dover,Kent County,39.1777374,-75.5248116,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Best Buds,,Best Buds,,https://Bestbuds.com,2023-12-05T22:55:09.460791,,11,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-505-5000,Georgetown,Sussex County,38.6802325,-75.3966186,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sama Productions, LLC",,"Sama Productions, LLC",,,,Sat Jun 15 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,Sat Jun 01 2019 03:52:48 GMT-0400 (Eastern Daylight Time),,,Marijuana Product Manufacturer,Massachusetts Cannabis Control Commission,MACCC,,,Sandisfield,Berkshire,42.075895,-73.063928,MA,11/27/2023,APPROVED,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281686,1255.0,,,42 South Main Street,,Sandisfield,MA,1255.0,POINT (-73.209889 42.396128),POINT (-73.063928 42.0758950),28 Priscilla Avenue,,Yonkers,NY,10710.0,86-1451776,MPN281686,Tue Jan 04 2022 14:51:30 GMT-0500 (Eastern Standard Time),Thu Sep 16 2021 17:41:04 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,,Fri Jan 14 2022 11:17:53 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 13:51:04 GMT-0500 (Eastern Standard Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1255.0,Sandisfield,42.396128,-73.209889,Western MA,11/27/2023,,MA,,,,,,,,,
,Rolling Releaf LLC,,Rolling Releaf LLC,,,,Mon Nov 18 2024 03:00:00 GMT-0500 (Eastern Standard Time),,Mon Jul 12 2021 13:52:33 GMT-0400 (Eastern Daylight Time),,,Marijuana Delivery Operator,Massachusetts Cannabis Control Commission,MACCC,,,Middleborough,Plymouth,,,MA,11/27/2023,APPROVED,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,COMMENCE OPS,COMMENCE OPS,2/14/2023,COMPLETE,MD1265,2346.0,,,370 Wareham Street,,Middleborough,MA,2346.0,POINT (-70.818958 41.978877),,22 Rock Island Road,,Quincy,MA,2169.0,85-1220335,MDA1265,Fri Sep 03 2021 10:19:49 GMT-0400 (Eastern Daylight Time),Wed Sep 01 2021 11:11:22 GMT-0400 (Eastern Daylight Time),,True,,SE303639,,,,,,,Not a DBE,,,Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Fri Sep 10 2021 09:41:27 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:39:11 GMT-0500 (Eastern Standard Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),,,2346.0,Middleboro,41.978877,-70.818958,,11/27/2023,,MA,SE303639,,,,,,,,
,"Glacier Rock Farm, Inc.",,"Glacier Rock Farm, Inc.",,,,Sun Jun 09 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,Wed May 08 2019 14:14:25 GMT-0400 (Eastern Daylight Time),,,Marijuana Cultivator,Massachusetts Cannabis Control Commission,MACCC,,,Cummington,Hampshire,42.466334,-72.866086,MA,11/27/2023,APPROVED,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC282137,1026.0,,,"c/o Stage Road Holdings, LLC","1 Monarch Place, Suite 310",Springfield,MA,1144.0,POINT (-72.62073 42.322256),POINT (-72.866085 42.4663340),"c/o Stage Road Holdings, LLC","1 Monarch Place, Suite 310",Springfield,MA,1144.0,83-4488305,MCN282137,Mon Mar 16 2020 15:46:43 GMT-0400 (Eastern Daylight Time),Wed Jan 15 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,Tue Apr 07 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:14:04 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),600.0,5000.0,1026.0,Cummington,42.322256,-72.62073,Western MA,11/27/2023,,MA,,,,,,,,,
,"Holyoke Green Growers, LLC.",,"Holyoke Green Growers, LLC.",,,,,,Fri Jul 03 2020 08:24:28 GMT-0400 (Eastern Daylight Time),,,Marijuana Product Manufacturer,Massachusetts Cannabis Control Commission,MACCC,,,Holyoke,Hampden,42.19586,-72.614538,MA,11/27/2023,APPROVED,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MP281910,1040.0,,,60 Jackson St.,,Holyoke,MA,1040.0,POINT (-72.571312 42.12756),POINT (-72.614537 42.1958600),275 sargent st,,holyoke,MA,1040.0,82-5257334,MPN281910,Mon Jan 24 2022 12:41:49 GMT-0500 (Eastern Standard Time),Tue Dec 15 2020 10:46:03 GMT-0500 (Eastern Standard Time),,True,yes,EE202034,APPROVED,EE202034,EE202034,,,,Not a DBE,,,,Fri Dec 03 2021 11:39:52 GMT-0500 (Eastern Standard Time),Mon Feb 14 2022 16:17:24 GMT-0500 (Eastern Standard Time),,,,1040.0,Holyoke,42.12756,-72.571312,Western MA,11/27/2023,,MA,,,,,,,,,
,"1620 Labs, LLC",,"1620 Labs, LLC",,,,Mon Mar 27 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,Sat Oct 27 2018 16:37:59 GMT-0400 (Eastern Daylight Time),,,Marijuana Cultivator,Massachusetts Cannabis Control Commission,MACCC,,,Athol,Worcester,42.592005,-72.231001,MA,11/27/2023,APPROVED,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC281775,1331.0,,,503 South Street,,Athol,MA,1331.0,POINT (-71.840209 42.329642),POINT (-72.231001 42.592005),P.O. Box 480,,Athol,MA,1331.0,82-5412946,MCN281775,Fri Sep 27 2019 08:20:03 GMT-0400 (Eastern Daylight Time),Mon Apr 01 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Mar 27 2020 11:27:26 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business",Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,Mon Oct 07 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 11:16:31 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),600.0,5000.0,1331.0,Athol,42.329642,-71.840209,Western MA,11/27/2023,,MA,,,,,,,,,
,"FitzCanna, Inc",,"FitzCanna, Inc",,,,Thu Oct 31 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,Sat Jun 18 2022 08:26:45 GMT-0400 (Eastern Daylight Time),,,Marijuana Transporter with Other Existing ME License,Massachusetts Cannabis Control Commission,MACCC,,,Clinton,Worcester,42.412954,-71.679018,MA,11/27/2023,APPROVED,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MX281413,1510.0,,,"75 Green Street, Suite 5",,Clinton,MA,1510.0,POINT (-71.840209 42.329642),POINT (-71.679017 42.4129539),60 Bolton Station Road,,Lancaster,MA,1523.0,87-1573192,MXN281413,Tue May 09 2023 11:40:32 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 15:57:03 GMT-0500 (Eastern Standard Time),,True,no,,,,,,,,Woman-Owned Business,,,,Fri May 12 2023 12:11:39 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 11:42:59 GMT-0400 (Eastern Daylight Time),Tue Oct 31 2023 04:00:00 GMT-0400 (Eastern Daylight Time),1000.0,5000.0,1510.0,Clinton,42.329642,-71.840209,Central MA,11/27/2023,,MA,,,,,,,,,
,HIGHMINDED LLC,,HIGHMINDED LLC,,,,Wed Apr 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,Wed May 08 2019 14:48:58 GMT-0400 (Eastern Daylight Time),,,Marijuana Product Manufacturer,Massachusetts Cannabis Control Commission,MACCC,,,Great Barrington,Berkshire,42.199472,-73.360407,MA,11/27/2023,APPROVED,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,COMMENCE OPS,2/17/2021,COMPLETE,MP281662,1230.0,,,126 Main Street,,Great Barrington,MA,1230.0,POINT (-73.209889 42.396128),POINT (-73.360406 42.199472),126 Main Street,,Great Barrington,MA,1230.0,83-0990966,MPN281662,Mon Dec 16 2019 16:49:22 GMT-0500 (Eastern Standard Time),Tue Dec 10 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Apr 13 2020 10:16:07 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business",,,Thu Nov 19 2020 03:00:00 GMT-0500 (Eastern Standard Time),Thu Feb 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:15:30 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1230.0,Great Barrington,42.396128,-73.209889,Western MA,11/27/2023,,MA,,,,,,,,,
,"Blackstone Valley Naturals, LLC",,"Blackstone Valley Naturals, LLC",,,,Wed Feb 07 2024 03:00:00 GMT-0500 (Eastern Standard Time),,Tue Sep 18 2018 09:00:54 GMT-0400 (Eastern Daylight Time),,,Marijuana Microbusiness,Massachusetts Cannabis Control Commission,MACCC,,,Uxbridge,Worcester,42.062411,-71.669276,MA,11/27/2023,APPROVED,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,6/29/2020,COMPLETE,MB281476,1569.0,,,660 Douglas Street SUITE 400,,Uxbridge,MA,1569.0,POINT (-71.840209 42.329642),POINT (-71.669275 42.0624109),660 Douglas Street SUITE 400,,Uxbridge,MA,1569.0,83-1933336,MBN281476,Wed Feb 27 2019 17:56:51 GMT-0500 (Eastern Standard Time),Tue Feb 12 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Jul 01 2019 09:40:22 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,,,Thu Feb 06 2020 03:00:00 GMT-0500 (Eastern Standard Time),Wed Apr 17 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 27 2019 16:26:19 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,3125.0,1569.0,Uxbridge,42.329642,-71.840209,Central MA,11/27/2023,,MA,,,,,,,,,
,Bean Collective LLC,,Bean Collective LLC,,,,Fri Jul 01 2022 04:00:00 GMT-0400 (Eastern Daylight Time),,Thu May 28 2020 22:46:18 GMT-0400 (Eastern Daylight Time),,,Marijuana Courier Pre-Certification,Massachusetts Cannabis Control Commission,MACCC,,,,,,,MA,11/27/2023,APPROVED,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103048,,,,63 Coburn st,,Lowell,MA,1852.0,,,63 Coburn st,,Lowell,MA,1852.0,84-2083386,PDOA103048,Wed Jun 17 2020 19:48:05 GMT-0400 (Eastern Daylight Time),Wed Jun 10 2020 12:57:47 GMT-0400 (Eastern Daylight Time),,True,,SE303968,INCOMPLETE,EE201943,,,,,Veteran-Owned Business | Minority-Owned Business,,,,Fri Jun 19 2020 14:17:26 GMT-0400 (Eastern Daylight Time),Wed Jul 01 2020 09:32:08 GMT-0400 (Eastern Daylight Time),Wed Jul 01 2020 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,11/27/2023,,MA,,,,,,,,,
,Relevant Energy Concepts LLC,,Relevant Energy Concepts LLC,,,,Thu Jun 29 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,Fri Jun 04 2021 13:54:18 GMT-0400 (Eastern Daylight Time),,,Marijuana Delivery Operator Pre-Certification,Massachusetts Cannabis Control Commission,MACCC,,,,,,,MA,11/27/2023,APPROVED,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PMD5860,,,,1833 Roosevelt Avenue,,Springfield,MA,1109.0,,,1833 Roosevelt Avenue,,Springfield,MA,1109.0,85-2318289,PMDA5860,Mon Jun 14 2021 12:13:04 GMT-0400 (Eastern Daylight Time),Fri Jun 11 2021 15:41:02 GMT-0400 (Eastern Daylight Time),,True,,EE202251,APPROVED,EE202251,,,,,Not a DBE,,,,Tue Jun 29 2021 14:05:43 GMT-0400 (Eastern Daylight Time),Tue Jun 29 2021 14:05:54 GMT-0400 (Eastern Daylight Time),Tue Jun 29 2021 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,11/27/2023,,MA,,,,,,,,,
,"The Green Resource, Inc.",,"The Green Resource, Inc.",,,,,,Fri Jun 17 2022 17:53:49 GMT-0400 (Eastern Daylight Time),,,Marijuana Cultivator,Massachusetts Cannabis Control Commission,MACCC,,,Kingston,Plymouth,42.015864,-70.734438,MA,11/27/2023,APPROVED,General Applicant,General Applicant,General Applicant,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MC283754,2364.0,,,28 Cortland Drive,,Hudson,MA,1749.0,POINT (-70.818958 41.978877),POINT (-70.734437 42.0158640),28 Cortland Drive,,Hudson,MA,1749.0,86-3149369,MCN283754,Thu Sep 01 2022 13:55:23 GMT-0400 (Eastern Daylight Time),Thu Jun 30 2022 15:56:47 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,Fri Nov 18 2022 12:09:58 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 13:40:30 GMT-0500 (Eastern Standard Time),,2000.0,,2364.0,Kingston,41.978877,-70.818958,Southeast and Cape,11/27/2023,,MA,,,,,,,,,
,"Lemonnade Springfield, LLC",,"Lemonnade Springfield, LLC",,,,Wed Apr 03 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,Wed May 19 2021 12:43:53 GMT-0400 (Eastern Daylight Time),,,Marijuana Retailer,Massachusetts Cannabis Control Commission,MACCC,,,Springfield,Hampden,42.094242,-72.580787,MA,11/27/2023,APPROVED,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284253,1105.0,,,595 Main Street,,Springfield,MA,1105.0,POINT (-72.571312 42.12756),POINT (-72.580787 42.0942420),4675 MacArthur Court Floor 15,,Newport Beach,CA,92660.0,86-3974146,MRN284253,Thu Feb 03 2022 09:58:10 GMT-0500 (Eastern Standard Time),Mon Jun 21 2021 13:25:08 GMT-0400 (Eastern Daylight Time),Mon Apr 03 2023 15:22:05 GMT-0400 (Eastern Daylight Time),True,yes,EE202373,,,EE202373,,,,Not a DBE,,,,Mon Feb 07 2022 14:56:15 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:07:25 GMT-0400 (Eastern Daylight Time),Mon Apr 03 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,1105.0,Springfield,42.12756,-72.571312,Western MA,11/27/2023,,MA,,,,,,,,,
,KG Collective LLC,,KG Collective LLC,,,,Fri Aug 09 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,Mon Mar 22 2021 19:44:27 GMT-0400 (Eastern Daylight Time),,,Marijuana Retailer,Massachusetts Cannabis Control Commission,MACCC,,,Cambridge,Middlesex,42.374955,-71.149512,MA,11/27/2023,APPROVED,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,COMMENCE OPS,2/13/2023,COMPLETE,MR284181,2138.0,,,1536 Tremont St,,Boston,MA,2120.0,POINT (-71.275566 42.459085),POINT (-71.149512 42.374955),1536 Tremont St,,Boston,MA,2120.0,82-5066736,MRN284181,Thu Apr 15 2021 13:35:56 GMT-0400 (Eastern Daylight Time),Wed Mar 31 2021 10:17:42 GMT-0400 (Eastern Daylight Time),,True,yes,EE201965,APPROVED,EE201965,EE201965,,,,Not a DBE,,,Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Apr 30 2021 09:45:33 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 11:05:40 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,2138.0,Cambridge,42.459085,-71.275566,Metro Boston,11/27/2023,,MA,,,,,,,,,
,"Green Collar Cannabis, LLC",,"Green Collar Cannabis, LLC",,,,,,Tue May 10 2022 09:42:05 GMT-0400 (Eastern Daylight Time),,,Marijuana Product Manufacturer,Massachusetts Cannabis Control Commission,MACCC,,,Freetown,Bristol,41.776406,-71.08455,MA,11/27/2023,APPROVED,General Applicant,General Applicant,General Applicant,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MP282202,2702.0,,,16A Copicut Road Bldg. #2,Units 5 & 6,Assonet,MA,2702.0,POINT (-71.102131 41.778329),POINT (-71.084549 41.7764060),2070 Main Rd,,Tiverton,RI,2878.0,88-0769711,MPN282202,Fri Dec 30 2022 09:32:27 GMT-0500 (Eastern Standard Time),Thu Jun 30 2022 11:59:34 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Woman-Owned Business,,,,Fri Jan 13 2023 10:52:46 GMT-0500 (Eastern Standard Time),Thu Feb 09 2023 13:16:17 GMT-0500 (Eastern Standard Time),,1500.0,,2702.0,Assonet,41.778329,-71.102131,,11/27/2023,Units 5 & 6,MA,,,,,,,,,
,"Elevated, Inc.",,"Elevated, Inc.",,,,,,Wed Nov 30 2022 20:17:16 GMT-0500 (Eastern Standard Time),,,Marijuana Cultivator,Massachusetts Cannabis Control Commission,MACCC,,,Clinton,Worcester,42.420705,-71.689258,MA,11/27/2023,APPROVED,General Applicant,General Applicant,General Applicant,PROVISIONAL CONSIDERATION,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MC283819,1510.0,,,223 MEADOW NECK ROAD,,Falmouth,MA,2536.0,POINT (-71.840209 42.329642),POINT (-71.689257 42.4207049),223 MEADOW NECK ROAD,,Falmouth,MA,2536.0,85-2144857,MCN283819,Fri Mar 03 2023 16:30:56 GMT-0500 (Eastern Standard Time),Tue Jan 24 2023 16:15:16 GMT-0500 (Eastern Standard Time),,True,no,,,,,,,,Not a DBE,Indoor,"Tier 11: 90,001 to 100,000 sq. ft",,Fri Mar 10 2023 11:29:50 GMT-0500 (Eastern Standard Time),Thu Jun 08 2023 11:14:45 GMT-0400 (Eastern Daylight Time),,2000.0,,1510.0,Clinton,42.329642,-71.840209,Central MA,11/27/2023,,MA,,,,,,,,,
,dba EMJ LLC,,dba EMJ LLC,,,,Thu Nov 23 2023 03:00:00 GMT-0500 (Eastern Standard Time),,Tue May 07 2019 06:53:43 GMT-0400 (Eastern Daylight Time),,,Marijuana Cultivator,Massachusetts Cannabis Control Commission,MACCC,,,Cummington,Hampshire,42.480201,-72.933922,MA,11/27/2023,APPROVED,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC282135,1026.0,,,205 West Cummington Rd,Cummington,Cummington,MA,1026.0,POINT (-72.62073 42.322256),POINT (-72.933921 42.4802010),205 West Cummington Rd,,Cummington,MA,1026.0,15-8464014,MCN282135,Mon Sep 21 2020 13:00:23 GMT-0400 (Eastern Daylight Time),Thu Nov 14 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 23 2020 14:52:46 GMT-0500 (Eastern Standard Time),True,no,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,Thu Sep 24 2020 08:25:35 GMT-0400 (Eastern Daylight Time),Thu Nov 19 2020 16:19:23 GMT-0500 (Eastern Standard Time),Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),200.0,1250.0,1026.0,Cummington,42.322256,-72.62073,Western MA,11/27/2023,,MA,,,,,,,,,
,Coastal Roots LLC,,Coastal Roots LLC,,,,Wed Jul 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,Mon Mar 16 2020 09:00:15 GMT-0400 (Eastern Daylight Time),,,Marijuana Product Manufacturer,Massachusetts Cannabis Control Commission,MACCC,,,Uxbridge,Worcester,42.058913,-71.666886,MA,11/27/2023,APPROVED,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281857,1569.0,,,112 Winter St.,,Hanson,MA,2341.0,POINT (-71.840209 42.329642),POINT (-71.666886 42.0589129),112 Winter St.,,Hanson,MA,2341.0,85-1767963,MPN281857,Tue Apr 05 2022 17:07:58 GMT-0400 (Eastern Daylight Time),Tue Apr 05 2022 14:48:13 GMT-0400 (Eastern Daylight Time),Thu Jul 07 2022 19:42:55 GMT-0400 (Eastern Daylight Time),True,yes,SE305010,,,,,,,Not a DBE,,,,Mon Apr 25 2022 05:30:29 GMT-0400 (Eastern Daylight Time),Thu Jun 09 2022 12:48:31 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,1569.0,Uxbridge,42.329642,-71.840209,Central MA,11/27/2023,Unit B,MA,SE305010,,,,,,,,
