activity,business_dba_name,business_image_url,business_legal_name,business_owner_name,business_phone,business_structure,county,data_refreshed_date,expiration_date,id,issue_date,license_designation,license_number,license_status,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_zip_code
,Talaria MO LLC,,Talaria MO LLC,,(61-0) -304-4966,,Henry County,2023-04-27T08:29:29.255260,,20,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64735,Henry County,38.3686324,-93.7782689,MO,64735
,"Midwest Roots Transportation, LLC",,"Midwest Roots Transportation, LLC",,(31-4) -775-5432,,Franklin County,2023-04-27T08:29:29.255260,,21,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Franklin County,38.55810719999999,-91.01208779999999,MO,63090
,Green Logistics Ltd,,Green Logistics Ltd,,(20-2) -718-4573,,St. Charles County,2023-04-27T08:29:29.255260,,22,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63385,St. Charles County,38.8069481,-90.85798179999999,MO,63385
,"QPS Missouri Holdings, LLC",,"QPS Missouri Holdings, LLC",,(24-8) -255-1286,,St. Louis city,2023-04-27T08:29:29.255260,,23,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63110,,38.6212468,-90.2526163,MO,63110
,Secure Delivery Solutions LLC,,Secure Delivery Solutions LLC,,(51-2) -239-8502,,Boone County,2023-04-27T08:29:29.255260,,24,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Columbia,Boone County,38.9184034,-92.3535572,MO,65201
,"Haze Transportation, LLC",,"Haze Transportation, LLC",,(81-6) -516-2607,,Jackson County,2023-04-27T08:29:29.255260,,25,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64120,Jackson County,39.1347147,-94.5160396,MO,64120
,SMO Transport LLC,,SMO Transport LLC,,(81-6) -865-1815,,Greene County,2023-04-27T08:29:29.255260,,26,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Greene County,37.2089572,-93.29229889999999,MO,65802
,Truck Norris Transports LLC,,Truck Norris Transports LLC,,(57-3) -823-3527,,Boone County,2023-04-27T08:29:29.255260,,27,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65201,,38.951674,-92.33254099999999,MO,65201
,MO Cann Transport LLC,,MO Cann Transport LLC,,520-307-9708,,Clay County,2023-04-27T08:29:29.255260,,28,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64119,Clay County,39.2015955,-94.53150289999999,MO,64119
,Vetforce Security Incorporated,,Vetforce Security Incorporated,,570-263-3973,,Jackson County,2023-04-27T08:29:29.255260,,29,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64120,Jackson County,39.1347147,-94.5160396,MO,64120
