Medical ,activity,adult_use,business_dba_name,business_image_url,business_legal_name,business_owner_name,business_phone,business_structure,county,data_refreshed_date,expiration_date,id,issue_date,license_designation,license_number,license_status,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_zip_code
,,ü,Certified Alternative Medicine Providers,,Certified Alternative Medicine Providers,,573-424-4951,,St. Louis city,2023-04-27T08:28:25.279023,,49,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
,,ü,"Harvest of Missouri, LLC",,"Harvest of Missouri, LLC",,602-615-2083,,Jasper County,2023-04-27T08:28:25.279023,,50,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64804,,37.0193161,-94.5005808,MO,64804
ü,,,"FUJM, LLC",,"FUJM, LLC",,314-225-7496,,Perry County,2023-04-27T08:28:25.279023,,51,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63775,Perry County,37.7242202,-89.8612196,MO,63775
ü,,,Red Tractor Cultivation LLC,,Red Tractor Cultivation LLC,,(40-2) -650-0306,,Jackson County,2023-04-27T08:28:25.279023,,52,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64132,Jackson County,38.992935,-94.55212739999999,MO,64132
,,ü,"Solgrone Cultivation II, LLC",,"Solgrone Cultivation II, LLC",,314-223-6680,,St. Louis County,2023-04-27T08:28:25.279023,,53,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63125,,38.5161654,-90.2901815,MO,63125
,,ü,GRC MOBERLY LLC,,GRC MOBERLY LLC,,833-469-9333,,Randolph County,2023-04-27T08:28:25.279023,,54,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Randolph County,39.4183689,-92.43823669999999,MO,65270
,,ü,GF Cultivation LLC,,GF Cultivation LLC,,314-282-4679,,Crawford County,2023-04-27T08:28:25.279023,,55,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Crawford County,38.0628225,-91.40348329999999,MO,65453
,,ü,"New Growth Horizon, LLC",,"New Growth Horizon, LLC",,(31-4) -749-2677,,St. Louis County,2023-04-27T08:28:25.279023,,56,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Florissant,St. Louis County,38.7719687,-90.2726138,MO,63144
,,ü,"SLCC, LLC",,"SLCC, LLC",,(90-7) -952-2328,,St. Louis County,2023-04-27T08:28:25.279023,,57,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,St. Louis,,38.6290512,-90.2787956,MO,63133
,,ü,"EFOS I, LLC",,"EFOS I, LLC",,660-651-3252,,Shelby County,2023-04-27T08:28:25.279023,,58,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63437,Shelby County,39.7419808,-92.25851519999999,MO,63437
,,ü,"NGWMO, LLC",,"NGWMO, LLC",,314-813-3058,,Linn County,2023-04-27T08:28:25.279023,,59,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64658,Linn County,39.7119703,-92.94825259999999,MO,64658
,,ü,"NGW MO I, LLC",,"NGW MO I, LLC",,314-813-3058,,Lawrence County,2023-04-27T08:28:25.279023,,60,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Marionville,Lawrence County,36.9994642,-93.6419189,MO,65705
,,ü,Heya Kirksville Cultivation LLC,,Heya Kirksville Cultivation LLC,,314-560-4597,,Adair County,2023-04-27T08:28:25.279023,,61,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Kirksville,Adair County,40.1939987,-92.585562,MO,63546
,,ü,Heya Excello Cultivation LLC,,Heya Excello Cultivation LLC,,314-560-4597,,Macon County,2023-04-27T08:28:25.279023,,62,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65247,Macon County,39.636145,-92.47546249999999,MO,65247
,,ü,"Organic Remedies MO, Inc.",,"Organic Remedies MO, Inc.",,573-279-4020,,Scott County,2023-04-27T08:28:25.279023,,63,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Chaffee,Scott County,37.1905441,-89.67118839999999,MO,63740
,,ü,7 Point Farms LLC,,7 Point Farms LLC,,573-680-7799,,Cole County,2023-04-27T08:28:25.279023,,64,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65109,Cole County,38.5686223,-92.2433487,MO,65109
ü,,,"MR 5025 OH100, LLC",,"MR 5025 OH100, LLC",,314-333-3918,,Franklin County,2023-04-27T08:28:25.279023,,65,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Franklin County,38.55810719999999,-91.01208779999999,MO,63090
ü,,,ROI Canopy of Atherton LLC.,,ROI Canopy of Atherton LLC.,,417-848-8055,,Jackson County,2023-04-27T08:28:25.279023,,66,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64058,Jackson County,39.1861153,-94.3055037,MO,64058
